#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Rahmen|
#T_SP=webanno.custom.Fokus|ROLE_webanno.custom.Fokus:Rahmen_webanno.custom.FokusRahmenLink|webanno.custom.Rahmen|Score|Score_ABC


#Text=Einige halb-domesticierte und andere ganz wilde Unterrassen haben auch ausser den beiden schwarzen Binden noch schwarze Würfelflecke auf den Flügeln.
5-5	711-714	mit	_	_	_	_	_	
5-6	715-718	der	_	_	_	_	_	
5-7	719-724	Sache	_	_	_	_	_	
5-8	725-732	bekannt	_	_	_	_	_	
5-9	733-737	sind	_	_	_	_	_	
5-10	737-738	,	_	_	_	_	_	
5-11	739-744	denkt	_	_	_	_	_	
5-12	745-752	Niemand	_	_	_	_	_	
5-13	753-757	auch	_	_	_	_	_	
5-14	758-761	nur	_	_	_	_	_	
5-15	762-765	von	_	_	_	_	_	
5-16	766-770	fern	_	_	_	_	_	
5-17	771-776	daran	_	_	_	_	_	
5-18	776-777	,	_	_	_	_	_	
5-19	778-782	dass	_	_	_	_	_	
5-20	783-786	die	_	_	_	_	_	
5-21	787-793	beiden	_	_	_	_	_	
5-22	794-800	Eigner	_	_	_	_	_	
5-23	801-807	dieser	_	_	_	_	_	
5-24	808-815	Heerden	_	_	_	_	_	
5-25	816-819	dem	_	_	_	_	_	
5-26	820-826	reinen	_	_	_	_	_	
5-27	827-841	BAKEWELL'schen	_	_	_	_	_	
5-28	842-848	Stamme	_	_	_	_	_	
5-29	849-855	jemals	_	_	_	_	_	
5-30	856-863	fremdes	_	_	_	_	_	
5-31	864-868	Blut	_	_	_	_	_	
5-32	869-880	beigemischt	_	_	_	_	_	
5-33	881-887	hätten	_	_	_	_	_	
5-34	887-888	,	_	_	_	_	_	
5-35	889-892	und	_	_	_	_	_	
5-36	893-897	doch	_	_	_	_	_	
5-37	898-901	ist	_	_	_	_	_	
5-38	902-907	jetzt	_	_	_	_	_	
5-39	908-911	die	_	_	_	_	_	
5-40	912-927	Verschiedenheit	_	_	_	_	_	
5-41	928-936	zwischen	_	_	_	_	_	
5-42	937-942	deren	_	_	_	_	_	
5-43	943-950	Heerden	_	_	_	_	_	
5-44	951-953	so	_	_	_	_	_	
5-45	954-959	gross	_	_	_	_	_	
5-46	959-960	,	_	_	_	_	_	
5-47	961-965	dass	_	_	_	_	_	
5-48	966-969	man	_	_	_	_	_	
5-49	970-976	glaubt	_	_	_	_	_	
5-50	976-977	,	_	_	_	_	_	
5-51	978-982	ganz	_	_	_	_	_	
5-52	983-995	verschiedene	_	_	_	_	_	
5-53	996-1002	Rassen	_	_	_	_	_	
5-54	1003-1005	zu	_	_	_	_	_	
5-55	1006-1011	sehen	_	_	_	_	_	
5-56	1011-1012	.	_	_	_	_	_	
5-57	1012-1013	«	_	_	_	_	_	
5-58	1014-1018	Gäbe	_	_	_	_	_	
5-59	1019-1021	es	_	_	_	_	_	
5-60	1022-1027	Wilde	_	_	_	_	_	
5-61	1027-1028	,	_	_	_	_	_	
5-62	1029-1032	die	_	_	_	_	_	
5-63	1033-1035	so	_	_	_	_	_	
5-64	1036-1046	barbarisch	_	_	_	_	_	
5-65	1047-1052	wären	_	_	_	_	_	
5-66	1052-1053	,	_	_	_	_	_	
5-67	1054-1058	dass	_	_	_	_	_	
5-68	1059-1062	sie	_	_	_	_	_	
5-69	1063-1068	keine	_	_	_	_	_	
5-70	1069-1075	Ahnung	_	_	_	_	_	
5-71	1076-1079	von	_	_	_	_	_	
5-72	1080-1083	der	_	_	_	_	_	
5-73	1084-1095	Erblichkeit	_	_	_	_	_	
5-74	1096-1099	des	_	_	_	_	_	
5-75	1100-1110	Characters	_	_	_	_	_	
5-76	1111-1116	ihrer	_	_	_	_	_	
5-77	1117-1127	Hausthiere	_	_	_	_	_	
5-78	1128-1134	hätten	_	_	_	_	_	
5-79	1134-1135	,	_	_	_	_	_	
5-80	1136-1138	so	_	_	_	_	_	
5-81	1139-1145	würden	_	_	_	_	_	
5-82	1146-1149	sie	_	_	_	_	_	
5-83	1150-1154	doch	_	_	_	_	_	
5-84	1155-1160	jedes	_	_	_	_	_	
5-85	1161-1166	ihnen	_	_	_	_	_	
5-86	1167-1169	zu	_	_	_	_	_	
5-87	1170-1175	einem	_	_	_	_	_	
5-88	1176-1185	besondern	_	_	_	_	_	
5-89	1186-1192	Zwecke	_	_	_	_	_	
5-90	1193-1205	vorzugsweise	_	_	_	_	_	
5-91	1206-1215	nützliche	_	_	_	_	_	
5-92	1216-1221	Thier	_	_	_	_	_	
5-93	1222-1229	während	_	_	_	_	_	
5-94	1230-1235	einer	_	_	_	_	_	
5-95	1236-1247	Hungersnoth	_	_	_	_	_	
5-96	1248-1251	und	_	_	_	_	_	
5-97	1252-1259	anderer	_	_	_	_	_	
5-98	1260-1273	Unglücksfälle	_	_	_	_	_	
5-99	1273-1274	,	_	_	_	_	_	
5-100	1275-1280	denen	_	_	_	_	_	
5-101	1281-1286	Wilde	_	_	_	_	_	
5-102	1287-1289	so	_	_	_	_	_	
5-103	1290-1296	leicht	_	_	_	_	_	
5-104	1297-1307	ausgesetzt	_	_	_	_	_	
5-105	1308-1312	sind	_	_	_	_	_	
5-106	1312-1313	,	_	_	_	_	_	
5-107	1314-1324	sorgfältig	_	_	_	_	_	
5-108	1325-1327	zu	_	_	_	_	_	
5-109	1328-1336	erhalten	_	_	_	_	_	
5-110	1337-1344	bedacht	_	_	_	_	_	
5-111	1345-1349	sein	_	_	_	_	_	
5-112	1349-1350	,	_	_	_	_	_	
5-113	1351-1354	und	_	_	_	_	_	
5-114	1355-1358	ein	_	_	_	_	_	
5-115	1359-1367	derartig	_	_	_	_	_	
5-116	1368-1380	auserwähltes	_	_	_	_	_	
5-117	1381-1386	Thier	_	_	_	_	_	
5-118	1387-1392	würde	_	_	_	_	_	
5-119	1393-1399	mithin	_	_	_	_	_	
5-120	1400-1404	mehr	_	_	_	_	_	
5-121	1405-1421	Nachkommenschaft	_	_	_	_	_	
5-122	1422-1425	als	_	_	_	_	_	
5-123	1426-1429	ein	_	_	_	_	_	
5-124	1430-1437	anderes	_	_	_	_	_	
5-125	1438-1441	von	_	_	_	_	_	
5-126	1442-1452	geringerem	_	_	_	_	_	
5-127	1453-1459	Werthe	_	_	_	_	_	
5-128	1460-1472	hinterlassen	_	_	_	_	_	
5-129	1472-1473	,	_	_	_	_	_	
5-130	1474-1476	so	_	_	_	_	_	
5-131	1477-1481	dass	_	_	_	_	_	
5-132	1482-1487	schon	_	_	_	_	_	
5-133	1488-1491	auf	_	_	_	_	_	
5-134	1492-1497	diese	_	_	_	_	_	
5-135	1498-1503	Weise	_	_	_	_	_	
5-136	1504-1508	eine	_	_	_	_	_	
5-137	1509-1519	unbewusste	_	_	_	_	_	
5-138	1520-1527	Auswahl	_	_	_	_	_	
5-139	1528-1531	zur	_	_	_	_	_	
5-140	1532-1540	Züchtung	_	_	_	_	_	
5-141	1541-1551	stattfände	_	_	_	_	_	
