,Textstelle,Metapher?,Fokus,Rahmen,Annotator,Filename
10," So breitet sich der Same der Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden die ganz Untauglichen ausgemerzt.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
11," Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
12," Auch er ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große dreibändige Dogmengeschichte ist nichts anderes als eine Geschichte der all- bändige Dogmengeschichte ist nichts anderes als eine Geschichte der allmählichen Verholzung oder Versteinerung der christlichen Kirchen. mählichen Verholzung oder Versteinerung der christlichen Kirchen.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
13," Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen, der die elenden Reste des verfaulten alten Reiches, das Unwesen der geistlichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre das neue Reich unmöglich gewesen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
14," Diese erscheinen nunmehr als Mittel, um diesen Zusammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle sammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle Zwecke in Bezug auf diesen obersten Zweck beherrscht.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
15," Wenn sonach das Zweckprinzip auf der ganzen Linie unterlegen ist, wenn es sich zeigt, daß es nicht auf eigenen Füßen stehen und gehen kann, sondern, sobald es das versucht, schließlich irgendwann an einen Punkt gerät, wo es allein nicht weiter kann oder gar in Gefahr ist, in den Abgrund des Konsens zu stürzen, und wenn es sich vor dieser Gefahr nur dadurch retten kann, daß es sich an das Stabilitäts- oder an das Anpassungsprinzip klammert: so werden doch derartige Versuche immer wieder unternommen werden, man wird immer wieder glauben, daß das Zweckprinzip alles vermöge, weil es viel vermag; — wenn es nicht gelingt zu zeigen, was ihm eigentlich fehlt.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
16, Und diese Seite der Sache muß unbedingt in die hellste Beleuchtung gesetzt werden. leuchtung gesetzt werden.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
17," Ebenso wie beim Auswaschen des Goldsandes durch strömendes Wasser das Wasser die Goldkörner nicht zurückläst, weil sie kostbar oder nützlich oder schön sind, sondern nur, weil sie wegen ihrer größeren Dichte schneller zu Boden sinken als der leichtere Quarzsand, bildet sich die zweckmäßige Beschaffenheit der Organismen nicht aus, weil die »Natur« mit ihnen besondere Zwecke der Schönheit, der Belebung, der Energieausnutzung verfolgt, sondern die vermöge ihrer gerade vorhandenen Beschaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen, schaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen, nicht dauerhaften durch den Strom der Zeit schneller fortgeschwemmt werden.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
18," oder aber uns dieser unaufhaltsam daherrollenden Lawine des Guten in den Weg zu werfen, um von ihr zerschmettert zu werden.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
19," »Man könnte annehmen, und es ist in älteren Zeiten angenommen worden, daß diejenigen Teile der Organisation, welche die Lebensweise und im allgemeinen den Platz bestimmen, welchen jedes Wesen im Haushalte der Natur einnimmt, von erster Wichtigkeit seien.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
20," Sagt man dagegen: die Träufelspitze ist für die Pflanzen nützlich oder wertvoll und weist man das Wort »zweckmäßig« überall da zurück, wo das gegenwärtige oder frühere Vorhandensein eines Zweckes nicht nachgewiesen ist, so wird dem neovitalistischen Spuk bald ein Ende gemacht sein. stischen Spuk bald ein Ende gemacht sein.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
21," Man erinnere sich nur des Entrüstungssturmes, mit dem die Darwinsche Theorie und ihre unabweisbaren Folgerungen hinsichtlich der Abstammung des Menschen empfangen wurden.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
22," Er umfaßt die Gewohnheiten des Handelns, die ihm das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel seiner Genossen und seiner Führer einimpfen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
23, Dann hätten wir eben für jeden Augenblick umfassendere Komplexe und die beiden Reihen wären zu einem einzigen psychischen Vorgang verschmolzen.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
24," Alles Lernen besteht in Anpassungsvorgängen, welche dadurch eingeleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen geleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten1).",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
25," Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen fortsetzen.« Der Boden ist doch so sicher nicht.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
26," Du bist Petrus, und auf diesen Felsen will ich meine Gemeinde bauen, und die Pforten der Unterwelt sollen sie nicht überwältigen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
27," Ich sage euch aber wahrhaftig, sind einige unter haftig, sind einige unter denen, die hier stehen, welche den Tod nicht kosten werden, bis sie das Reich Gottes sehen.«",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
28," Also zwei grobe Entstellungen der Überlieferung, das sind die Grundlagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs- lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungsanker des Naturrechts und der allgemeinen Menschenrechte. anker des Naturrechts und der allgemeinen Menschenrechte.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
29," Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung, jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheitsbeschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen: beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
30," Im Gegenteil, der Rechtsbegriff schwankt heute mehr als je, die Unsicherheit nimmt womöglich noch zu.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
31," Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger Haltbarkeit natürlich, schwerlich mehr austreten kann.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
32," Damit ist der Boden der Descendenztheorie verlassen und der der Teleologie betreten, und nun geht es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen Ethik, Rechts- und Staatsphilosophie.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
33, Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus dem Felde zu schlagen sein.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
34," »In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschaftsbildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammenfügt! fügt!",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
35," Und so wären die in der Naturwissenschaft vollzogenen Veränderungen in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den Boden zu entziehen.«",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
36," Ob er richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien, insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts und dann erst das Wesen und Werden des Staates untersuchen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
37," Der Verfasser des Matthäustextes hat einen so gewaltsamen Eingriff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für den Messias erklärt habe, in das hellste Licht gesetzt und durch die Erfindung der Vollmachterteilung verschönert. findung der Vollmachterteilung verschönert.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
38," Bei Matthäus ist er ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt (mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte, daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
39," Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unterwarf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des Rechts nur von der Philosophie überkommen könne.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
40," »Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der vervollkommnenden Auslese der menschlichen Daseinskämpfe; genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessenkämpfe, kämpfe, welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körperund Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit- und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streitorganisation ausgekämpft, organisation ausgekämpft, durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen erweckt und in immer höherem Grade erneuert, um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt, durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet, abgestoßen oder zu besserer Anpassung genötigt werden, und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr GesellschaftsBildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
41," Das liegt an deren Unwissenheit (ignorance), sagt die »Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglücklichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit (oubli) geraten. ",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
42," Indem wir durch die verschiedenen Entwickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be- wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Bewegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden Handelns noch deutlicher ausgeprägt. ",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
43," Das ist entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechtsphilosophie. philosophie.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
44," Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach dem Hafen hin bewegen.«",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
45, Doch der Zirkel ist nur ein scheinbarer. ,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
46," Man darf eben nicht beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Speziesmerkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
47," Einerseits kann die Jurisprudenz, da sie nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht war.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
48," Unzählige Ansätze mögen in dieser Beziehung unternommen worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nachfolge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
49, — der Egoismus leitet die Gewalt unvermerkt in die Bahn des Rechts.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
50," Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe der Zeit der Majordomus«.«",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
51," Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden, dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist, verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend, ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
52," Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus; und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser beruft.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
53," Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem enfant terrible etwas anders umspringen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
54," Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegnerschaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren eigenen Waffen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
55," Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht ein (subjektives) Recht: eins, aber ein Löwe.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
56," »In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
57," Je geringer ihre Anpassung sein würde, desto unerbittlicher müßte die Auslese gegen sie sein.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
58," Die Erde ist nicht dazu da, daß auf ihr beliebige Horden beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde gerechte Spruch der Natur und der Geschichte. rechte Spruch der Natur und der Geschichte.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
59," So äußert sich das Weltgesetz der zunehmenden Anpassung auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtigkeit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts- keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechtssteigerung. steigerung.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
60," Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat herantreten.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
61," »Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Gesellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen Gesamtleben.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
62," Er ist nur einer unter den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des menschlichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt. lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
63," Alle anderen Anforderungen an den Staat treten gegen diese eine zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt, es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
64," Diese Einheit kommt aber auch nach außen zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden Zweckmomente durch ihre Handlungen zu versorgen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
65," Ganz ebenso aber braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
66," Wir werden also am besten tun, gleich vor die rechte Schmiede zu gehen und zunächst zu fragen:",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
67," Gleich den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
68," Nicht nur, daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallertmasse. masse.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
69," Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen sie auch zusammen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
70," Wählt sie den Weg der Fehde, so ist derselben nicht blos der Totschläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden Hand).",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
71," Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines Stecknadelknopfes.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
72," In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer 150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
73," Nach Chlodowechs Tod (511) tritt »Kernteilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die Bayern schließen sich an.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
74, Das also war das Menschenmaterial für den zu gründenden Staat: Menschenfresser.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
75," In Wahrheit gingen nicht die germanischen Völker in sich zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
76," Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allverehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen »Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener Zeiten gemacht haben.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
77," Und so mißlingt es immer wieder, die Gewalt des ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der Teile untereinander dauert fort, bis das Reich im Interregnum zusammenbricht, und lodert nun erst recht auf. bricht, und lodert nun erst recht auf.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
78," Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel gemieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht vorsichtig aus dem Wege gingen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
79," Erst wenn das letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird, dann mag der große König, der das zuwege gebracht haben wird, auch das Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
