,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
13,," Eine Gesetzgebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats- gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staatsangehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos vergeuden und zu Grunde gehen.",Metaphernkandidat,,,,"nur merkwürdige Ausdrucksweise, austauschbar",B,,,,,
14,," Viel Streit hat sich über die Frage erhoben, durch welche Umstände sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de facto zum Herrscher über alle anderen Tiere gemacht hat.",Metaphernkandidat,,,,"ersetzbar, kein Bruch etc.",B,,,,,
15,," Das Gebiet positiven Wissens über den Gang der menschlichen Entwickelung beginnt aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.",Metaphernkandidat,,,,"floskelhafte Ausdrucksweise, bildlich verstärkt, aber ohne Bruch",B,,,,,
16,," Nur soweit ein Bedürfnis gebieterisch Befriedigung verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.",Metaphernkandidat,,,,"Personifikation, kein Bruch etc., andere Formulierungen verlustfrei möglich",B,,,,,
17,," Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeitsgründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit begnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen. gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.",Metaphernkandidat,,,,"leichte Bedeutungserweiterung, aber kein Bruch, verlustfrei umschreibbar",B,,,,,
18,," »Unter der ausschließlichen Herrschaft des Rechts des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt werden.",Metaphernkandidat,,,,"merkwürdige Ausdrucksweise, aber kein Bruch oder Semantikgewinn",B,,,,,
19,," Eine weitere Folge der Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zufiel. fiel.",Metaphernkandidat,,,,Floskel,B,,,,,
20,," Die Folge ist, daß selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die erst allmählich durch das territoriale Zusammenleben und gegenseitige Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.",Metaphernkandidat,,,,Floskel,B,,,,,
21,," Die Nationalitätenkämpfe des 19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich) beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähnlichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück- lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurückstößt, noch nicht erloschen ist. stößt, noch nicht erloschen ist.",Metaphernkandidat,,,,Floskel,B,,,,,
22,, Der Geist der alten Horde (gens) protestiert gegen das Territorialitätsprinzip des modernen Staates.,Metaphernkandidat,,,,"Personifikation, kein Bruch, umschreibbar",B,,,,,
23,," Sobald aber eine Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der Sitte ganz ausgemerzt zu werden.",Metaphernkandidat,,,,"Ausdruck ist ersetzbar, kein Bruch etc.",B,,,,,
24,," Die Sitte approbiert nämlich immer nur die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen - d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von der Sitte gemißbilligt und allmählich verhindert worden.",Metaphernkandidat,,,,"übliche Ausdrucksweise, kein Bruch etc.",B,,,,,
25,," Indem das Verhältnis durch die Sitte befestigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten, sondern nur an Mitglieder fremder Stämme verheiratet werden durften.",Metaphernkandidat,,,,"Das ist wörtlich gemeint, nicht metaphorisch.",B,,,,,
26,," In dieser Form finden wir Eheverbote bei den Römern und Juden, und sie sind dann von hier aus besonders durch die christliche Kirche überallhin verpflanzt worden, sodaß jetzt neben den Eheverboten für Angehörige verschiedener Generationen daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen (Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote für Seitenverwandte bestehen, die derselben Generation angehören.",Metapher,verpflanzt worden,Eheverbote,A,"ein Verbot zu verpflanzen erzeugt einen Bruch und reichert die Semantik an, daher nicht zu ersetzen",B,,,,,
27,," Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn befähigt hat, in die Werkstatt der Natur einzudringen.",Metapher,Werkstatt,der Natur,B,"Bruch, Bedeutungserweiterung, nicht austauschbar",B,,,,,
28,," Die Religion hat ihre größte Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche Leben von der Religion durchtränkt ist.",Metapher,von der Religion durchtränkt ist,das ganze gesellschaftliche Leben,B,"bildlicher Ausdruck, der aber einen Bruch erzeugt und die Semantik anreichert, nicht austauschbar",B,,,,,
29,," Mühsam und Schritt für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kulturreichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem Flusse begriffen.",Metaphernkandidat,,,,Floskel,B,,,,,
30,," In demselben Moment, in dem die wissenschaftliche Erkenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung auf, ein religiöses Objekt zu sein.",Metaphernkandidat,,,,nur blumiger Ausdruck,B,,,,,
31,," Die Religion hat in diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen der Wissenschaft noch nicht abgeschlossen sind.",Metaphernkandidat,,,,Floskel,B,,,,,
32,30-59," Ohne solche Regeln würde die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand, der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben von Menschen sein würde.",Metapher,in Atome zersplittern,die Gesellschaft,B,"Bruch, vom Sprachgebrauch abweichend, Semantik anreichernd, pointiert",B,,,,,
33,," Aber noch ist die Zeit nicht gekommen, zu verlangen, daß nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten. Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen verschiedener Nationen ist auch eine Realität.",Metaphernkandidat,,,,"bildlicher Ausdruck, kein Bruch etc.",B,,,,,
34,," Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und verschiedene Nationen zusammenzuschweißen, gescheitert sind.",Metaphernkandidat,,,,Floskel,B,,,,,
35,," Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in Beziehung gesetzt werden.",Metaphernkandidat,,,,"alter, ungewöhnlicher Ausdruck, vielleicht sogar Floskel",B,,,,,
36,," Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller mittelmäßigen und den Vernichter und Feind aller großen, genialen Individuen erblickt. viduen erblickt.",Metapher,brennenden,Haß,A,"leichter Bruch, vom Sprachgebrauch abweichend, Semantik anreichernd, pointiert (Floskel?)",B,,,,,
37,," Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein der Menschheit verderbliches Kunstprodukt halten und demgegenüber die Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau seinen glänzendsten Vertreter hatte.",Metaphernkandidat,,,,"kein Bruch, bildlicher Ausdruck, Floskel",B,,,,,
38,," Will die Gesellschaft die natürliche Auslese befördern, so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Individuen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel hat und sich in den Dienst keines anderen Zieles spannen läßt.",Metapher,in den Dienst spannen läßt,keines anderen Zieles,B,"Bruch, Erweiterung der Semantik, unersetzlich",B,,,,,
39,," Wir sind hiermit insoweit ganz einverstanden, als wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als möglich organisiert sind.",Metapher,ausjätet,die natürliche Auslese,A,"Steigerung und Pointierung durch Semantikanreicherung, ungewöhnlicher Sprachgebrauch, Bruch etc.",B,,,,,
40,," Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz auf diese Weise immer komplizierter und künstlicher werden und die Gefahr nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze der natürlichen Auslese und der natürlichen Anpassung sich eines Tages nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künstliche Gebäude in sich zusammenstürzt. liche Gebäude in sich zusammenstürzt.",Metapher,das ganze künstliche Gebäude in sich zusammenstürzt,unserer Existenz,B,"Steigerung und Pointierung durch Semantikanreicherung, Bruch, nicht ersetzbar",B,,,,,
41,," Die Menschheit hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Verletzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente ihres stolzen sozialen Baues zu unterminieren.",Metapher,auf Klippen zu stoßen,Verletzung der biologischen Gesetze,B,"Irritation, Bedeutungserweiterung, nicht austauschbar, Pointierung, ergänzt durch metaphorische Floskel",B,,,,,
42,," Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften angepaßt sind. gepaßt sind.",Metaphernkandidat,,,,"merkwürdige Ausdrucksweise, aber kein Bruch etc.",B,,,,,
43,," Aber zwischen dem Punkte, wo uns das Mikroskop bei der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt uns, da es uns nur über den äußeren Vorgang der Kopulation zweier Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist.",Metaphernkandidat,,,,nur bildlicher Ausdruck,B,,,,,
44,," Sicherlich ist durch die vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnisvollen und reizvollen Problems geschehen; daß wir aber heute bereits vor vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor einer gesicherten Lösung desselben stehen, wird niemand zu behaupten wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit verfolgt hat.",Metaphernkandidat,,,,Floskel,B,,,,,
45,," Man sieht, daß wir auch durch diese weitgehende Aufhellung des Befruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur unbedeutend näher gerückt sind.",Metaphernkandidat,,,,"Floskel, alter Ausdruck",B,,,,,
46,," »Diese gemmules«, sagt Darwin2), »sammeln sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen) »zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden Zustande an künftige Generationen überliefert und dann erst entwickelt zu werden.",Metapher,schlummernd,Zustande,A,"leichter Bruch, Bedeutungsanreicherung, sprachlich eigentlich nicht korrekt, Ersetzung durch schlafend würde den grundsätzlichen Bruch beibehalten, da die zeitweilige  Inaktivität gemeint ist und hier pointiert werden soll",B,,,,,
47,," Hierdurch wird nämlich zwar nicht die Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen (nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche Störung im ganzen Organismus und eine Ernährungsstörung der Keimzellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu. zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.",Metaphernkandidat,,,,"Floskel, problemlos durch prägen oder dergleichen ersetzbar",B,,,,,
48,, Vielleicht ist auch ein Teil der Totgeburten auf das Konto eines solchen Anlasses zu schreiben. burten auf das Konto eines solchen Anlasses zu schreiben.,Metaphernkandidat,,,,"kein richtiger Bruch, Konto allgemeiner Ausdruck, der so verwendet werden kannverlustfrei ersetzbar",B,,,,,
49,," »Es ist nun noch daran zu erinnern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i. innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i. der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der geschlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Musterkarte für die natürliche Auslese dargeboten wird. karte für die natürliche Auslese dargeboten wird.",Metapher,eine fast unerschöpfliche Musterkarte,für die natürliche Auslese,B,"Bruch, Verweisung auf andere Semantik, nicht austauschbar, zudem unrealistische Steigerung und Übertreibung durch ""unerschöpflich""",B,,,,,
50,," Da nun bei der Verschmelzung beider Keimzellen gewissermaßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens- maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebensenergie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren Zelle zum Vorschein.",Metaphernkandidat,,,,"durch das ""gewissermaßen"" wird eine Art Vergelich eingeleitet und die Irritation dadurch genommen; Verschmelzung ist hier ein Fachausdruck",B,,,,,
51,," Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend, ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen prädestiniert war.",Metapher,schlummernde,Anlagen,A,"leichter Bruch undBedeutungsanreicherung, sprachlich nicht ganz korrekt, Ersetzung durch schlafend würde den grundsätzlichen Bruch beibehalten, da die zeitweilige  Inaktivität gemeint ist und hier pointiert werden soll",B,,,,,
52,," Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhältnisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden, nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden, sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in Zusammenhang zu bringen sind.",Metapher,über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht,eine Sitte,A,"leichter Bruch durch die Zuschreibung territorialer Semantik, die durch Umformulierung verlorenginge, die Macht der Sitte soll wohl so pointiert werden",B,,,,,
53,," Die jüdischen Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausgedehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.",Metaphernkandidat,,,,"die Anführunsgzeichen deuten auf eine Art Fachausdruck hin, bzw. auf die Übernahme der Formulierung des Talmud",B,,,,,
54,," Wie jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Bestreben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist« streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist« ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.",Metaphernkandidat,,,,"die Verdichtung mag ein ungewöhnlicher Ausdruck sein, scheint mir hier aber nicht unersetzlich",B,,,,,
55,," So wäre es denn nicht die Tatsache der Blutsverwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn sie in einer mangelhaften Konstitution des Vaters und der Mutter einen geeigneten Boden findet.",Metapher,einen geeigneten Boden findet,die Blutsverwandschaft,A,"Floskelverdacht, der Nährboden für alles mögliche ist ein häufiges Bild, es irritiert daher auch in diesem Zusammenhang nur gering, verweist zwar auf Agrarthematik, deren Bedeutung aber wohl verzichtbar wäre",B,,,,,
56,," Auch auf sie trifft zu, daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegenleistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach- leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nachkommen entweder schon in jungen Jahren sterben und in den Kosten ihrer kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst (durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.",Metaphernkandidat,,,,wohl eher wörtlich zu verstehen,B,,,,,
57,," Wenn man die zahllosen Schwierigkeiten bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.",Metaphernkandidat,,,,gewöhnliche Redewendungen ohne Spannung,B,,,,,
58,, Die Statistik ist in der Lage dieses schlagend zu beleuchten.,Metaphernkandidat,,,,"Floskel des Beleuchtens, ""schlagend"" pointiert es zwar, aber für einen deutlichen bruch reicht es nicht aus",B,,,,,
59,," Schon in der ersten Schrift dieser Art, der 1516 erschienenen Schrift »De optimo reipublicae statu deque nova insula Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körperlichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.",Metaphernkandidat,,,,Floskel,B,,,,,
