,Annotator,Filename,Fokus,Metapher?,Rahmen,Textstelle
10,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die natürliche Veranlagung ist in den Grundzügen bei allen Menschen gleich; aber bei genauerer Betrachtung erweist sie sich bei verschiedenen Menschen als ungleich, indem sie von den Familienanlagen abhängt, welche von väterlicher und mütterlicher Seite durch natürliche Vererbung auf den Einzelnen übergegangen sind."
11,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die Beachtung der natürlichen Vererbung und der daraus folgenden Verschiedenheit der Anlagen ist für das Ver- ständnis der sozialen Verhältnisse von großer Wichtigkeit.
12,X,nus1_2_matzat_bereinigt.txt,,Nein,,Eine Veränderung der natürlichen Veranlagungen in einem Volke kann nur in sehr langen Zeiträumen stattfinden; sie ist möglich entweder durch Selektion oder durch Uebertragung erworbener Eigenschaften (letzteres wird von manchen Naturforschern bestritten).
13,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Zu der natürlichen An- lage kommt bei jedem einzelnen Individuum die Anpassung an die Um- gebung hinzu, bedingt durch die Erziehung, das Beispiel der Eltern den Unterricht, eigene Erfahrungen 2c., insbesondere auch durch überlieferte An- schauungen Sitten und Gesetze, also durch die ganze Tradition Im Volke (insbesondere bei einem Kulturvolkes ist die Tradition in fortwährender Veränderung begriffen."
14,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Allmählich ändern sich sowohl die wirtschaftlichen Verhältnisse (Zunahme der Bevölkerung, Fortschritte der Technik, Erleichterung des Verkehrs Aenderung der Erwerbsverhältnisse etc.)"
15,X,nus1_2_matzat_bereinigt.txt,,Nein,,"als auch theoretische Lehren (Fortschritt der Wissenschaft, Einfluß literarisch bedeutender Persönlichkeiten etc."
16,X,nus1_2_matzat_bereinigt.txt,,Nein,,"); dazu kommen die Aenderungen politischer Verhältnisse, welche nicht allein von der ganzen Lage des Volkes, sondern auch von dem Wirken einzelner mächtiger Personen abhängen."
17,X,nus1_2_matzat_bereinigt.txt,,Nein,,Alle diese Veränderungen ziehen allmählich Aenderungen der Sitten und Anschauungen nach sich und diesen folgend Aenderungen der Institutionen und Gesetz.
18,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Einleitung 3 Im Volke als ganzem können sich Aenderungen der Anschauungen und Sitten nur langsam vollziehen, denn die überlieferten Anschauungen sind der jeweiligen Generation fest eingeprägt; dasselbe gilt von dem Rechts- bewußtsein, welches den traditionellen Anschauungen und Sitten entspricht, aber auch mit der Gesetzgebung in einer gewissen Wechselbeziehung steht."
19,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die jeweilige Gesetzgebung des Volkes ist das Produkt der Tradition althergebrachter Normen und der Anpassung an die momentanen Daseins- bedingungen und die daraus entstandenen Anschauungen.
20,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die neuen Gesetze stellen sich (soweit sie nicht willkürlich gegeben wurden) als Anpassungen dar, welche den veränderten Erwerbsverhältnissen und Anschauungen entsprechen."
21,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Da die Grundbedingung einer gesunden und rationellen Weiterentwickelung in der gründlichen Kenntnis und ge- wissenhaften Befolgung überlieferter Gesetze und Institutionen zu suchen ist, so kann auch von einer ferneren rationellen Entwickelung der Insti- tutionen auf Grund der Anpassung nur dann die Rede sein, wenn der Geist der bestehenden Institutionen sozusagen in Fleisch und Blut des Volkes übergegangen ist."
22,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Eine langsame stetige Entwickelung der Gesetze und Institutionen welche mit der Aufnahmefähigkeit des Volkes Schritt hält, trägt demnach am meisten zum gesunden Fortschritt des Volkes bei."
23,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Bei den Ausführungen ist in Bezug auf Abschnitt A eine Darstellung der natürlichen Vererbung erwünscht, in Bezug auf B sind Beispiele aus der Geschichte zu erbringen."
24,X,nus1_2_matzat_bereinigt.txt,,Nein,,Am Schlusse wären die Tendenzen der poli- tischen Richtungen in Deutschland zu beleuchten (von den Umsturzbewegungen einerseits bis zur Stagnation und dem Rückschritt andererseits).
25,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die Bearbeitung der gestellten Preisaufgabe soll wissenschaftlichen Wert haben und zugleich gemeinverständlich sein.
26,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die wichtigste Litteratur ist im Original zu berücksichtigen, und es ist auf die Werke der Autoren in üblicher Adle verweisen."
27,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die eingereichten Arbeiten müssen in deutscher Sprache verfaßt sein und zwar so, daß das Manuskript als druckfertig bezeichnet werden kann."
28,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Detailuntersuchungen welche als Belege dienen und sich nicht gut in den Text einfügen lassen, können als Anhang gegeben werden."
29,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die Preisrichter werden die Arbeiten nach ihrer wissenschaftlichen Durchführung beurteilen ohne Rücksicht auf die Tendenz oder Parteistellung des Verfassers.
30,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Das Schiedsgericht besteht aus den Herren Prof. Dr. J. Conrad, Halle, Prof. Dr. D. Schäfer, Heidelberg, und Prof. Dr. H. E. Ziegler, Jena, deren jeder die Arbeiten selbständig beurteilt."
31,X,nus1_2_matzat_bereinigt.txt,,Nein,,Durch Vergleichung der Urteile der Preisrichter wird von der unterzeichneten Kommission das End- urteil gebildet.
32,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Der Name des Ver- fassers ist in einem verschlossenen Couvert beizufügen, welches dasselbe Motto trägt."
33,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Kommission behält sich das Recht vor, die preisgekrönten Arbeiten unter Wahrung des Eigentumsrechts der Autoren zu publizieren."
34,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die von der Kommission nicht zur Publikation beanspruchten Arbeiten werden den betreffenden Autoren zurückgeschickt.
35,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Januar 1900, Prof. Dr. E. Haeckel, Geh.-Rat Prof. Dr. J. Conrad, Prof. Dr. E. Fraas (Jena) (Halle) (Stuttgart)."
36,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Unterzeichneten machen das Ergebnis des Preisausschreibens und die erteilten Preise öffentlich bekannt Zunächst wird hier ein Teil des Preisausschreibens wiederholt, ins- besondere die Bestimmungen welche für die Vergebung der Preise maßgebend waren."
37,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Dezember vorigen Jahres 60 Abhandlungen, Schriften und Bücher eingesandt, davon 544 aus Deutschland, 8 aus Oesterreich, 4 aus der Schweiz, 2 aus Rußlaud und 2 aus Amerika."
38,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Einleitung 5 Die eingegangenen Werke, welche zum Teil sehr umfangreich waren wurden in der Reihenfolge des Eintreffens numeriert und abteilungsweise an die drei Preisrichter gesandt, deren jeder sein Gutachten über jede ein- zelne Arbeit selbständig und gesondert schriftlich niederlegte."
39,X,nus1_2_matzat_bereinigt.txt,,Nein,,"März 1903 die nachfolgende Verteilung der Preise beschlossen, worauf die Umschläge mit den Namen der Verfasser geöffnet wurden."
40,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Da nur solche Arbeiten prämiiert werden konnten, welche den oben- stehenden Bestimmungen entsprachen, war es nicht möglich, die bereits gedruckten Bücher, welche eingereicht waren, zu berücksichtigen."
41,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Dies galt auch für das in vieler Hinsicht wertvolle Buch von Otto Ammon (Die Gesellschaftsordnung etc., 3."
42,X,nus1_2_matzat_bereinigt.txt,,Nein,,An folgende acht Arbeiten sind Preise erteilt worden: Den ersten Preis erhält die Abhandlung mit dem Motto: »Gut ist glücklich geboren zu sein«.
43,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Verfasser: Heinrich Matzat, Direktor der Laudwirtschaftsschule in Weilburg a. d. Lohn Abhandlung mit dem Motto: Ich habs gewagt."
44,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Albert Hesse, Halle a. d. S. Weitere Preise (ohne Rangunterschied) kommen folgenden Schriften zu: Abhandlung mit dem Motto: Die Weltgeschichte ist ein Teil der orga- nischen Entwickelungsgeschichte."
45,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Unter den preisgekrönten Arbeiten sind verschiedene Auffassungen des Themas und verschiedene politische Richtungen vertreten, soweit dieselben eine ausreichende wissenschaftliche Begründung gefunden haben, worauf bei der Entscheidung das Gewicht gelegt wurde."
46,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Abhandlungen, welche Preise erhalten haben, sollen sowohl gemeinsam als auch einzeln veröffentlicht werden."
47,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Das Sammelwerk wird im Verlage von Gustav Fischer in Jena erscheinen unter dem Titel: »Natur und Staat«, Beiträge zur naturwissenschaftlichen Gesell- schaftslehre."
48,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Außer den obenerwähnten Schriften sind noch einige andere Ab- handlungen zur Erwerbung in Aussicht genommen, welche mit großem Fleiße ausgearbeitet sind und von den Preisrichtern verhältnismäßig günstig beurteilt wurden."
49,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Einige dieser Schriften, welche bemerkenswerte Aus- führungen enthalten, sollen (ganz oder teilweise) mit den preisgekrönten Abhandlungen veröffentlicht werden."
50,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Prof. Dr. E. Haeckel, Geh.-Rat Prof. Dr. J. Conrad, Prof. Dr. E. Fraas Wie aus der vorstehenden Bekanntmachung ersichtlich ist, wurden nicht nur die in dem Preisausschreiben in Aussicht gestellten Preise ungeteilt verliehen, sondern es wurden im ganzen acht Preise vergeben."
51,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Außer- dem wurde noch eine Anzahl Arbeiten von der Preiskommission zum Druck übernommen und honoriert, welche allerdings nachher nicht sämtlich in das Sammelwerk aufgenommen werden konnten."
52,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Eine so weitgehende Prämiierung war nur dadurch möglich, daß die in hochherziger Weise für die Preise ge- stiftete Summe im Hinblick auf die große Zahl der eingereichten Arbeiten noch beträchtlich erhöht worden war."
53,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Preisverteilung ist von der Kommission auf Grund der Urteile der Preisrichter vorgenommen worden, deren Namen schon in dem Aus- schreiben vom 1."
54,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Bei den meisten Arbeiten stimmten die Gutachten der Preisrichter im Wesentlichen überein, bei manchen Abhandlungen gingen sie beträchtlich auseinander."
55,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Preise sind pflichtgemäß genau nach den ausgeschriebenen Bestimmungen er- Einleitung 7 teilt worden, was ausdrücklich hervorgehoben werden mag, weil vielleicht irgend ein Leser nach seinem subjektiven Urteil zu einer anderen relativen Schätzung der Arbeiten kommen könnte."
56,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Diejenigen Arbeiten, welche nach dem Urteil der Preisrichter und der Preiskommission die besten waren, wird man aus dem Sammelwerke kennen lernen1)."
57,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Zuvor will ich hier einen kurzen Bericht über die Gesamtheit der Abhandlungen erstatten; bei dieser Gelegenheit mögen auch einige Grundsätze dargelegt werden, welche bei der Erteilung der Preise in Be- tracht kamen."
58,X,nus1_2_matzat_bereinigt.txt,,Nein,,Manche Verfasser hatten das Thema nicht völlig verstanden und die Schwierigkeit desselben nicht eingesehen.
59,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Es lagen eine Anzahl kleiner und unbedeutender Aufsätze vor, welche für die Preisverteilung nicht ernstlich in Betracht kommen konnten."
60,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Auch einige große Arbeiten mußten gänzlich ausgeschlossen werden, da sie ganz sonderbare Ansichten enthielten und in einem unbrauchbaren Stil geschrieben waren."
61,X,nus1_2_matzat_bereinigt.txt,,Nein,,Nach Ausschaltung dieser ganz untauglichen Abhandlungen blieben etwa 45 Werke zur genaueren Berücksichtigung übrig2).
62,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Manche derselben konnten deswegen keinen Preis erlangen, weil sie die Bestimmungen des Preisausschreibens nicht erfüllten."
63,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Dies gilt zunächst von einigen gedruckten Büchern, wie schon bei der Mitteilung der Ergebnisse gesagt wurde (s. S. 3); ebenso aber auch ferner von verschiedenen Arbeiten, welchen ein wissenschaft- licher Wert nicht zugesprochen werden konnte oder in denen die Litteratur gar nicht oder nur wenig berücksichtigt war (vergl."
64,X,nus1_2_matzat_bereinigt.txt,,Nein,,"den ersten Absatz der Be- stimmungen S. 3); darunter befanden sich einige nicht schlechte Arbeiten, in welchen die Verfasser Talent bewiesen und Verständnis für das Thema zeigten."
65,X,nus1_2_matzat_bereinigt.txt,,Nein,,"2) Mit Unrecht ist gegen die Preisrichter ein Vorwurf erhoben worden, weil die drei Monate eine zu kurze Zeit gewesen wären um 60 Abhandlungen gründlich zu beur- teilen."
66,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Auch ist zu berücksichtigen daß, wie oben gesagt ist, bei nahezu einem Drittel der eingesandten Arbeiten jeder Preisrichter leicht erkannte, daß sie für einen Preis nicht in Betracht kommen konnten."
67,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Beurteilung der übrigen zum Teil umfang- reichen Abhandlungen war eine interessante, aber mühsame Aufgabe; sie konnte wohl in drei Monaten erledigt werden, besonders da jeder der Preisrichter in bezug auf die Be- urteilung wissenschaftlicher Arbeiten eine vieljährige Erfahrung besaß."
68,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Eine längere Zeit zur Beurteilung sich zu lassen wäre eine Annehmlichkeit für die Preisrichter gewesen, aber hätte schwerlich zu einem anderen Ergebnis geführt."
69,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Manche Verfasser haben in ihren Arbeiten eine eigene Naturphilosophie entwickelt, wobei gewöhnlich alle Erscheinungen in der Natur und im Menschen- leben unter gewisse Begriffe gebracht oder im Lichte einzelner bevorzugter Ideen betrachtet wurden."
70,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Ohne im einzelnen Fall über den Wert einer solchen Naturphilosophie urteilen zu wollen, mußten doch die Preisrichter sich meist dahin entscheiden, daß dieselbe bei dem vorliegenden Preisausschreiben nicht zu der Aufgabe gehöre und darum keinen Anspruch auf einen Preis mit sich bringe, wenn nicht die ganze Arbeit und die Durchführung des Themas preiswürdig seien1)."
71,X,nus1_2_matzat_bereinigt.txt,,Nein,,Aehnlich verhält es sich mit solchen Abhand- langen in welchen verschiedenartige Weltanschauungen verschmolzen sind; denn eine äußerliche Verknüpfung entgegengesetzter Anschauungen kann nicht als ein Verdienst angesehen werden.
72,X,nus1_2_matzat_bereinigt.txt,,Nein,,"B. ob ein Verfasser sich in der Vererbungslehre auf den Weismannschen oder auf den Lamarckschen Standpunkt stellte, ob jemand der Selektion in der Stammesentwickelung eine sehr hohe oder nur eine beschränkte Bedeutung zuschrieb, es mußte die eine oder die andere Ansicht als zulässig gelten."
73,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Wenn aber die Vererbung überhaupt als etwas Unbekanntes, Zufälliges oder »Launenhaftes« hingestellt oder wenn das Selektionsprinzip überhaupt als etwas Unmögliches angesehen wurde, so mußte dies der Arbeit zum Schaden gereichen2); jedoch ist dieser Fall nur bei sehr wenigen Arbeiten eingetreten."
74,X,nus1_2_matzat_bereinigt.txt,,Nein,,Das Thema konnte in verschiedener Weise aufgefaßt werden und die Darlegungen konnten nach verschiedenen Richtungen gehen.
75,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Freilich waren dem Thema »Erläuterungen« beigefügt, welche einige wichtige Grundgedanken angaben 1) Man wird auch in einigen Abhandlungen des Sammelwerkes eine eigenartige Naturphilosophie finden; insbesondere hat ein Verfasser die anorganische und die organische Natur unter den gleichen Prinzipien zu betrachten versucht; seine Arbeit ist weniger wegen dieser Naturphilosophie als vielmehr wegen der übrigen Ausführungen in das Sammelwerk aufgenommen worden."
76,X,nus1_2_matzat_bereinigt.txt,,Nein,,"2) Wer die Litteratur kennt, der weiß, daß nur sehr wenige und ganz einseitige Schriftsteller das Selektionsprinzip gänzlich verworfen haben."
77,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Meinung, daß der Darwinismus eine abgetane Sache sei oder daß die Descendenztheorie wissenschaftlich aufgegeben werde, beruht nur auf gewissen populären Schriften und hat keine wissenschaftliche Bedeutung."
78,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Seit die De- scendenzlehre besteht, ist sie immer in einzelnen Schriften als unsinnig oder als widerlegt bezeichnet worden."
79,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Schriftsteller, welche eine solche Meinung aussprechen, rechnen meist mehr auf den Beifall im großen Publikum, als auf die Zustimmung wissenschaft- licher Kreise."
80,X,nus1_2_matzat_bereinigt.txt,,Nein,,Diese Erläuterungen waren von dem Stifter der Preisaufgabe selbst verfaßt und von ihm mit seinen wissenschaftlichen Freunden in ein- gehender Weise beraten worden.
81,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Jedoch das Prinzip der wissenschaftlichen Freiheit erforderte, daß man nicht allzu streng an der Berücksichtigung der Erläuterungen festhielt; jedenfalls durfte man eine beachtenswerte und wissenschaftlich durchgeführte Arbeit nicht des- wegen ablehnen, weil der Verfasser den Andeutungen, welche die Erläute- rungen enthielten, nicht genau gefolgt war."
82,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Man wird bei Durchsicht des Sammelwerkes leicht erkennen, daß die Arbeiten sehr verschiedenartig sind."
83,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Wie die Verfasser mancherlei Berufen angehören und verschiedene Studien gemacht haben, so hat auch jeder der- selben das Thema in eigenartiger Weise behandelt."
84,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Eben darum war es passend und zweckmäßig, die preisgekrönten Arbeiten und noch einige andere Preisschriften in einem Sammelwerke zu vereinigen."
85,X,nus1_2_matzat_bereinigt.txt,,Nein,,Die Vielseitigkeit der Be- trachtungsweise und die damit zusammenhängende Fülle der Gedanken dürften unbestrittene Vorzüge des Sammelwerkes sein.
86,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Das Thema ist so weitgreifend und hängt mit so verschiedenen Wissens- gebieten zusammen, daß eine umfassende Bearbeitung desselben fast die Kräfte eines Einzelnen übersteigt."
87,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Dies stand den Mitgliedern der Preiskommission, sowie auch den Preisrichtern von Anfang an außer Zweifel."
88,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Auch aus diesem Grunde mußte den Verfassern die Freiheit gelassen werden, bei der Bearbeitung das Gebiet ihrer besten Kenntnisse und ihrer wissenschaft- lichen Neigung zu bevorzugen."
89,X,nus1_2_matzat_bereinigt.txt,,Nein,,"In manchen Abhandlungen sind die philo- sophisch-soziologischen Erörterungen am meisten ausgeführt, in anderen die historischen, in anderen die ethnologisch-soziologischen, in anderen die hygienisch- soziologischen."
90,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Juristische und nationalökonomische Probleme werden in allen Arbeiten besprochen, wenn auch in ungleichem Maße."
91,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die derzeitigen Partei- verhältnisse und die politischen Tagesfragen, insbesondere die sozialpolitische Gesetzgebung, sind in einigen Abhandlungen nur beiläufig berührt, in anderen in beachtenswerter Weise besprochen."
92,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Da die Verfasser ganz selbständig gearbeitet haben, war es unver- meidlich, daß die einzelnen Abhandlungen in einigen Punkten nicht in Ueberein- stimmung stehen."
93,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Will sich also der Leser nicht einem einzelnen Verfasser anschließen, so wird er sich doch aus der Gesamtheit der Arbeiten ein eigenes 10 H. E. Ziegler."
94,X,nus1_2_matzat_bereinigt.txt,,Nein,,"— Besonders wichtig aber ist die Tatsache, daß die Verfasser in Bezug auf viele Fragen auffallend übereinstimmen und unab- hängig voneinander oft auf ähnliche Erwägungen gekommen sind, manchmal auch mehr oder weniger bestimmt dieselben Forderungen aufstellen."
95,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Manche Anschauungen, welche mehreren preisgekrönten Arbeiten gemeinsam sind, waren auch noch in vielen anderen Schriften mehr oder weniger deutlich enthalten."
96,X,nus1_2_matzat_bereinigt.txt,,Nein,,Gerade in dieser Uebereinstinuuung zeigt sich vielfach der mächtige Einfluß der naturwissenschaftlichen Denkweise.
97,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Wenn ein Preisrichter eine Abhandlung im ganzen als wissenschaftlich bedeutend oder beachtenswert erkannte, so durfte er nicht allzusehr daran An- stoß nehmen, daß der Verfasser in einzelnen Punkten vielleicht Ansichten aus- stellte, welche ihm unrichtig erschienen."
98,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Es kann also nicht angenommen werden, daß jeder der Preisrichter mit jeder einzelnen Meinung, welche in irgend einer Arbeit steht, einverstanden sei."
99,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Es kann dies um so weniger der Fall sein, da die drei Preisrichter, welche verschiedenen Fächern angehörten selbstverständlich auch nicht in allen Punkten gleicher Ansicht waren, bei der Preisverteilung aber die Urteile aller drei Preisrichter berücksichtigt wurden."
100,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Das Sammelwerk soll nicht die Meinungen der Preisrichter, sondern die- jenigen der besten Bewerber bieten."
101,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Schließlich mag noch bemerkt werden, daß die besten Schriften offenbar von solchen Verfassern herrühren, welche nicht erst durch das Preisausschreiben zum Nachdenken über die vorliegende Frage veranlaßt wurden, sondern welche schon seit Jahren sich mit derartigen Problemen in ihren Gedanken be- schäftigten, so daß das Preisausschreiben für sie nur die Veranlassung wurde, ihre Anschauungen auszugestalten und niederzuschreiben."
102,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Im Gegenteil könnte ich mir keinen höheren Ruhm für das Preisausschreiben und das Sammelwerk denken, als den, in unserer Zeit der Agitatoren und Schwätzer wieder einmal die stillen Denker zum Wort kommen zu lassen."
103,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Wer alte Probleme nicht in der bisher üblichen Weise, sondern von neuen Gesichtspunkten aus betrachtet, hat immer die Wahrscheinlichkeit etwas Neues oder Bemerkenswertes zu finden, ebenso wie ein Forschungsreisender, wenn er in einem wenig bekannten Land die gewöhnlichen Handelsstraßen liegen läßt und auf unbegangenen Pfaden eindringt."
104,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Jahr- hundert gemacht haben, insbesondere wie die Erkenntnis der tierischen und pflanzlichen Natur durch die Descendenztheorie in ein neues Licht kam, wodurch auch die Stellung des Menschen in der Natur in überraschender und unerwarteter Weise beleuchtet wurde, so erscheint es als eine unver- meidliche und überaus wichtige Aufgabe, das Verhältnis der neuen An- schauungen zu den Problemen des öffentlichen Lebens und Staatslebens eingehend zu untersuchen."
105,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Kann der Gedankenkreis der modernen Natur- wissenschaft sogar die Grundlage einer neuen Weltanschauung bilden, so wird er auch die Lehre vom Staat und der Gesellschaft nicht unbeeinflusst lassen."
106,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Während der Mensch bisher sich als das Ziel der Schöpfung ansah und seine Stellung in der Welt auf metaphysische Vorstellungen begründete, erscheint er bei der natür- lichen Betrachtungsweise als ein Glied in der Reihe der Organismen, welches in körperlichen und geistigen Eigenschaften die Spuren seiner Ab- stammung trägt und biologischen Gesetzen unterworfen ist."
107,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Konsequenzen dieser Anschauung zeigen sich zunächst auf dem psychologischen, dann aber auch auf dem soziologischen Gebiet."
108,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Die Seele des Menschen, welche nach der herkömmlichen Anschauung einen überirdischen Ursprung und ein überirdisches Endziel hat und mit freiem Willen begabt ist, diese Seele beruht nach naturwissenschaftlicher Auf- fassung auf der Tätigkeit des Gehirns, entsteht im einzelnen Menschen all- mählich entsprechend der Entwickelung der Denkorgane, altert mit ihnen und muß mit dem Ende des körperlichen Lebens erlöschen1)."
109,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Von diesem mo- nistischen Standpunkt aus erscheint das psychische Leben in jedem Menschen natürlich bestimmt, einerseits durch die ererbten Anlagen, andererseits durch die Kenntnisse und Erfahrungen, also durch Eindrücke, welche das Individuum in seinem bisherigen Leben aufgenommen hat."
110,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Daß durch diese natur- wissenschaftliche Psychologie auch gewisse Fragen des Gesellschaftslebens und der Rechtspflege berührt werden, ist leicht begreiflich."
111,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Welche Schlüsse daraus insbesondere für das Strafrecht sich ergeben, ist in mehreren Preis- arbeiten ausführlich erörtert worden."
112,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Wenn die natürlichen Geistes- und Charakteranlagen des einzelnen Menschen auf der Vererbung beruhen, so kommt der naturwissenschaftlichen Lehre von der Vererbung eine bisher ungeahnte Bedeutung zu."
113,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Insbesondere 1) Diese von vielen Aerzten und Naturforschern geteilte Umsicht wurde neuerdings in klarster und bestimmtester Weise von Haeckel ausgesprochen (Die Welträtsel, Bonn 1899, 8."
114,X,nus1_2_matzat_bereinigt.txt,,Nein,,muß im Gegensatz zu alten Gleichheitstheorien die erbliche Verschiedenheit der Menschen anerkannt werden.
