Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (A, B, C)	Begründung
	selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten					
	mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener					Zusammenschweißung an anderer Stelle bereits verwendet, erweckt Eindruck von Floskelhaftigkeit
	Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die					
	erst allmählich durch das territoriale Zusammenleben und gegenseitige					
	Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.					
						
	Die Nationalitätenkämpfe des		erloschen ist	das Gefühl	A	ungeklärter Grenzfall
	19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich)					
	beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm	x				
	in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähn-					
	lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück-					
	stößt, noch nicht erloschen ist.	x				
						
	Der Geist der alten Horde (gens) protestiert	nein				"""Geist ..."" -> Floskel"
	gegen das Territorialitätsprinzip des modernen Staates.					
						
	Sobald aber eine	nein				
	Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der					
	Sitte ganz ausgemerzt zu werden.					"""von der Sitte"" fällt zunächst auf, aber """"ausmerzen"" wird häufig verwendet in solchen Kontexten"
						
	Die Sitte approbiert nämlich immer nur	nein				Personifikation der Sitte
	die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen					
	- d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde					
	sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von					
	der Sitte gemißbilligt und allmählich verhindert worden.					
						
	Indem das Verhältnis durch die Sitte be-	nein				Personifikation der Sitte
	festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen					
	nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch					
	eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten,					
	sondern nur an Mitglieder fremder Stämme verheiratet werden durften.					
						
	In dieser Form finden		verpflanzt worden	Eheverbote	A	Grenzfall?
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier					
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-	x				
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen					
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote					
	für Seitenverwandte bestehen, die derselben Generation angehören.					
						
	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das		Werkstatt	der Natur	A oder B	
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn					
	befähigt hat, in die Werkstatt der Natur einzudringen.	x				
						
	Die Religion hat ihre größte		durchtränkt	das ganze gesellschaftliche Leben 	A	fällt schon als Verstärkung auf
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche					
	Leben von der Religion durchtränkt ist.	x				
						
	Mühsam und Schritt	nein				
	für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kultur-					Floskel
	reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den					
	Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem					
	Flusse begriffen.					
						
	In demselben Moment, in dem die wissenschaftliche Er-	x	den Zauber der Dunkelheit	die wissenschaftliche Erkenntnis der Natur den Erscheinungen 	A	"""Dunkelheit"" wird oft verwendet, aber hier auffällig mit ""Zauber"" -> eher Grenzfall"
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt	x				
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung					
	auf, ein religiöses Objekt zu sein.					
						
	Die Religion hat in	x	viel Terrain verloren; die Eroberungen	die Religion hat in diesem Kampfe; der Wissenschaft	B; B	Kampf zwischen Religion und Wissenschaft
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen	x				
	der Wissenschaft noch nicht abgeschlossen sind.	x				
						
30-59	Ohne solche Regeln würde	nein				
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen					
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert					
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,					
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben					
	von Menschen sein würde.					
						
	Aber noch ist die Zeit nicht gekommen, zu verlangen, daß	nein				
	nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten.					Rahmen kann nicht definiert werden, kein Kontextbruch zu erkennen (ist aber dennoch auffällig)
	Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse					
	und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen					
	verschiedener Nationen ist auch eine Realität.					
						
	Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und	nein				
	verschiedene Nationen zusammenzuschweißen, gescheitert sind.					"Wiederholung ""zusammenschweißen von Nationen"" -> floskelhafter Gebrauch"
						
	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	nein				
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden					
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden					
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der					Wiederholung von Licht, Beleuchtung -> häufiger Floskelgebrauch 
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in					
	Beziehung gesetzt werden.					
						
	Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger	nein				"""brennender Haß"" nur besonders ausgedrückt, aber kein krasser Bruch erkennbar"
	der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller					
	mittelmäßigen und den Vernichter und Feind aller großen, genialen Indi-					
	viduen erblickt.					
						
	Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben	nein				
	worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein					nur besonders ausgedrückt, aber kein krasser Kontextbruch erkennbar
	der Menschheit verderbliches Kunstprodukt halten und demgegenüber die					
	Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau					
	seinen glänzendsten Vertreter hatte.					
						
	Will die Gesellschaft die natürliche Auslese befördern,		in den Dienst ... spannen	keines anderen Zieles	B oder C	
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-					
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel	x				
	hat und sich in den Dienst keines anderen Zieles spannen läßt.	x				
						
	Wir sind hiermit insoweit ganz einverstanden, als		ausjätet	alles unzweckmäßige	A	"hier wieder wie ""ausmerzen"" dieses ausjäten, was unsicher macht, andererseits schon metaphorisch, weil Gartenausdruck"
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen					
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als	x				
	möglich organisiert sind.					
						
	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz					
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr					
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze					
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages					
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-	?				"Was ist konkret mit diesem ""künstlichen Gebäude"" gemeint? "
	liche Gebäude in sich zusammenstürzt.	?				
						
	Die Menschheit		die Fundamente	ihres stolzen sozialen Baues	B	
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation					
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür					
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-					"mit ""genannt"" ein direkter Vergleich -> ""Klippen"" sind demnach keine Metapher"
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente	x				
	ihres stolzen sozialen Baues zu unterminieren.	x				
						
	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit		blasse Schemen	alle Ziele und Ideale	A	eher Grenzfall
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur					
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die					
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen	x				
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und					
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-					
	gepaßt sind.					
						
	Aber zwischen dem Punkte, wo uns das Mikroskop bei		klafft eine weite Lücke 	Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist	B	
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt					"""im Stich lassen"" -> floskelhafter und häufiger Gebrauch"
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier					
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem					
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten					
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im	x				
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen	x				
	über Theorieen auszufüllen versucht worden ist.	x				
						
	Sicherlich ist durch die		Zickzackwege	der Forschung		Also dass die Forschung im zickzack gegangen ist und sich oft nicht eindeutig sicher war mit ihren Ergebnissen 
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-					
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor					
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten					
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit	x				
	verfolgt hat.					
						
	Man sieht, daß wir auch durch diese weitgehende Aufhellung des Be-	nein				Hier wieder dieser häufige Gebrauch mit Licht, beleuchtung, Aufhellung
	fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur					
	unbedeutend näher gerückt sind.					
						
	»Diese gemmules«, sagt Darwin2), »sammeln	nein				
	sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen)					
	»zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein					
	neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden					"""schlummernd"" fällt zunächt auf, wird aber häufig verwendet -> Anschein einer Floskel"
	Zustande an künftige Generationen überliefert und dann erst entwickelt zu					
	werden.					
						
	Hierdurch wird nämlich zwar nicht die	nein 				
	Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie					
	beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der					
	Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von					
	Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße					
	ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen					"""Stempeln aufdrücken"" klingt schon besonders, wird aber immer wieder verwendet und erweckt dadurch den Eindruck einer Floskel"
	(nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche					
	Störung im ganzen Organismus und eine Ernährungsstörung der Keim-					
	zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.					
						
S. 60-89						
	Vielleicht ist auch ein Teil der Totge-		auf das Konto	eines solchen Anlasses	B oder C	Warum soll ein Anlass ein Konto besitzen? -> Metapher!
	burten auf das Konto eines solchen Anlasses zu schreiben.	x				
						
	»Es ist nun noch daran zu er-					
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.		fast unerschöpfliche Muster-karte	für die natürliche Auslese	B oder C	
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-					
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder					
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-	x				
	karte für die natürliche Auslese dargeboten wird.	x				
						
	Da nun bei der Verschmelzung beider Keimzellen gewisser-	nein				
	maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens-					
	energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so					
	kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren					
	Zelle zum Vorschein.					"""zum Vorschein kommen"" sehr floskelhaft"
						
	Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der	nein				
	Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend,					
	ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur					
	diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen					"Wiederholung von diesem ""schlummernd"""
	prädestiniert war.					
						
	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	nein				
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,					
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-					"Vergleich mit ""wie""!"
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die					
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in					
	Zusammenhang zu bringen sind.					
						
	Die jüdischen	nein				
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-					
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten					
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun					
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder					
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den					
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.					
						
	Wie	nein				
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-					
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«					"Vergleich mit ""wie""!"
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine					
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.					
						
	So wäre es denn nicht die Tatsache der Bluts-		einen geeigneten Boden 	in einer mangelhaften Konstitution	B	
	verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige					
	Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn					
	sie in einer mangelhaften Konstitution des Vaters und der Mutter einen	x				
	geeigneten Boden findet.	x				
						
	Auch auf sie trifft zu,		unfruchtbar angelegtes Nationalvermögen	ein Stück	A	Oder nur besonders ausgedrückt? Sehr grenzfällig
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-					
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-					
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer					
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen	x				
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch					"""mit in's Grab nehmen"" verbreitete Floskel"
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst					
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.					
						
	Wenn man die zahllosen Schwierigkeiten	nein				
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge					
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht					"Vergleich mit ""als""!"
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung					
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird					
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen					
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es					
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.					
						
	Wenn man die zahllosen Schwierigkeiten	nein				
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge					
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht					
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung					
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird					
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen					
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es					
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.					
						
	Die Statistik ist in der Lage	nein				
	dieses schlagend zu beleuchten.					wiederholter Gebrauch von beleuchten -> Floskel
						
90-119						
	Schon in der ersten Schrift dieser Art, der 1516		der Keim der Zwietracht	in die Ehe 	A	Grenzfall, ob noch leichte Metapher (da Rahmen definierbar) oder doch nur Floskel, da gängiger Begriff?
	erschienenen Schrift »De optimo reipublicae statu deque nova insula					
	Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung					
	die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körper-					
	lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß					
	vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer					
	alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren					
	Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe					
	bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.	x				
						
	Es muß dem Einzelnen	nein				
	durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Ge-					
	deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird					
	und vom Gedeihen des Staates abhängt.					
						
	Selbst wenn wir einmal annehmen, dies	nein				
	sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge,					
	welche bei dem von uns empfohlenen Wege vermieden werden.					
						
	Gesetzliche	nein				
	Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach					
	ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger					
	innerer Beschaffenheit über denselben Kamm zu scheeren.					Floskel
						
	Sie [die Anpassung] kann auf geringfügige Änderungen der	nein				
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen					
	der Organisation antworten; aber sie versagt bei größeren Änderungen und					
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.					"""tritt die Herrschaft ab"" klingt zwar auffällig, aber wohl eher Floskel"
						
	In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer		feinere Ausarbeitung ind Ziselierung	und was noch weiter geschieht	A	
	Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was					Vergleich
	noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.	x				
						
	»Beim Menschen scheint das Kind gar nichts mitzubringen,	nein				
	sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch					
	unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier,					
	aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden					
	bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst					
	im Keime vorgebildet sein kann.					
						
	So geht nun das Reisen der Disposi-	nein				
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,					
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand					Floskel
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die					
	bloße Vererbung bei den Tieren vermag« 2).					
						
	Kommt der Mensch mit ganz	nein				
	bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung					
	sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.					Floskel
						
	Man kann auf diese Weise eine	nein				
	böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz er-					
	töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin,					"wiederholter Gebrauch von ""ausmerzen"""
	aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde					"Vergleich mit ""als""!"
