Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre									
	das neue Reich unmöglich gewesen.									
										
S. 41-70										
	Diese erscheinen nunmehr als Mittel, um diesen Zu-	nein								Personifizierung der Vernunft zur Gebieterin
	sammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle									
	Zwecke in Bezug auf diesen obersten Zweck beherrscht.									
										
	Wenn sonach das Zweckprinzip auf der ganzen Linie unterlegen ist,									
	wenn es sich zeigt, daß es nicht auf eigenen Füßen stehen und gehen kann,									
	sondern, sobald es das versucht, schließlich irgendwann an einen Punkt gerät,									
	wo es allein nicht weiter kann oder gar in Gefahr ist, in den Abgrund des									
	Konsens zu stürzen, und wenn es sich vor dieser Gefahr nur dadurch retten kann,									
	daß es sich an das Stabilitäts- oder an das Anpassungsprinzip klammert:									
	so werden doch derartige Versuche immer wieder unternommen werden, man									
	wird immer wieder glauben, daß das Zweckprinzip alles vermöge, weil es									
	viel vermag; — wenn es nicht gelingt zu zeigen, was ihm eigentlich fehlt.									
										
	Und diese Seite der Sache muß unbedingt in die hellste Be-	nein								Wiederholter Gebrauch von Beleuchtung -> floskelhafte Verwendung
	leuchtung gesetzt werden.									
										
	Ebenso wie beim Auswaschen des Goldsandes durch strömendes	nein								"""wie"" -> Vergleich!"
	Wasser das Wasser die Goldkörner nicht zurückläst, weil sie kostbar oder nützlich oder									
	schön sind, sondern nur, weil sie wegen ihrer größeren Dichte schneller zu Boden sinken									
	als der leichtere Quarzsand, bildet sich die zweckmäßige Beschaffenheit der Organismen									
	nicht aus, weil die »Natur« mit ihnen besondere Zwecke der Schönheit, der Belebung, der									
	Energieausnutzung verfolgt, sondern die vermöge ihrer gerade vorhandenen Be-									
	schaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen,									
	nicht dauerhaften durch den Strom der Zeit schneller fortgeschwemmt werden.									
										
	oder aber uns dieser unaufhaltsam daherrollenden Lawine des Guten in den	x	unaufhaltsam daherrollende Lawine	des Guten	Satz nicht komplett, unklar, ob konkrete Semantikerweiterung hier stattgefunden hat	ja	unklar	unklar	A	Stelle fällt schon auf, allerdings könnte es auch nur sehr überspitzt sein
	Weg zu werfen, um von ihr zerschmettert zu werden.									
										
										
S. 71-100										
	»Man könnte annehmen, und es ist in älteren Zeiten angenommen worden, daß	x	im Haushalte	der Natur	ja (wie Werkstatt der Natur)	ja	ja	leicht	B	"durch unmöglicher Ersetzbarkeit und im Vergleich zu ""Werkstatt der Natur"" eine Metapher, wenn auch nicht unbedingt eine C-Metapher"
	diejenigen Teile der Organisation, welche die Lebensweise und im allgemeinen den Platz									
	bestimmen, welchen jedes Wesen im Haushalte der Natur einnimmt, von erster Wichtigkeit									
	seien.									
										
	Sagt man dagegen:	nein								"Floskel ""x -Spuk""; kein Bruch. neovitalisch: auf den Biologen Hans Driesch zurückgehende Lehre von der Eigengesetzlichkeit des Lebendigen"
	die Träufelspitze ist für die Pflanzen nützlich oder wertvoll und weist man									
	das Wort »zweckmäßig« überall da zurück, wo das gegenwärtige oder frühere									
	Vorhandensein eines Zweckes nicht nachgewiesen ist, so wird dem neovitali-									
	stischen Spuk bald ein Ende gemacht sein.									
										
S. 101-121										
	Man erinnere sich nur des Entrüstungssturmes, mit dem die Darwinsche Theorie	x	des Entrüstungssturmes	Man erinnere sich nur // aber eigentlich der ganze Satz	ja, auffällige Stelle	unklar	unklar	ja	B	Darstellung der Stimmung, die die Leute hatten, als die Theorie erschienen ist. Eventuell doch nur sehr malerisch dargestellt? Unklar
	und ihre unabweisbaren Folgerungen hinsichtlich der Abstammung des Menschen empfangen									
	wurden.									
										
	Er umfaßt die Gewohnheiten des Handelns, die ihm	nein								"""einimpfen"" fällt zwar schon auf, ist aber nur sehr überspitzt dargestellt und nicht sonderlich kreativ (einimpfen eher Floskel)"
	das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel									
	seiner Genossen und seiner Führer einimpfen.									
										
	Dann hätten wir eben für jeden	unklar								"Kontext unklar, könnte eine Metapher sein, aber von welchen Reihen ist hier die Rede? ""Verschmolzen"" ist aber auch nicht sonderlich kreativ"
	Augenblick umfassendere Komplexe und die beiden Reihen wären zu einem einzigen									
	psychischen Vorgang verschmolzen.									
										
S. 122-150										
	Alles Lernen besteht in Anpassungsvorgängen, welche dadurch ein-	nein								
	geleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen									
	oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten1).									
										
	Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das	nein								"Unklar, bezieht sich ""höchstes und letztes ethisches Prinzip"" auf den Boden? // Boden ist aber leicht ersetzbar: Grundlage, Basis. Kein Bruch."
	Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen									
	Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen									
	fortsetzen.«									
	Der Boden ist doch so sicher nicht.									
										
	Du bist	nein								"""Pforten der Unterwelt"" fällt zwar auf, aber ein Begriff der Bibel, nicht sonderlich originell -> Floskel"
	Petrus, und auf diesen									
	Felsen will ich meine									
	Gemeinde bauen, und									
	die Pforten der Unterwelt									
	sollen sie nicht überwältigen.									
										
	Ich sage euch aber wahr-	nein								
	haftig, sind einige unter									
	denen, die hier stehen, welche									
	den Tod nicht kosten werden,									
	bis sie das Reich Gottes									
	sehen.«									
										
	Also zwei grobe Entstellungen der Überlieferung, das sind die Grund-	nein								"""Rettungsanker"" fällt zunächst auf, aber sehr floskelhafte Verwendung, ggf. auch Vergleich mit ""diese... ist..."" -> dann definitiv keine Metapher "
	lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs-									
	anker des Naturrechts und der allgemeinen Menschenrechte.									
										
	Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich	x	Dämme	mussten sie an irgend welchen Stellen ... gegen den Lauf der logischen Schlüsse ausführen	ja	unklar -> Grenzen, Mauern, eher schon ersetzbar		ja	A oder B	würde es als Grenzfall aufnehmen, da schon auffällig, aber auch ersetzbar
	ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung,									
	jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheits-									
	beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:									
										
	Im Gegenteil, der Rechtsbegriff schwankt	nein								
	heute mehr als je, die Unsicherheit nimmt womöglich noch zu.									
										
	Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen	x	einzelnen begrifflichen Requisite	das Wesen seiner	ja	schwer, eigentlich ja	ja	ja	B 	"Stelle fällt auf, erzeugt Kontextbruch, weil wieso unbedingt ""Requisite""?"
	über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits									
	in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger									
	Haltbarkeit natürlich, schwerlich mehr austreten kann.									
										
	Damit ist der Boden der	nein								"Wiederholte Verwendung von ""Boden"" als Grundlage/Basis, floskelhaft"
	Descendenztheorie verlassen und der der Teleologie betreten, und nun geht									
	es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen									
	Ethik, Rechts- und Staatsphilosophie.									
										
	Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus	nein								"""aus dem Feld schlagen"" -> Floskel; ersetzbar (Konkurrenz besiegen)"
	dem Felde zu schlagen sein.									
										
	»In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die	nein								"""Großartigen Kern entfalten"" wird durch ""einheitliche Entwickelungslehre"" erklärt -> keine Metapher"
	einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschafts-									
	bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die									
	Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammen-									
	fügt!									
										
	Und so wären die in der Naturwissenschaft vollzogenen Veränderungen	nein								"Hier wiederholt ""Boden""-Thematik -> floskelhaft"
	in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische									
	Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den									
	Boden zu entziehen.«									
										
	Ob er	nein								"""An der Hand von..."" -> floskelhaft"
	richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm									
	ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien,									
	insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts									
	und dann erst das Wesen und Werden des Staates untersuchen.									
										
	Der Verfasser des Matthäustextes hat einen so gewaltsamen Ein-	nein							A	Licht-Thematik -> Grenzfall
	griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu									
	nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für									
	den Messias erklärt habe, in das hellste Licht gesetzt und durch die Er-									
	findung der Vollmachterteilung verschönert.									
										
	Bei Matthäus ist er	x	wörtlich abgeschrieben / kleine Lichter ausgesetzt / kontaminiert / gründlich verdorben 	er [vermutlich der Text] / er [vermutlich der Text] / mit einer anderen Quelle / ihn [vermutlich der Text]	ja	ja	ja	ja	C	Im einzelnen nicht unbedingt metaphorisch, durch die Steigerung aber definitiv!
	ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter									
	ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt									
	(mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte,									
	daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der									
	bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.									
										
	Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der	nein								"""Streiflicht werfen"" fällt zwar auf, ist eher Floskel (https://de.wiktionary.org/wiki/Streiflicht#cite_note-1), aber könnte man als Grenzfall aufnehmen, da doch pointiert!"
	Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß									
	einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unter-									
	warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des									
	Rechts nur von der Philosophie überkommen könne.									
										
	»Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der	x	Streit-organisation 	durch Recht und Sitte	ja	schwer	ja	ja	B	Streitorganisation -> Kriegsbegriff in diesem Kontext erzeugt Bruch
	vervollkommnenden Auslese der menschlichen Daseinskämpfe;									
	genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessen-									
	kämpfe,									
	welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils									
	gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körper-									
	und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit-									
	organisation ausgekämpft,									
	durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen									
	Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen									
	erweckt und in immer höherem Grade erneuert,									
	um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um									
	ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt,									
	durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag									
	und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden									
	und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen									
	sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die									
	relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet,									
	abgestoßen oder zu besserer Anpassung genötigt werden,									
	und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die									
	kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr Gesellschafts-									
	Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen									
	Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«									
										
	Das liegt an deren Unwissenheit (ignorance), sagt die	nein								
	»Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglück-									
	lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit									
	(oubli) geraten. 									
										
	Indem wir durch die verschiedenen Ent-	nein								
	wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be-									
	wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und									
	zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende									
	Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu									
	sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden									
	Handelns noch deutlicher ausgeprägt. 									
										
	Das ist	x	Bankerotterklärung	der gesamten Menschheit	ja	Zahlungsunfähigkeit	ja	ja	A	würde es als Grenzfall aufnehmen, da schon auffällig im Kontext, aber auch ersetzbar
	entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch									
	wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechts-									
	philosophie.									
										
	Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und	nein								
	Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu									
	erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu									
	ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach									
	dem Hafen hin bewegen.«									
										
	Doch der Zirkel ist nur ein scheinbarer. 	nein								Kontext ist aber auch unklar
										
	Man darf eben nicht	nein								"""ihre Plätze tauschen lassen"" -> leicht ersetzbar, daher keine Metapher"
	beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Spezies-									
	merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts									
	geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.									
										
										
S. 151-170										
	Einerseits kann die Jurisprudenz, da sie	nein								"""seiner Rechtsnatur entkleiden"" fällt zunächst auf, aber leicht ersetzbar!"
	nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen									
	Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man									
	ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht									
	war.									
										
	Unzählige Ansätze mögen in dieser Beziehung unternommen	x	die Blasen des sprudelnden Wassers 	im Werdeprozess der Geschichte	ja	ja	ja	ja	C	äußerst metaphorisch
	worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nach-									
	folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu									
	sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere									
	mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —									
										
	— der Egoismus leitet die Gewalt unvermerkt	nein								"Personifizierung ""Egoismus"" in ""... leitet ..."""
	in die Bahn des Rechts.									
										
	Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die	x	Aschenbrödel im Hause // Majordomus	das Gesetz / der Gewalt // das Gesetz	ja	ja	ja	ja	B oder C	sehr auffällig und kreativ
	Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe									
	der Zeit der Majordomus«.«									
										
S. 170-190										
	Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie	x	Fehdeansage	Gesetzmäßigkeit des sozialen Lebens	ja, Kriegsbegriff	ja	ja	ja	B	Kriegsbegriff in diesem Kontext, Bruch erkennbar
	immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale									
	Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens									
	sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden,									
	dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist,									
	verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend,									
	ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.									
										
	Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus;	x	ungeberdigen Sprößling	Anarchismus / Kind des Idealismus	ja	ja	ja	ja	B oder C	Anarchismus als Kind darstellen
	und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu									
	bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser									
	beruft.									
										
	Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem	nein								Floskel
	enfant terrible etwas anders umspringen.									
										
	Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegner-	nein								Floskel, weder pointiert noch unersetzlich
	schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren									
	eigenen Waffen.									
										
	Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht	unklar								Verstehe den ganze Satz nicht.
	ein (subjektives) Recht: eins, aber ein Löwe.									
										
	»In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen	nein								"""Schiffbruch erleiden"" -> weder unersetzbar noch pointiert, gängige Floskel"
	weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu									
	beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich									
	Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).									
										
	Je geringer ihre Anpassung sein würde, desto	nein								
	unerbittlicher müßte die Auslese gegen sie sein.									
										
	Die Erde ist nicht dazu da, daß auf ihr beliebige Horden	nein								
	beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder									
	Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde ge-									
	rechte Spruch der Natur und der Geschichte.									
										
	So äußert sich das Weltgesetz der zunehmenden Anpassung	nein								Gebietsthematik -> Floskel
	auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtig-									
	keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts-									
	steigerung.									
										
	Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat	x	ausgerüstet / herantreten	mit diesen Einsichten / an den Staat	ja	unklar	unklar	ja	A	würde es als Grenzfall ansehen, Stellen fallen schon auf, Kriegsbegriffe in diesem Kontext, allerdings unklar, ob nicht doch leicht ersetzbar
	herantreten.									
										
S. 191-220										
	»Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm	nein								
	eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Ge-									
	sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen									
	Gesamtleben.									
										
	Er ist nur einer unter	nein								
	den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des mensch-									
	lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.									
										
	Alle anderen Anforderungen an den Staat treten gegen diese eine	x	Ohnmacht	der Staatsgewalt	ja	ja	ja	ja	A oder B	Rahmen und Fokus klar erkennbar, semantische Erweiterung (Gesundheitsbegriff im Kontext der Staatsgewalt), Unersetzbar? -> temporäre Unfähigkeit? // würde es eher als Grenzfall diesbezüglich aufnehmen 
	zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß									
	er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst									
	hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es									
	für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt,									
	es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!									
										
	Diese Einheit kommt aber auch nach außen	nein								
	zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden									
	Zweckmomente durch ihre Handlungen zu versorgen.									
										
	Ganz ebenso aber	nein								"""als"" -> Vergleich!"
	braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen									
	zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.									
										
	Wir werden also am besten tun, gleich vor die rechte Schmiede	nein								nein gesetzt (29.08.20)
	zu gehen und zunächst zu fragen:									
										
	Gleich	x	ohne Wehen und Geburtsschmerz	vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung	ja (Vermehrung ohne Geburt)	ja	ja	ja	B oder C	fällt besonders auf, ergibt Bruch! 
	den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus									
	einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.									
										
	Nicht nur,	nein 								"""fließen auseinander wie..."" -> Vergleich!"
	daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch									
	diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallert-									
	masse.									
										
	Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen	nein								"Vergleich mit ""wie""!"
	sie auch zusammen.									
										
	Wählt sie den Weg der Fehde, so ist derselben nicht blos der Tot-	nein								nein gesetzt (29.08.20), weil Kontext unkar
	schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den									
	Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden									
	Hand).									
										
	Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für	nein								"""unbewaffnetes Auge"" wird so oft verwendet und erweckt Floskelhaftigkeit"
	das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines									
	Stecknadelknopfes.									
										
	In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer	x	»Gallertmassen«	der einzelnen Stämme	ja	ja	ja	ja	B oder C	Begriff aus der Chemie in diesem Kontext erzeugt Bruch; schwer vorstellbar, wie Begriff zu verstehen ist -> originelle Verwendung; allerdings in Anführungszeichen -> Warum?
	150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen									
	innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.									
										
	Nach Chlodowechs Tod (511) tritt »Kern-	nein								
	teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche									
	dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die									
	Bayern schließen sich an.									
										
	Das also war das Menschenmaterial für den zu gründenden Staat:	nein								Sehr bissig ausgedrückt, aber kein Rahmen und Bruch erkennbar
	Menschenfresser.									
										
										
S. 221-250										
	In Wahrheit gingen nicht die germanischen Völker in sich	x	verblich ... die letzte Abendröte	antiker Civilisation	ja (Wetter und Zivilisation)	ja	ja	ja	B oder C	sehr auffällig, Bruch 
	zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«									
										
	Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allver-	nein								Stellen fallen zwar kurz auf, aber wiederholt (Boden, Quellen) -> floskelhafte Verwendung
	ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar									
