Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	Diese erscheinen nunmehr als Mittel, um diesen Zu-	x	wird Gebieterin, beherrscht	die Vernunft	nein	ja	ja	ja	B	
	sammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle									
	Zwecke in Bezug auf diesen obersten Zweck beherrscht.									
										
	Wenn sonach das Zweckprinzip auf der ganzen Linie unterlegen ist,	x	des Konsens	in den Abgrund stürzen	ja	ja	ja	ja	B	
	wenn es sich zeigt, daß es nicht auf eigenen Füßen stehen und gehen kann,									
	sondern, sobald es das versucht, schließlich irgendwann an einen Punkt gerät,									
	wo es allein nicht weiter kann oder gar in Gefahr ist, in den Abgrund des									
	Konsens zu stürzen, und wenn es sich vor dieser Gefahr nur dadurch retten kann,									
	daß es sich an das Stabilitäts- oder an das Anpassungsprinzip klammert:									
	so werden doch derartige Versuche immer wieder unternommen werden, man									
	wird immer wieder glauben, daß das Zweckprinzip alles vermöge, weil es									
	viel vermag; — wenn es nicht gelingt zu zeigen, was ihm eigentlich fehlt.									
										
	Und diese Seite der Sache muß unbedingt in die hellste Be-	nein						ja		eher bildhafter Ausdruck, kein Bruch
	leuchtung gesetzt werden.									
										
	Ebenso wie beim Auswaschen des Goldsandes durch strömendes	nein								direkter Vergleich, daher keine Metapher
	Wasser das Wasser die Goldkörner nicht zurückläst, weil sie kostbar oder nützlich oder									
	schön sind, sondern nur, weil sie wegen ihrer größeren Dichte schneller zu Boden sinken									
	als der leichtere Quarzsand, bildet sich die zweckmäßige Beschaffenheit der Organismen									
	nicht aus, weil die »Natur« mit ihnen besondere Zwecke der Schönheit, der Belebung, der									
	Energieausnutzung verfolgt, sondern die vermöge ihrer gerade vorhandenen Be-									
	schaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen,									
	nicht dauerhaften durch den Strom der Zeit schneller fortgeschwemmt werden.									
										
	oder aber uns dieser unaufhaltsam daherrollenden Lawine des Guten in den	x	des Guten	unaufhaltsam daherrollenden Lawine	ja	ja	ja	ja	B	
	Weg zu werfen, um von ihr zerschmettert zu werden.									
										
										
Matzat S. 71-100										
	»Man könnte annehmen, und es ist in älteren Zeiten angenommen worden, daß	x	der Natur	Haushalt	ja	ja	ja	ja	B	sprachlich irregulär, pointiert, nicht ersetzbar ohne Ausdruck zu zerstören
	diejenigen Teile der Organisation, welche die Lebensweise und im allgemeinen den Platz									
	bestimmen, welchen jedes Wesen im Haushalte der Natur einnimmt, von erster Wichtigkeit									
	seien.									
										
	Sagt man dagegen:									
	die Träufelspitze ist für die Pflanzen nützlich oder wertvoll und weist man	nein								Dem Spuk ein Ende machen ist eine Redewendung. aber neovitalistischer Spuk fällt dann doch auf. Grenzfall
	das Wort »zweckmäßig« überall da zurück, wo das gegenwärtige oder frühere									
	Vorhandensein eines Zweckes nicht nachgewiesen ist, so wird dem neovitali-									
	stischen Spuk bald ein Ende gemacht sein.									
										
S. 101-121										
	Man erinnere sich nur des Entrüstungssturmes, mit dem die Darwinsche Theorie	nein								Entrüstungssturm ist eine feststehender Ausdruck, siehe Sturm der Entrüstung (wie man heute sagen würde)
	und ihre unabweisbaren Folgerungen hinsichtlich der Abstammung des Menschen empfangen									
	wurden.									
										
	Er umfaßt die Gewohnheiten des Handelns, die ihm	nein						ja		Floskel
	das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel									
	seiner Genossen und seiner Führer einimpfen.									
										
	Dann hätten wir eben für jeden	x	verschmolzen	zu einen einzigen physischen Vorgang	ja	ja	ja	ja	A	zu eine Vorgang kann eigentlich nichts verschmelzen. Versucht man das Wort zu ersetzen, geht die Spannung aber verloren, d.h. so wirklich ersetzlich ist das Wirt dann nicht, sprachlich auffällig und pointiert ist er sowieso
	Augenblick umfassendere Komplexe und die beiden Reihen wären zu einem einzigen									
	psychischen Vorgang verschmolzen.									
										
S. 122-150										
	Alles Lernen besteht in Anpassungsvorgängen, welche dadurch ein-	nein			nein	nein	ja	ja	B	
	geleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen									
	oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten1).									
										
	Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das	nein								blumig, aber kein Bruch, übliche Ausdrucksweisen
	Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen									
	Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen									
	fortsetzen.«									
	Der Boden ist doch so sicher nicht.									
										
	Du bist	x	sollen sie nicht überwältigen	die Pforten der Unterwelt	ja	ja	ja	ja	B	
	Petrus, und auf diesen									
	Felsen will ich meine									
	Gemeinde bauen, und									
	die Pforten der Unterwelt									
	sollen sie nicht überwältigen.									
										
	Ich sage euch aber wahr-	x	kosten	den Tod	ja	ja	ja	ja	B	
	haftig, sind einige unter									
	denen, die hier stehen, welche									
	den Tod nicht kosten werden,									
	bis sie das Reich Gottes									
	sehen.«									
										
	Also zwei grobe Entstellungen der Überlieferung, das sind die Grund-	nein								Rettungsanker als bildhafter Ausdruck ist nicht ungewöhnlich, daher kein Bruch und keine Metapher
	lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs-									
	anker des Naturrechts und der allgemeinen Menschenrechte.									
										
	Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich	nien								Ist Dämme ausführen ein Synonym für aufbauen? Falls ja, handelt sich der ganze Ausdruck um eine FLoskel
	ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung,									
	jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheits-									
	beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:									
										
	Im Gegenteil, der Rechtsbegriff schwankt	x	schwankt	der Rechtsbegriff	ja	ja	ja	ja	B	
	heute mehr als je, die Unsicherheit nimmt womöglich noch zu.									
										
	Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen	nein								klingt nur schwülstig oder altertümlich, aber kein so rechter Bruch
	über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits									
	in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger									
	Haltbarkeit natürlich, schwerlich mehr austreten kann.									
										
	Damit ist der Boden der	x	der Descendenztheorie, Teleologie	der Boden	nein	nein	ja	ja	A	sprachlich irregulär, pointiert, Gebietsmetapher. Solche Metaphern sind häufig, weshalb der Bruch nicht zu stark ausfällt
	Descendenztheorie verlassen und der der Teleologie betreten, und nun geht									
	es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen									
	Ethik, Rechts- und Staatsphilosophie.									
										
	Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus									aus dem Feld schlagen ist eine Redewendung
	dem Felde zu schlagen sein.									
										
	»In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die	nein								Personifikation, aber mir scheint der Ausdruck ersetzbar zu sein, kein Bruch
	einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschafts-									
	bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die									
	Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammen-									
	fügt!									
										
	Und so wären die in der Naturwissenschaft vollzogenen Veränderungen	nein								etwas den Boden entziehen ist eine Redewendung/Floskel
	in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische									
	Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den									
	Boden zu entziehen.«									
										
	Ob er	nein								kein Bruch, nichts Auffälliges
	richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm									
	ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien,									
	insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts									
	und dann erst das Wesen und Werden des Staates untersuchen.									
										
	Der Verfasser des Matthäustextes hat einen so gewaltsamen Ein-	nein								Floskel, ins Licht setzen ist ein üblicher Ausdruck. Ins hellste Licht setzen macht den Ausdruck jetzt nicht so viel mehr besonders
	griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu									
	nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für									
	den Messias erklärt habe, in das hellste Licht gesetzt und durch die Er-									
	findung der Vollmachterteilung verschönert.									
										
	Bei Matthäus ist er	x	kontaminniert	mit einer anderen Quelle	ja	nein	ja	ja	B	"Man könnte ""kontaminiert"" mit ""verschmutzen"" ersetzen, dann gäbe es aber auch einen Bruch zwischen diesen neuen Fokus und den Rahmen, Also ich sehe hier einen Bruch. Und sowohl kontaminieren als auch mein Beispiel verschmutzen kann man auf diese Weise eigentlich nicht auf Texte anwenden"
	ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter									
	ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt									
	(mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte,									
	daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der									
	bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.									
										
	Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der	nein								ein Streiflicht werfen ist eine Redewendung
	Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß									
	einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unter-									
	warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des									
	Rechts nur von der Philosophie überkommen könne.									
										
	»Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der	nein								blumig, erscheint mir aber zeitgenössischer/fachlicher Jargon zu sein
	vervollkommnenden Auslese der menschlichen Daseinskämpfe;									
	genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessen-									
	kämpfe,									
	welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils									
	gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körper-									
	und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit-									
	organisation ausgekämpft,									
	durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen									
	Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen									
	erweckt und in immer höherem Grade erneuert,									
	um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um									
	ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt,									
	durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag									
	und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden									
	und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen									
	sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die									
	relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet,									
	abgestoßen oder zu besserer Anpassung genötigt werden,									
	und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die									
	kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr Gesellschafts-									
	Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen									
	Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«									
										
	Das liegt an deren Unwissenheit (ignorance), sagt die	nein								kein Bruch, keine Auffälligkeiten
	»Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglück-									
	lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit									
	(oubli) geraten. 									
										
	Indem wir durch die verschiedenen Ent-	nein								erscheint mir schlicht bildlich aber ohne Bruch
	wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be-									
	wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und									
	zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende									
	Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu									
	sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden									
	Handelns noch deutlicher ausgeprägt. 									
										
	Das ist									
	entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch	nein								"""eine Bankrotterklärung"" auf diese Weise benutzt, ist eine Redewendung"
	wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechts-									
	philosophie.									
										
	Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und	nein								Der Autor zeichnet ein Bild, aber es gibt keinen Bruch
	Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu									
	erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu									
	ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach									
	dem Hafen hin bewegen.«									
										Wo ist die Auffälligkeit?
	Doch der Zirkel ist nur ein scheinbarer. 	nein								
										
	Man darf eben nicht	nein								
	beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Spezies-	nein								Keine Auffälligkeit, kein Bruch
	merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts									
	geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.									
										
										
Matzat S. 151-170										
	Einerseits kann die Jurisprudenz, da sie	x	gereinigt	Denken	ja	ja	ja	ja	B	
	nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen									
	Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man	x	entkleiden	seiner Rechtsnatur	ja	ja	ja	ja	B	
	ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht									
	war.									
										
	Unzählige Ansätze mögen in dieser Beziehung unternommen	x	die Blasen des sprudelnden Wassers	im Werdeprozeß der Geschichte	ja	ja	ja	ja	B	sehr auffälliger und einzigartiger Ausdruck
	worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nach-									
	folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu									
	sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere									
	mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —									
										
	— der Egoismus leitet die Gewalt unvermerkt	x	leitet in die Bahn des Rechts	die Gewalt	nein	ja		ja	A	bin hier nicht ganz sicher. Bahnen des Recht scheint mir einen FLoskel zu sein
	in die Bahn des Rechts.									
										
	Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die	x	Aschenbrödel im Hause der Gewalt, Majordomus	das Gesetz	ja	ja	ja	ja	B	
	Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe									
	der Zeit der Majordomus«.«									
										
S. 170-190										
	Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie	x	einen Inhalt geben, selbst dem Krieg auf Tod und Leben verkündet ist	dem Rechte			ja	ja	A	blumige Floskel?
	immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale									
	Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens									
	sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden,									
	dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist,									
	verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend,									
	ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.									
										
	Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus;	x	ein legitimes Kind, ungeberdigen Sprößling	Der Anarchismus ist	ja	ja	ja	ja	B	
	und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu									
	bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser									
	beruft.									
										
	Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem	nein								Der Satz für sich genommen ist nicht metaphorisch. Wenn er aber auf den obigen folgte (mit dem Kind des Anarchismus) würde ich ihn als Teil dieses metaphorischen Ausdrucks ansehen
	enfant terrible etwas anders umspringen.									
										
	Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegner-	nein						ja		"""aus dem Felde schlagen"" ist eine Redewendung. Kombiniert mit dem Ausdruck theologische Gegnerschaft wird der Ausdruck aber sehr auffällig"
	schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren									
	eigenen Waffen.									
										
	Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht	x	fließt	aus allen Pflichten	ja	ja	ja	ja	B	
	ein (subjektives) Recht: eins, aber ein Löwe.									
										
	»In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen	nein								"""mit etwas Schiffbruch erleiden"" ist eine Redewendung, deshalb entsteht hier m.M.n. kein Bruch"
	weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu									
	beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich									
	Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).									
										
	Je geringer ihre Anpassung sein würde, desto	nein								Personifikation, aber kein Bruch
	unerbittlicher müßte die Auslese gegen sie sein.									
										
	Die Erde ist nicht dazu da, daß auf ihr beliebige Horden	nein								"Natur und Geschichte werden personifiziert, aber kein Bruch. Ausdrücke wie Spruch der Geschichte (oder auch ""Urteil"" der Geschichte) scheinen mir Redewendungen zu sein"
	beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder									
	Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde ge-									
	rechte Spruch der Natur und der Geschichte.									
										
	So äußert sich das Weltgesetz der zunehmenden Anpassung	nein								"""etwas äußert sich auf diesem Gebiet so und so"" ist eine Redewendung/Floskel"
	auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtig-									
	keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts-									
	steigerung.									
										
	Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat	nein						ja		"klingt ein bisschen blumig. ""Erkenntnis"" wird wie ein physischer Gegenstand behandelt. Aber ""ausgerüstet"" kann man leicht ersetzen (Bsp. ausgestattet), auch gibt es keine semantische Erweiterung"
	herantreten.									
										
S. 191-220										
	»Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm	nein								erscheint als = direkter Vergleich
	eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Ge-									
	sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen									
	Gesamtleben.									
										
	Er ist nur einer unter									
	den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des mensch-	nein								Jargon
	lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.									
										
	Alle anderen Anforderungen an den Staat treten gegen diese eine	x	Todsünde	des Staates		ja	ja	ja	B	Todsünde kann man nicht wirklich ersetzen ohne die Wirkung dieser Stelle aufzulösen
	zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß									
	er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst									
	hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es									
	für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt,									
	es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!									
										
	Diese Einheit kommt aber auch nach außen	nein								kein Bruch, Fokus/Rahmen
	zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden									
	Zweckmomente durch ihre Handlungen zu versorgen.									
										
	Ganz ebenso aber	nein								der Staat ist hier personifiziert, das allein erzeugt aber nicht gleich einen Bruch
	braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen									
	zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.									
										
	Wir werden also am besten tun, gleich vor die rechte Schmiede	nein								Der Ausdruck für sich erzeugt keinen Bruch. Im Gesamtzusammenhang ist er ein bildhafter Ausdruck, 
	zu gehen und zunächst zu fragen:									
										
	Gleich	nein								direkter Vergleich
	den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus									
	einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.									
										
	Nicht nur,									
	daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch	nein								direkter Vergleich
	diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallert-									
	masse.									
										
	Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen	nein								direkter Vergleich
	sie auch zusammen.									
										
	Wählt sie den Weg der Fehde, so ist derselben nicht blos der Tot-	x	der Fehde	Weg	ja	ja	ja	ja	A	Weg des irgendwas scheint mir nah an der Floskel
	schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den	x	entspinnt sich	ein Krieg	ja	ja	ja	ja	B	
	Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden									
	Hand).									
										
	Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für	nein								direkter Vergleich
	das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines									
	Stecknadelknopfes.									
										
	In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer	x	haben wir die ersten Kernbildungen	x	ja	ja	ja	ja	B	 Hier fehlt anders als bei den ähnlichen Sätzen ein direktes Vergleichswort
	150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen									
	innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.									
										
	Nach Chlodowechs Tod (511) tritt »Kern-	nein								die ANführungszeichen federn den Bruch ab und glätten ihn
	teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche									
	dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die									
	Bayern schließen sich an.									
										
	Das also war das Menschenmaterial für den zu gründenden Staat:	nein								Menschenmaterial ist ein feststehender Ausdruck. Und Menschenfresser ist, wenn ich mich an den Gesamtzusammenhang erinnere wörtlich gemeint
										
										
Matzat S. 221-250										
	In Wahrheit gingen nicht die germanischen Völker in sich	x	antiker Civilisation	die letzte Abendröte	ja	ja	ja	ja	B	
	zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«									
										
	Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allver-	nein								eher blumiger Jargon, ich sehe keinen Bruch
	ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar									
	von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung									
	seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem									
	durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen									
	»Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener									
	Zeiten gemacht haben.									
										
