Abschnitt	Stelle	B	K	P	A
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in				
	Beziehung gesetzt werden.				
					
	Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger	x	nein	nein	x
	der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller				
	mittelmäßigen und den Vernichter und Feind aller großen, genialen Indi-				
	viduen erblickt.				
					
	Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben	nein	nein	nein	x
	worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein				
	der Menschheit verderbliches Kunstprodukt halten und demgegenüber die				
	Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau				
	seinen glänzendsten Vertreter hatte.				
					
	Will die Gesellschaft die natürliche Auslese befördern,	x	x	x	x
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-				
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel				
	hat und sich in den Dienst keines anderen Zieles spannen läßt.				
					
	Wir sind hiermit insoweit ganz einverstanden, als	x	x	nein	x
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen				
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als				
	möglich organisiert sind.				
					
	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	x	nein	nein	nein
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr				
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze				
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages				
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-				
	liche Gebäude in sich zusammenstürzt.				
					
	Die Menschheit	x	x	nein	nein
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation				
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür				
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-				
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente				
	ihres stolzen sozialen Baues zu unterminieren.				
					
	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit	nein	x	x	x
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur				
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die				
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen				
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und				
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-				
	gepaßt sind.				
					
	Aber zwischen dem Punkte, wo uns das Mikroskop bei	nein	x	nein	x
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt				
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier				
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem				
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten				
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im				
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen				
	über Theorieen auszufüllen versucht worden ist.				
					
	Sicherlich ist durch die	nein	x	nein	x
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-				
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor				
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten				
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit				
	verfolgt hat.				
					
	Man sieht, daß wir auch durch diese weitgehende Aufhellung des Be-	nein	nein	nein	nein
	fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur				
	unbedeutend näher gerückt sind.				
					
	»Diese gemmules«, sagt Darwin2), »sammeln	x	nein	nein	x
	sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen)				
	»zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein				
	neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden				
	Zustande an künftige Generationen überliefert und dann erst entwickelt zu				
	werden.				
					
	Hierdurch wird nämlich zwar nicht die	nein	nein 	nein	x
	Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie				
	beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der				
	Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von				
	Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße				
	ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen				
	(nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche				
	Störung im ganzen Organismus und eine Ernährungsstörung der Keim-				
	zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.				
					
					
S. 60-89					
	Vielleicht ist auch ein Teil der Totge-	nein	nein	x	nein
	burten auf das Konto eines solchen Anlasses zu schreiben.				
					
	»Es ist nun noch daran zu er-	x	x	x	x
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.				
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-				
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder				
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-				
	karte für die natürliche Auslese dargeboten wird.				
					
	Da nun bei der Verschmelzung beider Keimzellen gewisser-	nein	nein	nein	nein
	maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens-				
	energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so				
	kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren				
	Zelle zum Vorschein.				
					
	Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der	x	nein	nein	nein
	Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend,				
	ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur				
	diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen				
	prädestiniert war.				
					
	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	x	x	nein	nein
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,				
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-				
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die				
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in				
	Zusammenhang zu bringen sind.				
					
	Die jüdischen	nein	nein	nein	x
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-				
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten				
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun				
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder				
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den				
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.				
					
	Wie	nein	x	nein	nein
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-				
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«				
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine				
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.				
					
	So wäre es denn nicht die Tatsache der Bluts-	x	x	x	nein
	verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige				
	Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn				
	sie in einer mangelhaften Konstitution des Vaters und der Mutter einen				
	geeigneten Boden findet.				
					
	Auch auf sie trifft zu,	nein	x	x	x
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-				
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-				
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer				
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen				
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch				
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst				
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.				
					
	Wenn man die zahllosen Schwierigkeiten	nein	nein	nein	x
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge				
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht				
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung				
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird				
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen				
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es				
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.				
					
	Die Statistik ist in der Lage	nein	x	nein	x
	dieses schlagend zu beleuchten.				
					
90-119					
	Schon in der ersten Schrift dieser Art, der 1516	nein	x	x	nein
	erschienenen Schrift »De optimo reipublicae statu deque nova insula		x		
	Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung				
	die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körper-				
	lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß				
	vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer				
	alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren				
	Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe				
	bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.				
					
	Es muß dem Einzelnen	nein	nein	nein	x
	durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Ge-				
	deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird				
	und vom Gedeihen des Staates abhängt.				
					
	Selbst wenn wir einmal annehmen, dies	x	nein	nein	nein
	sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge,				
	welche bei dem von uns empfohlenen Wege vermieden werden.				
					
	Gesetzliche	nein	nein	nein	nein
	Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach				
	ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger				
	innerer Beschaffenheit über denselben Kamm zu scheeren.				
					
	Sie [die Anpassung] kann auf geringfügige Änderungen der	x	x	nein	nein
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen				
	der Organisation antworten; aber sie versagt bei größeren Änderungen und				
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.				
					
	In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer	x	x	x	x
	Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was				
	noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.				
					
	»Beim Menschen scheint das Kind gar nichts mitzubringen,	nein	nein	nein	nein
	sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch				
	unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier,				
	aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden				
	bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst				
	im Keime vorgebildet sein kann.				
					
	So geht nun das Reisen der Disposi-	x	x	nein	nein
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,				
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand				
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die				
	bloße Vererbung bei den Tieren vermag« 2).				
					
	Kommt der Mensch mit ganz	x	nein	nein	x
	bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung				
	sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.				
					
	Man kann auf diese Weise eine	nein	x	nein	nein
	böse Anlage, z. B. die Neigung zur Grausamkeit, nie eigentlich ganz er-				
	töten und aus der Psyche des Kindes ausmerzen; sie bleibt stets darin,				
	aber sie wird unschädlich, weil sich als Frucht guter Erziehung im Kinde				
	jetzt bei jeder aufsteigenden Neigung zu einer grausamen Handlung durch				
	Gedankenassoziation zugleich abmahnend ein ganzer Komplex von Vorstellungen				
	erhebt, welche jenen Wunsch als schlecht, als verachtenswert, als von bösen				
	Folgen begleitet erscheinen und ihn deshalb nicht zur Tat werden lassen.				
					
	Es ist nicht immer nötig, daß dieser der	x	x	nein	nein
	schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung				
	und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstel-				
	lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von				
	selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und				
	Gewöhnung gewissermaßen allein.				
					
	Solange jene Neigung nicht	nein	nein	nein	nein
	zur alles verzehrenden Leidenschaft geworden ist und die gleichzeitig ge-				
	weckten Vorstellungen stark genug sind, werden sie in vielen Fällen die				
	Neigung, falls sie schlecht ist, besiegen und die schlechte Tat unausgeführt				
	lassen.				
					
	Die Schulen sind aber für	x	x	nein	x
	diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch				
	ohne Schule und gegen die Schule bricht.				
					
	Wenn man	x	x	x	nein
	etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen				
	den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu				
	sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben				
	werden kann.				
					
	Was wir meinen, ist nur	nein	x	nein	x
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch				
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben				
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem				
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-				
	eignet sind.				
					
	Er muß damit rechnen, daß die einzelnen Volksgenossen bereits	nein	nein	nein	x
	mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach				
	ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht				
	im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne				
	als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren ge-				
	nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges				
	Hindernis entgegenstellen.				
					
	Stehen wir durch die Vererbung körperlich in	nein	x	nein	nein
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden				
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-				
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren				
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als				
	einem unverrückbaren Medium.				
					
	Das intelligenteste	x	x	nein	nein
	Europäerkind wird unter einem Stamm von Wilden nie auch nur entfernt				
	das Wissen und die Erfahrung eines gebildeten Europäers erreichen, weil				
	ihm das Medium fehlt, aus dem es dieses Wissen und diese Erfahrung				
	saugen könnte.				
					
	Keine von ihnen ist die Errungenschaft einer ein-	nein	nein	x	nein
	zigen Generation, vielmehr sind sie alle das gemeinsame Produkt vieler				
	Generationen, von denen die eine immer auf den Schultern der früheren				
	steht und von denen jede ihr Scherflein zu dem heutigen Stande beigetragen				
	hat.				
					
	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	nein	x	nein	x
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen				
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,				
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten				
	zurückreichen.				
					
	Dies ist jedoch ein Miß-	x	x	x	x
	verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin				
	durch die Schranken des Herkommens gefesselt ist.«				
					
	Aber die Gestalten und Bilder, welche	x	x	x	nein
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,				
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er				
	fröhlich ihrem leisen Zuge.				
					
	Die	nein	nein	nein	nein
	Sollvorschrift bildet dann gewissermaßen die Hülle oder Schale, die sich un-				
	verändert erhält, während der Kern grundlegende Veränderungen erfahren				
	hat.				
					
	Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten	x	x	x	x
	und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.				
					
	Oft	x	x	x	x
	genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht				
	des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung				
	durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebens-				
	anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt				
	und ihn in ihre Geleise zwang.				
					
	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	nein	x	nein	
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?				x
					
	Würde die Vergangenheit sich nicht wie ein Schwergewicht an uns hängen	nein	nein	nein	nein
	und als Ballast unserem sozialen Leben einen ruhigen Gang verleihen, so				
	würde dieses von Extrem zu Extrem schwanken und jedes Staatswesen wäre				
	ein Spielball in der Hand waghalsiger Experimentatoren.				
					
	Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette,	nein	x	x	x
	des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und da-				
	durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise,				
	die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt				
	ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft				
	nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.				
					
