Agreement	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	Begründung	Kommentar
2	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	x	richtige Beleuchtung	gewinnen	x	x	x	x	B	nur Beleuchtung nicht interessant. Doch erst durch etwas die Beleuchtung gewinnen ist irregulär und unersetzlich	
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden										
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden										
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der										
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in										
	Beziehung gesetzt werden.										
											
2	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	nein	über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht	Sitte							
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,										
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-										
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die										
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in										
	Zusammenhang zu bringen sind.										
											
1	Wie	nein	sich zu verdichten	Sitte					B	Etwas kann sich zur Sitte entwickeln, aber verdichten? Sitte wird als etwas stoffliches beschrieben, das erzeugt eine Spannung	
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-										
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«										
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine										
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.										
											
2	Auch auf sie trifft zu,	nein	unfruchtbar	ein Stück angelegtes Nationalvermögen			x				
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-										
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-										
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer										
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen										
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch										
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst										
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.										
											
2	Die Statistik ist in der Lage	x	schlagend	beleuchtend	x	x	x	x	B	Fokus liegt auf schlagend, etwas schlagend beleuchten 	gemeinsam: eventuell doch nur Redewendung?
	dieses schlagend zu beleuchten.										
											
2	Was wir meinen, ist nur	x	sich organisch einfügen	in das ganze soziale Getriebe						bildhaft	
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch										
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben										
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem										
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-										
	eignet sind.										
											
1	Stehen wir durch die Vererbung körperlich in	x	leben und weben wir	in ihrer geistigen Hinterlassenschaft	x	x	x	x	B	"""leben und weben"" erzeugt eine Erwartung auf einen physischen Ort, die ""geistige Hinterlassenschaft"" ist weder physisch, noch überhaupt so wirklich  ein Ort"	
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden										
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-										
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren										
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als										
	einem unverrückbaren Medium.										
											
2	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	x	Dunkel	der entferntesten Zeiten	x	x	x	x	A	"Dunkel für ""Verborgenes/unwissenheit"", A weil es ist so ähnlich wie Licht"	
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen										
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,										
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten										
	zurückreichen.										
											
2	Aber die Gestalten und Bilder, welche	x	in seine Seele gefallen	die Gestalten und Bilder	x	x	x	x	B		
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,										
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er										
	fröhlich ihrem leisen Zuge.										
											
1	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	nein	Sprung ins dunkle	ein neues Gesetz						Sprung ins … nein, das sagt man	
	dunkle.										
											
2	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	nein	unbewaffnete	Augen						Augen ohne Brille und Fernrohr = unbewaffnete Augen, nicht wirklich metaphorisch, da kein richtiger Bruch	
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe										
	einer Dampfmaschine die Leistungen von Riesen übertreffen.										
											
1	Eine weitere Folge der	x	verwebt	göttliches Recht mit der Religion 	x	x	x	x	B	Recht ist verwebt, wie verbunden, nur stärker	
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der										
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die										
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-										
	fiel.										
											
2	Aber zwischen dem Punkte, wo uns das Mikroskop bei	x	klafft eine weite Lücke	Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist					B	eins der Grenzfallbeispiele aus den Sheets	
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt										
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier										
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem										
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten										
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im										
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen										
	über Theorieen auszufüllen versucht worden ist.										
											
2	Sicherlich ist durch die	x	Zickzackwege	der Forschung	x	x	x	x	x	Also dass die Forschung im zickzack gegangen ist und sich oft nicht eindeutig sicher war mit ihren Ergebnissen 	
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-										
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor										
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten										
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit										
	verfolgt hat.										
											
1	Die jüdischen	nein	Zaun um das Gesetz	Ausdehnung jener Ge- und Verbote						bildhaft	
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-			Handlungen zu gebieten oder verbieten							
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten										
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun										
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder										
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den										
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.										
											
2	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	nein	geistigen	Bau					A	Bin nicht sicher. sprachlich nicht so irregulär, eher floskelhaft, aber pointiert.	
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?									geistiger Bau klingt etwas ungewöhnlich, aber erzeugt er wirklich einen Bruch?	
											
2	So verlockend es nun mit-	x	Arsenale	der Volkswirtschaftspolitik	x	x	x	x	B	Kriegsbegriff im Kontext der VW-Politik	
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-										
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch										
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch										
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu										
	machen.										
											
1	Vielleicht ist auch ein Teil der Totge-	x	auf das Konto	eines solchen Anlasses	x	x	x	x	A	das etwas aufs Konto von Etwas/Jemandem geht ist eigentlich wie eine Redewendung, daher nur A	
	burten auf das Konto eines solchen Anlasses zu schreiben.										
											
2	Ob nicht auch hier die individuelle Geschlechtsliebe	x	der Kompaß	die individuelle Geschlechtsliebe	x	x	x	x	B		
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal										
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-										
	passenden von einander fernhält?										
											
2	Als Schüler der Hegelschen Philosophie hatten	x	durchtränkten	vom Rationalismus der Aufklärungsperiode	x	x	x	x	A	"""Durch etwas durchtränkt sein"" ist aber eine üblichere Metapher und deshalb wenig auffällig und deshalb nur A"	
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren										
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten										
	sozialistischen Vorgänger.										
											
2	Und da diese sozialen	x	saugen	seine Erfahrungen	x	x	x	x	B	an Erfahrung saugen, - 	
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem										
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle										
	Geistesleben von den Produktionsverhältnissen bestimmt.										
											
1	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	x	ganze Strecke weit mitgehen.	Marx’schen Gedankengange 	x	x	x	x	B	"dem Gang mitgehen wäre nicht sehr auffällig, aber hier, ""eine Strecke mit einem Gedanken weit mitgehen"" schon"	
	weit mitgehen.										
											
1 und 1	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	nein	aus dem Reiche der Notwendigkeit, in das Reich der Freiheit	macht den Sprung	x	x			A	Reich der… kommt oft vor in diesen Büchern	
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das										
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon	x	spinnt den Faden	ihres Schicksals	x	x	x	x	B	auffällig, kenne es nicht als Floskel, daher Metapher, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.										
