Agreement	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (A, B, C)	Begründung	Kommentar
2	Sie [die Anpassung] kann auf geringfügige Änderungen der	x	tritt die Herrschaft ab	die Anpassung	B	zunächst durch Personifikation pointiert, anschließend durch Bruch und weitere Semantik ausgezeichnet wird diese Stelle metaphorisch, Umformulierung würde ihr diese Pointierung nehmen: es sollen hier Machtkämpfe verbildlicht werden. Die Anpassung  wird als konkurrierender Herrscher dargestellt. Das würde man nicht erwarten und es stößt auf	gemeinsam: Redewendung gepaart mit Personifikation
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen						
	der Organisation antworten; aber sie versagt bei größeren Änderungen und						
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.						
							
2	So geht nun das Reisen der Disposi-	x	Nachmeißeln	dieser Dispositionen	B	die frühere Metapher der Statue wird hier geschickt durch eine ergänzende Metapher aufgegriffen, das Meißeln verweist abermals auf die bildenden Künste, die Stelle wird so pointiert und ist nicht auszutauschen	
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,						
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand						
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die						
	bloße Vererbung bei den Tieren vermag« 2).						
							
2	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	x	Jahrzehnte und Jahrtausende	Fragen, an denen sich abgemüht haben	B	"Bruch, Ausdruck nicht ersetzbar, sprachlich irregulär; Warum sollten sich Jahresangaben an der Beantwortung von Fragen ""abmühen""? Klingt schon sehr kreativ und damit ist gemeint, dass die Beantwortung schon sehr lange andauert. Zudem Steigerung: Hunderte, dann Tausende."	
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,						
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-						
	hunderte und Jahrtausende abgemüht haben.						
							
1	Eine Gesetz-	x	ihre Kräfte nutzlos vergeuden und zu Grunde gehen	Eine Gesetzgebung	B	Bruch, sprachlich irregulär, pointiert	von Atiya nicht bearbeitet
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-						
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution						
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos						
	vergeuden und zu Grunde gehen.						
							
2	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	x	richtige Beleuchtung	gewinnen	B	Bruch, sprachlich irregulär, pointiert, aber Ausdruck auch ersetzbar, dann geht aber die Pointierung verloren.	
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden						
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden						
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der						
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in						
	Beziehung gesetzt werden.						
							
2	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	x	über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht	Sitte	B	Bruch. Sprachlich irregulär, pointiert. Etwas Abstraktes wie die Sitte wird wie ein Handlungsobjekt mit seinem eigenen Gebiet behandelt (oder die Sitte erscheint gleichzeitig als Gebiet selbst). leichter Bruch durch die Zuschreibung territorialer Semantik, die durch Umformulierung verlorenginge, die Macht der Sitte soll wohl so pointiert werden	
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,						
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-						
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die						
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in						
	Zusammenhang zu bringen sind.						
							
1	Wie	x	sich zu verdichten	Sitte	B	Bruch. sprachlich irregulär, pointiert. etwas kann sich zur Sitte entwickeln, aber verdichten? Sitte wird als etwas stoffliches beschrieben, das erzeugt eine Spannung	
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-						
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«						
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine						
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.						
							
2	Auch auf sie trifft zu,	x	unfruchtbar	ein Stück angelegtes Nationalvermögen	B	auffällig, das unfruchtbare Vermögen, Bruch, sprachlich irregulär, pointiert, Ausdruck nicht ersetzbar, ohne seine Wirkung zu untergraben	
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-					„mit in‘s Grab nehmen“ habe ich aber als Redewendung aufgefasst	
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-						
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer						
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen						
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch						
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst						
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.						
							
2	Die Statistik ist in der Lage	x	schlagend	beleuchtend	B	Bruch. Sprachlich irregulär, pointiert. Ausdruck nicht ersetzbar. „schlagen“ und „beleuchtend“ passt überhaupt nicht zusammen, die Ausdrücke arbeiten so stark gegeneinander.	gemeinsam: eventuell doch nur Redewendung?
	dieses schlagend zu beleuchten.						
							
2	Was wir meinen, ist nur	x	sich organisch einfügen	in das ganze soziale Getriebe	B	Bruch.sprachlich irregulär, pointiert	
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch						
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben						
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem						
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-						
	eignet sind.						
							
1	Stehen wir durch die Vererbung körperlich in	x	leben und weben wir	in ihrer geistigen Hinterlassenschaft	B	"""leben und weben"" erzeugt eine Erwartung auf einen physischen Ort, die ""geistige Hinterlassenschaft"" ist weder physisch, noch überhaupt so wirklich  ein Ort"	
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden						
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-						
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren						
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als						
	einem unverrückbaren Medium.						
							
2	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	x	Dunkel	der entferntesten Zeiten	B	Bruch. Sprachlich irreguär, pointiert	
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen					Kette (..) zurückreichen habe ich nicht als Metapher gesehen. „Kette“ erscheint mir nur als Synonym von „Reihe“ und als solches erzeugt es mit kein Bruch	
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,						
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten						
	zurückreichen.						
							
2	Aber die Gestalten und Bilder, welche	x	in seine Seele gefallen	die Gestalten und Bilder	B	Bruch durch irreguläre Verknüpfung und Verweisung auf Räumlichkeit, pointierte Stelle, unterstützt durch bildreiche Sprache	
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,						
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er						
	fröhlich ihrem leisen Zuge.						
							
1	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	x	Sprung ins dunkle	ein neues Gesetz	B	Bruch, sprachlich irregulär, pointiert,	
	dunkle.						
							
2	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	x	unbewaffnete	Augen	B	leichter Bruch, Anreicherung der Semantik, Verknüpfung sprachlich irregulär, pointiert, nicht ersetzbar ohne Bruch zu verlieren	
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe						
	einer Dampfmaschine die Leistungen von Riesen übertreffen.						
							
1	Eine weitere Folge der	x	verwebt	göttliches Recht mit der Religion 	B	Recht ist verwebt, auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der						
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die						
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-						
	fiel.						
							
2	Aber zwischen dem Punkte, wo uns das Mikroskop bei	x	klafft eine weite Lücke	Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist	B		
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt						
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier						
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem						
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten						
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im						
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen						
	über Theorieen auszufüllen versucht worden ist.						
							
2	Sicherlich ist durch die	x	Zickzackwege	der Forschung		Also dass die Forschung im zickzack gegangen ist und sich oft nicht eindeutig sicher war mit ihren Ergebnissen 	
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-						
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor						
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten						
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit						
	verfolgt hat.						
							
1	Die jüdischen	x	Zaun um das Gesetz	Ausdehnung jener Ge- und Verbote	B	Der Zaun um ein Gesetz, das ausgedehnt werden kann - auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-			Handlungen zu gebieten oder verbieten			
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten						
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun						
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder						
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den						
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.						
							
2	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	x	geistigen	Bau	A	Bin nicht sicher. sprachlich nicht so irregulär, eher floskelhaft, aber pointiert.	
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?					geistiger Bau klingt etwas ungewöhnlich, aber erzeugt er wirklich einen Bruch?	
							
2	So verlockend es nun mit-	x	Arsenale	der Volkswirtschaftspolitik	B	Kriegsbegriff im Kontext der VW-Politik	
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-						
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch						
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch						
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu						
	machen.						
							
1	Vielleicht ist auch ein Teil der Totge-	x	auf das Konto	eines solchen Anlasses	B oder C	Warum soll ein Anlass ein Konto besitzen	
	burten auf das Konto eines solchen Anlasses zu schreiben.						
							
2	Ob nicht auch hier die individuelle Geschlechtsliebe	x	der Kompaß	die individuelle Geschlechtsliebe	B	Bruch, verknüpft irregulär andere Semantik, unersetzlich	
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal						
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-						
	passenden von einander fernhält?						
							
2	Als Schüler der Hegelschen Philosophie hatten	x	durchtränkten	vom Rationalismus der Aufklärungsperiode	B	"Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung; ""Durch etwas durchtränkt sein"" ist aber eine üblichere Metapher und deshalb wenig auffällig"	
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren						
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten						
	sozialistischen Vorgänger.						
							
2	Und da diese sozialen	x	saugen	seine Erfahrungen	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar	von Atiya nicht bearbeitet
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem						
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle						
	Geistesleben von den Produktionsverhältnissen bestimmt.						
							
1	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	Metapher	ganze Strecke weit mitgehen.	Marx’schen Gedankengange 	B	dem Gang mitgehen wäre nicht sehr auffällig, aber hier, eine Strecke weit mitgehen, schon - Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	
	weit mitgehen.						
							
1 und 1	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	x	aus dem Reiche der Notwendigkeit, in das Reich der Freiheit	macht den Sprung	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar	beide Markierungen nur jeweils von einem Annotierenden
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das						
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon	x	spinnt den Faden	ihres Schicksals	B	auffällig, kenne es nicht als Floskel, daher Metapher, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.						
