fv	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung	Kommentar
63 4 None	In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer	x	ist die Statue gegossen	zu einer Zelle verschmelzen	C	Sonderfall einer direkt übernommenen, nämlich zitierten Metapher, deutlicher Bruch, nicht austauschbar, neuer Bedeutungsgehalt wird eingebracht, Hier werden zwei verschiedene Dinge miteinander identifiziert, ohne dass die explizit als Vergleich beschrieben wird, sodass der ganze Ausdruck heraussticht	
	Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was						
	noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.						
							
70 3 None	Die Schulen sind aber für	x	bricht	seinen Weg	A	"Bruch durch brechen, irreguläre Verknüpfung von Weg und brechen, stärkere Betonung als einen Weg gehen, daher nicht austauschbar und verweist auf Probleme etc., pointiert. ABer ""sich seinen Weg brechen"" ist ein so geläufiger Ausdruck, dass ich mir nicht ganz sicher bin, ob das eine Metapher ist. Die Schule als Hindernis erzeugt aber eine Spannung, weil Schule eigentlich das Gegenteil sein sollte"	
	diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch						
	ohne Schule und gegen die Schule bricht.						
							
71 3 None	Wenn man	x	vollgepropft	mit Anschauungen	A	Bruch und Verweisung auf pflanzlichen Bereich, Betonung, nicht ersetzbar	
	etwa befürchtet, daß dann in den Schulen schon die Kinder mit gewissen						
	den Regierenden genehmen Anschauungen vollgepfropft würden, so ist zu						
	sagen, daß Mißbrauch mit jeder noch so vernünftigen Maßregel getrieben						
	werden kann.						
							
78 3 None	Dies ist jedoch ein Miß-	x	durch die Schranken gefesselt	des Herkommens	B	Doppelbruch: Die Herkunft fesselt hier durch Schranken in alle Richtungen, irreguläre Sprachverknüpfung, nicht austauschbar, pointierte Stelle	
	verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin		gefesselt	durch die Schranken			
	durch die Schranken des Herkommens gefesselt ist.«						
							
81 3 None	Überall machen sich starke Bestrebungen geltend, die überkommenen Sitten	x	nagende	Vernunft	B	Bruch und Anreicherung der Semantik, nicht ersetzbar, sprachlich irregulär verknüpft; Erinnert aber auch an den Ausdruck „nagende Zweifel“	
	und Gebräuche gegenüber der nagenden Vernunft aufrecht zu erhalten.						
							
82 4 None	Oft	x	Vergewaltigung	durch die Schatten der Vergangenheit	B	Bruch, neue Semantik, irreguläre Verknüpfung, unersetzlich, unterstützt durch bildreiche Sprache und Floskeln	
	genug ist derjenige, der sich in der Jugend einst knirschend gegen die Macht						
	des Hergebrachten aufbäumte, gar nicht genug über diese Vergewaltigung						
	durch die Schatten der Vergangenheit klagen konnte, mit gereifterer Lebens-						
	anschauung froh gewesen, daß die Wirklichkeit seinem Ansturme Stand hielt	x	seinem Ansturme Stand hielt	die Wirklichkeit	B		
	und ihn in ihre Geleise zwang.						
							
85 3 None	Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette,	x	fortpflanzen	Vorschriften der Sitte durch mündliche Überlieferung	A	oder auch nur Grenzfall, da nicht besonders kreativ, die Redeweise vom „fortpflanzen“ aller möglichen Dinge erscheint mir auch jargonhaft	
	des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und da-						
	durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise,						
	die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt						
	ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft						
	nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.						
							
87 3 None	»Wir können den Lauf der Zeit nicht da-	x	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln könnte	ein Zukunftsgesetz	B	Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen, andererseits Fuß fassen und wurzeln sind doch recht floskelhaft	
	durch beschleunigen, daß wir unsere Uhren vorstellen: ein Zukunftsgesetz,						
	und wenn es die genialste Lösung der sozialen Fragen enthielte, es fände						
	kein Land, wo es fußen, und kein Volksverständnis, in dem es wurzeln						
	könnte«, sagt Endemann1).						
							
88 4 None	Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem	x	Geburtshelfer, mit neuen sozialen Erscheinungen schwanger geht	Gesellschaftsleben	B	bewusst als Metapher zitiert, Bruch durch die Anwendung der Schwangerschaft auf Politik, dadurch neue Semantik, pointiert und unersetzlich	
	Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit						
	neuen sozialen Erscheinungen schwanger geht.						
							
89 3 None	Die Vernunft einzelner Menschen kann vorher	x	Triebwerk	des sozialen Lebens	A	nah an der Floskel, Bruch, irreguläre Verknüpfung zweier Semantiken, nicht auszutauschen	
	nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen						
	Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren						
	Einfluß geltend macht, wirken wird.						
							
91 3 None	Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufen-	x	tote	Buchstaben	A	Bruch, sprachlich irregulär, pointiert, aber auch floskelhaft; vielleicht sogar eine bewusste Anspielung auf Augustinus, der den Geist der Schrift gegenüber den toten Buchstaben hervorhebt, was sich später als übliche Redeweise etablierte und auf andere Bereiche übertragen wurde	
	mäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht-						
	lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor						
	gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch						
	beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und anderer-						
	seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein						
	des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.						
							
92 3 None	Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verar-	x	als Keim eingeschlossen	in die Paragraphen	B	"Bruch, sprachlich irreguläre Verknüpfung zweier Semantiken, nicht austauschbar, unterstützt durch das Bild der lebendigen Buchstaben, was das vorige Bild aufnimmt; oder wegen dem ""als"" doch nur Vergleich?"	
	beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die						
	Gesetzesbuchstaben lebendig werden.«						
							die Ergebnisse des dritte Reiters, die Seiten 120-175 fehlten, da Ks Annotationen nicht vorlagen
3	Wenn also einzelne Soziologen	x	Gedeck an dem großen Gastmahl	der Natur	B	zitierte Metapher, pointierte Stelle unterstützt durch bildhaften Vergleich, Anreicherung der Semantik, nicht austauschbar	
	in der hohen Kindersterblichkeit in Deutschland befriedigt das Walten der						
	natürlichen Auslese erblicken, wenn ein Autor (Otto Zacharias) in deut-						
	lichem Anklange an die 1. Auflage von Robert Malthus’ Hauptwerk den						
	Satz aufstellt, »daß die enorme Kindersterblichkeit der großen Städte die						
	Pforte sei, durch welche alle diejenigen jungen Leben, für welche kein Ge-	x	Pforte	daß die enorme Kindersterblichkeit der großen Städte (..) sei	C	Bruch, sprachlich irregulär, pointiert	die Pforte wurde nur von einem als Metapher aufgeasst
	deck an dem großen Gastmahl der Natur aufgelegt ist, sich wieder entfernen						
	müssen«, so ist das eine völlige Verkennung der Tatsachen.						
							
3	Unerkannt sitzt die geschlechtliche Zuchtwahl aber auch am Webstuhl	x	Webstuhl	der Geschichte	B	Bruch, neuer semantischer Kontext, unersetzbar, pointiert, irregulär verknüpft (heuzutage schon so gängige Metapher, dass es fast eine Floskel ist)	
	der Geschichte.						
							
3	Freilich scheint uns auch hier wie zur Erreichung so vieler anderer	x	tief ins Herz des Volkes eingegrabenes	Staatsideal	C	Metapher mit Bild, Bruch, irreguläre Verknüpfung, verweist auf andere Semantik (mit dem Bild insgesamt drei!) dadurch nicht ersetzbar und überaus pointiert	
	wünschenswerter Ziele ein hohes und tief ins Herz des Volkes einge-						
	grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein-						
	zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration						
	Beschränkungen auferlegt.						
							
3	Nur	x	gepflanzt	Herz des Volkes	B	das selbe Bild wie zuvor, andere Verknüpfung, neue Semantik, Bruch, weniger pointiert, aber auch auffälig	
	auf diese Weise wird ins Herz des Volkes selbst ein Motiv gepflanzt, das						
	gewaltig wirkend den einzelnen im Banne hält und ihm die Entsagung						
	dort leicht macht, wo sie durch kleinliche Zwangsmaßregeln überhaupt nie						
	zu erreichen sein würde.						
							
3	Die Zeitungen	x	das Vergrößerungsglas	ihres Parteiinteresses	B	Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung	
	sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und						
	des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes	x	möglichst großes Interesse	dem Leser einflößen	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar	das Einflößen wurde nur von einem als Metapher markiert
	Interesse einzuflößen.						
							
3	»Eine Gesellschaftsformation	x	im Schoß selbst ausgebrütet worden	der alten Gesellschaft	B	zitierte Metapher, Bruch, nicht ersetzbar, neue Semantik, pointiert, irreguläre Verknüpfung	
	geht nie unter«, sagt Marx1), »bevor alle Produktivkräfte entwickelt sind,						
	für die sie weit genug ist, und neue höhere Produktionsverhältnisse treten						
	nie an die Stelle, bevor die materiellen Existenzbedingungen derselben im						
	Schoß der alten Gesellschaft selbst ausgebrütet worden sind.«						
							
3	Sobald aber die Forderung	x	ihres mystischen Schimmers entkleidet	die Forderung der Vergesellschaftung der Produktionsmittel	B	Bruch, nicht ersetzbar, neue Semantik, irreguläre Verknüpfung	
	der Vergesellschaftung der Produktionsmittel ihres mystischen Schimmers						
	entkleidet und als ein rechtlicher Reformvorschlag wie andere Reformvorschläge						
	angesehen werden wird, wird sie von sozialdemokratischer Seite selbst auch						
	unbefangener und nüchterner betrachtet werden.						
