Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
	19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich)					
	beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm					
	in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähn-					
	lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück-					
	stößt, noch nicht erloschen ist.					
						
	Der Geist der alten Horde (gens) protestiert	nein				Personifikation, kein Bruch, umschreibbar
	gegen das Territorialitätsprinzip des modernen Staates.					
						
	Sobald aber eine	nein				Ausdruck ist ersetzbar, kein Bruch etc.
	Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der					
	Sitte ganz ausgemerzt zu werden.					
						
	Die Sitte approbiert nämlich immer nur	nein				übliche Ausdrucksweise, kein Bruch etc.
	die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen					
	- d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde					
	sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von					
	der Sitte gemißbilligt und allmählich verhindert worden.					
						
	Indem das Verhältnis durch die Sitte be-	nein				Das ist wörtlich gemeint, nicht metaphorisch.
	festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen					
	nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch					
	eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten,					
	sondern nur an Mitglieder fremder Stämme verheiratet werden durften.					
						
	In dieser Form finden	x	verpflanzt worden	Eheverbote	A	ein Verbot zu verpflanzen erzeugt einen Bruch und reichert die Semantik an, daher nicht zu ersetzen
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier					
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-					
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen					
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote					
	für Seitenverwandte bestehen, die derselben Generation angehören.					
						
	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das	x	Werkstatt	der Natur	B	Bruch, Bedeutungserweiterung, nicht austauschbar
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn					
	befähigt hat, in die Werkstatt der Natur einzudringen.					
						
	Die Religion hat ihre größte	x	von der Religion durchtränkt ist	das ganze gesellschaftliche Leben	B	bildlicher Ausdruck, der aber einen Bruch erzeugt und die Semantik anreichert, nicht austauschbar
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche					
	Leben von der Religion durchtränkt ist.					
						
	Mühsam und Schritt	nein				Floskel
	für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kultur-					
	reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den					
	Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem					
	Flusse begriffen.					
						
	In demselben Moment, in dem die wissenschaftliche Er-	nein				nur blumiger Ausdruck
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt					
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung					
	auf, ein religiöses Objekt zu sein.					
						
	Die Religion hat in	nein				Floskel
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen					
	der Wissenschaft noch nicht abgeschlossen sind.					
						
30-59	Ohne solche Regeln würde	x	in Atome zersplittern	die Gesellschaft	B	Bruch, vom Sprachgebrauch abweichend, Semantik anreichernd, pointiert
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen					
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert					
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,					
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben					
	von Menschen sein würde.					
						
	Aber noch ist die Zeit nicht gekommen, zu verlangen, daß	nein				bildlicher Ausdruck, kein Bruch etc.
	nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten.					
	Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse					
	und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen					
	verschiedener Nationen ist auch eine Realität.					
						
	Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und	nein				Floskel
	verschiedene Nationen zusammenzuschweißen, gescheitert sind.					
						
	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	nein				alter, ungewöhnlicher Ausdruck, vielleicht sogar Floskel
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden					
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden					
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der					
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in					
	Beziehung gesetzt werden.					
						
	Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger	x	brennenden	Haß	A	leichter Bruch, vom Sprachgebrauch abweichend, Semantik anreichernd, pointiert (Floskel?)
	der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller					
	mittelmäßigen und den Vernichter und Feind aller großen, genialen Indi-					
	viduen erblickt.					
						
	Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben	nein				kein Bruch, bildlicher Ausdruck, Floskel
	worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein					
	der Menschheit verderbliches Kunstprodukt halten und demgegenüber die					
	Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau					
	seinen glänzendsten Vertreter hatte.					
						
	Will die Gesellschaft die natürliche Auslese befördern,	x	in den Dienst spannen läßt	keines anderen Zieles	B	Bruch, Erweiterung der Semantik, unersetzlich
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-					
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel					
	hat und sich in den Dienst keines anderen Zieles spannen läßt.					
						
	Wir sind hiermit insoweit ganz einverstanden, als	x	ausjätet	die natürliche Auslese	A	Steigerung und Pointierung durch Semantikanreicherung, ungewöhnlicher Sprachgebrauch, Bruch etc.
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen					
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als					
	möglich organisiert sind.					
						
	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	x	das ganze künstliche Gebäude in sich zusammenstürzt	unserer Existenz	B	Steigerung und Pointierung durch Semantikanreicherung, Bruch, nicht ersetzbar
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr					
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze					
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages					
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-					
	liche Gebäude in sich zusammenstürzt.					
						
	Die Menschheit	x	auf Klippen zu stoßen	Verletzung der biologischen Gesetze	B	Irritation, Bedeutungserweiterung, nicht austauschbar, Pointierung, ergänzt durch metaphorische Floskel
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation					
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür					
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-					
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente					
	ihres stolzen sozialen Baues zu unterminieren.					
						
	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit	nein				merkwürdige Ausdrucksweise, aber kein Bruch etc.
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur					
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die					
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen					
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und					
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-					
	gepaßt sind.					
						
	Aber zwischen dem Punkte, wo uns das Mikroskop bei	nein				nur bildlicher Ausdruck
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt					
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier					
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem					
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten					
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im					
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen					
	über Theorieen auszufüllen versucht worden ist.					
						
	Sicherlich ist durch die	nein				Floskel
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-					
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor					
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten					
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit					
	verfolgt hat.					
						
	Man sieht, daß wir auch durch diese weitgehende Aufhellung des Be-	nein				Floskel, alter Ausdruck
	fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur					
	unbedeutend näher gerückt sind.					
						
	»Diese gemmules«, sagt Darwin2), »sammeln	x	schlummernd	Zustande	A	leichter Bruch, Bedeutungsanreicherung, sprachlich eigentlich nicht korrekt, Ersetzung durch schlafend würde den grundsätzlichen Bruch beibehalten, da die zeitweilige  Inaktivität gemeint ist und hier pointiert werden soll
	sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen)					
	»zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein					
	neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden					
	Zustande an künftige Generationen überliefert und dann erst entwickelt zu					
	werden.					
						
	Hierdurch wird nämlich zwar nicht die	nein				Floskel, problemlos durch prägen oder dergleichen ersetzbar
	Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie					
	beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der					
	Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von					
	Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße					
	ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen					
	(nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche					
	Störung im ganzen Organismus und eine Ernährungsstörung der Keim-					
	zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.					
						
						
S. 60-89						
	Vielleicht ist auch ein Teil der Totge-	nein				kein richtiger Bruch, Konto allgemeiner Ausdruck, der so verwendet werden kannverlustfrei ersetzbar
	burten auf das Konto eines solchen Anlasses zu schreiben.					
						
	»Es ist nun noch daran zu er-	x	eine fast unerschöpfliche Musterkarte	für die natürliche Auslese	B	"Bruch, Verweisung auf andere Semantik, nicht austauschbar, zudem unrealistische Steigerung und Übertreibung durch ""unerschöpflich"""
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.					
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-					
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder					
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-					
	karte für die natürliche Auslese dargeboten wird.					
						
	Da nun bei der Verschmelzung beider Keimzellen gewisser-	nein				"durch das ""gewissermaßen"" wird eine Art Vergelich eingeleitet und die Irritation dadurch genommen; Verschmelzung ist hier ein Fachausdruck"
	maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens-					
	energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so					
	kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren					
	Zelle zum Vorschein.					
						
	Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der	x	schlummernde	Anlagen	A	leichter Bruch undBedeutungsanreicherung, sprachlich nicht ganz korrekt, Ersetzung durch schlafend würde den grundsätzlichen Bruch beibehalten, da die zeitweilige  Inaktivität gemeint ist und hier pointiert werden soll
	Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend,					
	ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur					
	diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen					
	prädestiniert war.					
						
	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	x	über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht	eine Sitte	A	leichter Bruch durch die Zuschreibung territorialer Semantik, die durch Umformulierung verlorenginge, die Macht der Sitte soll wohl so pointiert werden
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,					
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-					
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die					
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in					
	Zusammenhang zu bringen sind.					
						
	Die jüdischen	nein				die Anführunsgzeichen deuten auf eine Art Fachausdruck hin, bzw. auf die Übernahme der Formulierung des Talmud
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-					
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten					
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun					
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder					
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den					
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.					
						
	Wie	nein				die Verdichtung mag ein ungewöhnlicher Ausdruck sein, scheint mir hier aber nicht unersetzlich
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-					
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«					
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine					
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.					
						
	So wäre es denn nicht die Tatsache der Bluts-	x	einen geeigneten Boden findet	die Blutsverwandschaft	A	Floskelverdacht, der Nährboden für alles mögliche ist ein häufiges Bild, es irritiert daher auch in diesem Zusammenhang nur gering, verweist zwar auf Agrarthematik, deren Bedeutung aber wohl verzichtbar wäre
	verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige					
	Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn					
	sie in einer mangelhaften Konstitution des Vaters und der Mutter einen					
	geeigneten Boden findet.					
						
	Auch auf sie trifft zu,	nein				wohl eher wörtlich zu verstehen
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-					
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-					
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer					
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen					
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch					
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst					
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.					
						
	Wenn man die zahllosen Schwierigkeiten	nein				gewöhnliche Redewendungen ohne Spannung
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge					
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht					
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung					
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird					
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen					
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es					
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.					
						
						
	Die Statistik ist in der Lage	nein				"Floskel des Beleuchtens, ""schlagend"" pointiert es zwar, aber für einen deutlichen bruch reicht es nicht aus"
	dieses schlagend zu beleuchten.					
						
90-119						
	Schon in der ersten Schrift dieser Art, der 1516	nein				Floskel
	erschienenen Schrift »De optimo reipublicae statu deque nova insula					
	Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung					
	die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körper-					
	lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß					
	vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer					
	alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren					
	Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe					
	bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.					
						
	Es muß dem Einzelnen	nein				Floskel, kein Bruch, keine Spannung
	durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Ge-					
	deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird					
	und vom Gedeihen des Staates abhängt.					
						
	Selbst wenn wir einmal annehmen, dies	x	im Gefolge	Nachteile	A	Floskelverdacht, leicht ungewöhnlicher, irritierender Ausdruck, der auf andere Semantik verweist, unterstützt durch den floskelhaften Weg, könnte aber wohl ohne großen Bedeutungsverlust umformuliert werden
	sei der Fall, so hat dafür die gesetzliche Regelung auch Nachteile im Gefolge,					
	welche bei dem von uns empfohlenen Wege vermieden werden.					
						
	Gesetzliche	nein				Floskel
	Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach					
	ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger					
	innerer Beschaffenheit über denselben Kamm zu scheeren.					
						
	Sie [die Anpassung] kann auf geringfügige Änderungen der	x	tritt die Herrschaft ab	die Anpassung	B	zunächst durch Personifikation pointiert, anschließend durch Bruch und weitere Semantik ausgezeichnet wird diese Stelle metaphorisch, Umformulierung würde ihr diese Pointierung nehmen: es sollen hier Machtkämpfe verbildlicht werden
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen					
	der Organisation antworten; aber sie versagt bei größeren Änderungen und					
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.					
						
	In dem Moment, wo sperma und ovum im Uterus der Mutter zu einer	x	ist die Statue gegossen	zu einer Zelle verschmelzen	C	Sonderfall einer direkt übernommenen, nämlich zitierten Metapher, deutlicher Bruch, nicht austauschbar, neuer Bedeutungsgehalt wird eingebracht,
	Zelle verschmelzen, ist »die Statue gegossen,« sagt Hegar1), »und was					
	noch weiter geschieht, ist nur eine feinere Ausarbeitung und Ziselierung.					
						
	»Beim Menschen scheint das Kind gar nichts mitzubringen,	nein				keinerlei Bruch, nur merkwürdige Ausdrucksweise
	sondern alles erst zu lernen; in der Tat aber bringt es alles oder doch					
	unendlich viel mehr mit als das fix und fertig aus dem Ei kriechende Tier,					
	aber es bringt alles in unreifem Zustande mit, weil des zu Entwickelnden					
	bei ihm so viel ist, daß es in den 9 Monaten des Embryolebens nur erst					
	im Keime vorgebildet sein kann.					
						
	So geht nun das Reisen der Disposi-	x	Nachmeißeln	dieser Dispositionen	B	die frühere Metapher der Statue wird hier geschickt durch eine ergänzende Metapher aufgegriffen, das Meißeln verweist abermals auf die bildenden Künste, die Stelle wird so pointiert und ist nicht auszutauschen
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,					
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand					
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die					
	bloße Vererbung bei den Tieren vermag« 2).					
						
	Kommt der Mensch mit ganz	x	Schranken, welche gesetzt sind	die Erziehung	A	Floskelverdacht, statt den erwarteten Grenzen werden hier die Schranken zur Abtrennung genutzt und erzeugen so einen leichten Bruch
	bestimmten Bildungsanlagen und -trieben zur Welt, so muß die Erziehung					
	sich der Schranken bewußt bleiben, welche ihr hierdurch gesetzt sind.					
						
