Abschnitt	Stelle	P	K	A	B
	merzen auf ganze Stämme und Völker erstrecken, bei Tieren wie bei Menschen.				
					
S. 61-70					
	Die feine Einstellung der Variationen	nein	nein		nein
	aber wird durch Selektionsvorgänge zwischen den Elementen des				
	Keimes bewirkt, deren Richtung jedoch durch die Personalselektion				
	bestimmt wird, sofern diese entweder die Plus- oder die Minus- 				
	variationen ausmerzt, sobald sie Selektionswert erreichen, und 			nein	
	dadurch die Keimvariationen der entgegengesetzten Seite zu-				
	treibt.				
					
	Speziell in	nein	nein	nein	nein
	diesen Fällen waltet diese allerdings glücklicherweise auch trotz unserer Kultur-				
	verhältnisse ihres Amtes, wenn auch sehr viel langsamer, da unter diesen				
	Kulturzuständen auch Personen mit stark psychopathischen Variationen in				
	ziemlich weitem Umfang Existenz und Fortpflanzung gewährleistet werden.				
					
	Nur wenige der dargebotenen Variationsrichtungen werden auf der Bahn	nein	nein	nein	nein
	liegen, welche die Artentwicklung einschlägt. Den andern wird durch 				
	Personalselektion Einhalt getan.				
					
	Sie	nein	nein		nein
	leistet aber noch mehr als diese, weil sie das Parallelgehen der Keim- 			nein	
	anlagen mit jeder Nützlichkeitsschwankung erklärt, nicht nur bei aktiver				
	Funktion, sondern auch bei blos passiver Nützlichkeit.				
					
					
S. 71-100					
	Auch läßt er die Frage nicht unbeantwortet, auf welche	nein	nein	nein	nein
	Weise überhaupt Änderungen der Keime entstehen konnten, und wie sich ihre				
	Zahl ins Endlose vermehren mußte.				
					
	Die Koadaption ist hiebei	x	nein	nein	nein
	keineswegs das einzige dunkle Gebiet.				
					
	Daß wir die Vorbedingungen für alle persönlichen Vorzüge mit auf	nein	nein	nein	nein
	die Welt bringen müssen, und daß unser ganzes Lebensglück weit mehr durch				
	uns angeborene, d. h. ererbte Anlagen bedingt ist als durch irgend etwas				
	anderes, ist keine neue Wahrheit.				
					
	Es ist aber fraglich, ob jene Rassentheoretiker und Rassenpolitiker, die heute	nein	nein	nein	nein
	die Pfade begehen, welche der mit kühner Phantasie begabte Dichtergelehrte Joseph				
	Arthur Gobineau mit seinem Essai sur l'inégalité des races humaines (4 Bände,				
	Paris 1858-1855)2) eingeschlagen hat, und auf denen ihm zunächst eine Zeit lang niemand				
	zufolgen Neigung zeigte, sich wirklich auf festem wissenschaftlichem Grund bewegen.				
					
	Das hindert	nein	nein	nein	nein
	aber nicht, daß es überall als vollwertige Münze angenommen wird. Denn es besteht				
	nun einmal das Bedürfnis nach gangbarer Münze.				
					
	Jedenfalls ist die Aufstellung eines in der menschlichen Natur begründeten Sinnes für indi-	x	nein	nein	x
	viduelles Eigentum selbst gegenüber einer befürchteten Torheit eine zu gebrechliche Waffe.				
					
	Kein höheres	x	ungeklärter Grenzfall	nein	x
	sittliches Bestreben hätte ohne diese Anlage je in uns aufkeimen und Wurzel				
	fassen können; denn nur dieses instinktive Gefühl der Abhängigkeit von dem				
	Urteil unserer Genossen konnte zu sittlichen Urteilen und in weiterer Ent-				
	wicklung bei vielen Menschen zu der subtilen Bildung eines Gewissens				
	führen.				
					
	Aber das Licht der Selektionstheorie reicht noch weiter.	x	x	nein	nein
					
	ist freilich nicht ganz passend für dieses ewige mörderische Ringen um das	nein	x	x	nein
	Dasein auf einem über die ganze Erde, ihre Meere und ihren Luftkreis				
	ausgedehnten Kriegsschauplatz.				
	Dieser gewaltige Daseinskampf, der den Siegern die Fortdauer in der				
	Nachkommenschaft, den Unterliegenden das Erlöschen ihres Stammes bringt,		x		
	hatte bis zu Darwin keinen einzigen aufmerksamen Zuschauer gehabt. Seit				
	Darwin hat der Mensch den Vorzug, nicht nur Teilnehmer, sondern auch				
	Beobachter dieses großen Kampfes zu sein.				
	Diese ungewohnte Zuschauerrolle, die uns Darwin verschaffte, wäre				
	ein recht zweifelhafter Gewinn, sofern es sich nur um die ästhetischen Ein-				
	drücke des Erschauten handelt; denn ein Vergnügen ist es kaum, sich die				
	unerbittliche Grausamkeit dieses endlosen Vernichtungskrieges der Natur gegen				
	lebende Wesen und dieser unter sich vor Augen führeu zu lassen.				
					
	„Wir können uns kaum der Annahme entziehen, daß die menschliche Natur . . .	nein	x	x	x
	durch Ausscheidung und Auslese einer weiteren tiefen Veränderung unterzogen wird, daß				
	in der Fähigkeit seiner Muskeln und noch mehr in der Denkkraft seines Hirns eine un-				
	geheure Hebung eintreten wird; ja daß sogar besondere soziale Eigenschaften mit Einschluß				
	einer angeborenen Neigung zur Aufnahme sozialer Gebote, ohne die soziales Leben nun				
	einmal unmöglich ist, der physischen Organisation der höchsten Rassen eingeboren werden				
	können - aber ohne Zweifel ist diese besondere Quelle des Fortschritts heute fast ganz				
	verstopft.“				
	Dieser Nachsatz dürfte mit den Vordersätzen nur dann vereinbar sein,			nein	
	wenn Balfour die Möglichkeit im Auge hat, daß diese Quelle in der				
	Zukunft nicht wie heute verstopft sein werde.				
					
S. 101-130					
	Denn selbst wenn sich der Mensch	ja	nein	nein	nein
	durch die Hunderte von Jahrtausenden hindurch, die hiezu vielleicht nötig wären, ständig				
	den Luxus gestatten könnte, sich eine Eigenschaft anzuzüchten, die ihn im Daseinskampf				
	nicht fördert, so würde ihm doch die hier erforderliche Züchterkenntnis vollständig fehlen,				
	und die Züchtungsversuche müßten vollständig im Dunklen tappen.				
					
	Bei	ja	x	nein	nein
	den Neugriechen kommt in Betracht, daß sie nur einen sehr kleinen Bruchteil althellenischen				
	„Blutes“ besitzen; die althellenische Rasse war schon zur Zeit der Völkerwanderung ungemein				
	stark zusammengeschmolzen und dürfte seitdem von der sich besonders stark vermehrenden				
	slavischen Rasse fast ganz überwuchert worden sein.				
					
	Dana1) nennt den Fortschritt in der	x	ungeklärter Grenzfall	nein	x
	tierischen Schöpfung von den älteren zu den jüngeren Formen, der aus den				
	steinernen Urkunden der Geologie sich ergibt, geradezu eine fortschreitende				
	Verhirnung („encephalisation“) der animalischen Struktur.				
					
	Sobald die soziale Entwicklung eine so große Bedeutung	ja	ungeklärter Grenzfall	nein	nein
	erreicht hatte, daß nun im Konkurrenzkampf unter den Völkern ihre soziale				
	Veranlagung den Ausschlag gab, habe die Vernunft aufgehört, die beste				
	Waffe im Daseinskampf zu sein, und werde daher nicht mehr gezüchtet.				
					
	Sobald nämlich die ersteren	nein	nein	x	nein
	sich zu solcher Höhe entwickelt haben, daß sie im Daseinskampfe schwerer in				
	in die Wagschale fallen als die erblichen Werte, hört die Auslese auf, die erb-				
	lichen Fähigkeiten mit der hisherigen Strenge zu kontrollieren, und dieser				
	Grad der Kulturhöhe kann als Grenzlinie zwischen Natur- und Kultur-				
	völkern gelten.				
					
	Sowohl für das Ausleseproblem, wie	nein	nein	nein	nein
	für die Alkoholfrage ist es wichtig, den Irrtum zu zerstören, daß unsere Vorfahren schon				
	seit der Steinzeit festansäßige Bauern gewesen seien.				
					
	Da bei	nein	nein	nein	nein
	diesen Haustieren Leben und Fortpflanzung nicht mehr von ihrem scharfen				
	Gesicht abhängen, so ist auch hier das Auge von seiner ursprünglichen Höhe				
	herabgesunken.				
					
	Einen der furchtbarsten Auslesefaktoren, der aber in hohem Grade	nein	nein	nein	nein
	geeignet ist, das Durchschnittsniveau der generativen Qualität einer Bevölke-				
	rung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit				
	wiederkehrenden Perioden großen Nahrungsmangels.				
					
	In vorkulturellen Zeiten, auf tiefer Wirtschaftsstufe, unter strenger	nein	x	nein	nein
	Auslese, scheinen in der Regel die hohen Anlagen gezüchtet worden zu sein,				
	die nachher unter günstigen wirtschaftlichen Verhältnissen eine Kulturblüte				
	zur Entfaltung brachten. Während dieser Blüte aber gehen gewöhnlich in-				
	folge von Auslesestörungen jene Anlagen zugrunde, aus denen die Blüte				
	sich entwickelt hatte.				
					
	Ich glaube, daß die lange Zeit der Verfinsterung, unter	x	nein	nein	nein
	der Europa geschmachtet hat, zum großen Teil dem Cölibat zu				
	anken ist, welcher den religiösen Orden auferlegt wurde.				
					
	Die soziale	nein	x	nein	nein
	Lage der Zeit gestattete feiner gearteten Naturen, die zu Werken				
	der Güte, zum Nachdenken, zur Literatur oder zur Kunst natürliche				
	Anlagen hatten, nur die einzige Zuflucht in den Schoß der Kirche,				
	die aber Ehelosigkeit forderte . . .				
					
	Es waren also mörderische Kriege, die wohl imstande	nein	nein	nein	nein
	waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen				
	Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel				
	gegebenen Schranken zu halten.				
					
	Noch heute stellt sich	x	nein		x
	dieser Würgengel mit ungezügelter Schrecklichkeit z. B. bei manchen Neger-			nein	
	völkern zeitweise ein, wie er zweifellos auch unsere Vorfahren in der Urzeit				
	und bekanntlich noch im Mittelalter periodisch heimgesucht hat und selbst in				
	Ländern mit höherer wirtschaftlicher Entwicklung, wie Indien und China,				
	noch heute nicht selten einkehrt.				
					
	Ein ganz ähn-	x	x	x	x
	liches Schicksal war alsdann den Römern beschieden, die Zügel der Welt-				
	herrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. 				
					
	Ein ähnliches Wechselverhältnis muß zwischen der Höhe des mensch-	nein	x	nein	nein
	lichen Intellekts und seiner leiblichen Wehrhaftigkeit bestanden haben: Je				
	höher der menschliche Intellekt entwickelt war, um so weniger gaben Muskel-				
	kraft und Schnelligkeit den Ausschlag für die Auslese, desto weniger konnte				
	also große Leistungsfähigkeit auf diesen Gebieten gezüchtet werden, und				
	andererseits mußte gerade das Zurückbleiben in bezug auf solche Vorzüge				
	und die fast gänzliche Waffenlosigkeit des menschlichen Organismus die Ver-				
	vollkommnung seines Intellekts mit Hilfe der Auslese begünstigen.				
					
	Z. B. bei den zerstreut lebenden Germanen hatte, wie O. Seeck1)	nein	nein	nein	nein
	bemerkt, derjenige die meiste Aussicht auf Rettung, der auf eigene Faust				
	den Feind abzuwehren oder sich der Übermacht auf Schleichwegen zu ent-				
	ziehen verstand; und jeder Zwist, soweit ihn nicht die Familienältesten unter				
	ihren Familiengliedern durch Schiedsspruch gütlich zu schlichten vermochten,				
	wurde nicht auf dem Weg des Rechts, sondern mit den Waffen ausgetragen.				
					
	Es waren also mörderische Kriege, die wohl imstande	nein	nein	nein	nein
	waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen				
	Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel				
	gegebenen Schranken zu halten.				
					
	Auch hervorragender Mut, der ohne Zweifel in hohem Maße von den	nein	nein	nein	nein
	angeborenen psychsischen Eigenschaften abhängt, kommt bei der Wirkung der				
	heutigen Feuerwaffen eher den Mitkämpfenden zugute als denen, die sich				
	besonders kühn den feindlichen Kugeln aussetzen. 				
					
	Dabei ist in Betracht zu ziehen, daß sich	nein	nein	nein	nein
	dieses Urteil innerhalb gewisser Grenzen nach dem Bedarf an Rekruten				
	richtet2), und der war nach dem Krieg sowohl in Deutschland als in				
	Frankreich außerordentlich groß, da die Reihen derer, die nach dem Friedens-				
	schluß noch zum Dienst unter der Fahne verpflichtet waren, durch den Krieg				
	sich stark gelichtet hatten. 				
					
	Und unter denen,	nein	nein		nein
	die längere Zeit einem ernstlichen Nahrungsmangel ausgesetzt sind — mag 			nein	
	nun ein Teil der Bevölkerung infolge seiner natürlichen Überlegenheit davon				
	verschont bleiben, oder mag der Mangel sich auf alle erstrecken — werden				
	alle die ausgemerzt werden, deren körperliche Konstitution einer so schweren				
	Probe nicht gewachsen ist. 				
					
	Ein ganz ähn-	x	x	nein	x
	liches Schicksal war alsdann den Römern beschieden, die Zügel der Welt-				
	herrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. 				
					
					
S. 131-160					
	In diesem Punkt hat also unsere Kultur die Fähigkeit bewiesen, ein	nein	x	x	x
	fressendes Geschwür am Volkskörper, das sie bewirkt hat, auch wieder zur				
	Heilung zu bringen.				
					
	Den	nein	nein	nein	nein
	Vorwurf, durch den außerehelichen Verkehr gegen die Ehrlichkeit zu ver-				
	stoßen, gibt die Jugend, in dem unaustilgbaren Bewußtsein ihres Rechtes,				
	der Gesellschaft zurück, die solche gegen die Instinkte verstoßende Satzungen				
	aufstellt und aufrecht erhält.				
					
	Sie zeigen, welch geringen Einfluß die Anschauungen der Jugend, auch	nein	nein	nein	nein
	wenn sie die Natur auf ihrer Seite haben, auf die gesellschaftlichen Ein-				
	richtungen und den Inhalt der Sittengebote ausübten.				
					
	Unter Umständen aber geht das Trippergift auf die Gebärmutter-	x	nein	nein	x
	höhle und die Eileiter über und wird dann eine fast unversiegliche Quelle				
	von Leiden.				
					
	Dieser Eifer ist die Nachwirkung des Freuden-	nein	nein	nein	nein
	taumels, der 1890 beim Bekanntwerden der Kochschen Impfungen gegen				
	Tuberkulose durch die ganze zivilisierte Welt ging, und der darauffolgenden				
	Enttäuschung.				
					
	Und in einem solchen Fall darf wohl auch das gene-	nein	nein	nein	nein
	rative Interesse mit in die Wagschale geworfen werden.				
					
	Aber die	nein		nein	nein
	Sache liegt anders; denn die Kosten der weitherzigen Berücksichtigung		nein		
	der Interessen des gegenwärtig lebenden Individuums haben die				
	folgenden Generationen zu bezahlen, die in diese Versicherung				
	auf Gegenseitigkeit nicht mit eingeschlossen sind.				
					
S. 161-190					
	Dazu kommt noch, daß sehr wahrscheinlich innerhalb der Klasse	nein	nein	nein	nein
	der Wohlhabenden gerade die generativ Wertvolleren, wie Gelehrte,				
	Künstler, höhere Beamte, Offiziere, bei den Katholiken selbstverständlich die				
	Geistlichen, sich wiederum schwächer fortpflanzen als die, welche in der Haupt-				
	sache nur die Früchte der sozialen Leistungen anderer genießen und dabei				
	nicht minder wohlhabend sind und werden als ihre begabteren Klassengenossen.				
					
	Sie wird, um nicht	nein	nein	nein	nein
	dem Untergang entgegenzugehen, selbst dafür sorgen müssen, daß vermeidliche				
	Störungen der natürlichen Auslese beseitigt, unvermeidliche durch bewußte				
	geschlechtliche Auslese ersetzt werden.				
					
	Auch Treitschke	nein	nein	nein	nein
	nannte in diesem Sinn die unteren Klassen den Jungbrunnen der Gesellschaft.				
					
	Obiger Einwand ist im Grunde derselbe, mit dem ein Landwirt früher,	x	nein	nein	nein
	als man von Agrikulturchemie noch wenig wußte und noch niemand tiefer				
	in die Geschichte des Landbaues eingedrungen war, die Behauptung ab-				
	gefertigt hätte, daß der Boden notwendig an gewissen chemischen Bestand-				
	teilen, die er nicht im Überfluß besitzt, und die zum Getreideanbau unentbehrlich				
	sind, mehr und mehr verarmen müsse, wenn man sie ihm fortwährend ent-				
	ziehe, ohne sie zu ersetzen.				
					
	Der Unterschied ist nur der, daß der Volkskörper	x	nein	nein	nein
	jene edleren generativen Werte, die zur Erzeugung und Aufrechterhaltung				
	einer hohen Kultur erforderlich sind, in noch beschränkterem Maße enthält				
	als der Boden irgendwelche zur Getreideerzeugung unentbehrlichen Stoffe,				
	und daß darum ein Raubbau am Boden viel länger ohne auf-				
	fälligen Rückgang des Ergebnisses an Getreide getrieben werden				
	kann als ein Raubbau an Volkskörper hinsichtlich jener edlen				
	generativen Werte.				
					
	Die große Mehrheit des Volkes besteht	x	x	nein	nein
	immer aus den Minderwertigen, und doch ersetzt sich der Strom des Lebens in ausge-				
	dehntem Maße aus dieser Quelle.				
					
	Das Gesetz	nein	nein	x	nein
	des Blühens selbst ist es, was zum Welken führt				
					
	Und was die Zukunft	nein	nein	nein	x
	anlangt, so ist zwar dem Leben des Individuums, zufolge seines physiologischen				
	Uhrwerks, eine bestimmte Dauer vorgeschrieben, die nur durch allerlei				
	äußere Störungen — abgekürzt, unter keinen Umständen aber überschritten				
	werden kann. Der innerhalb bestimmter Zeitgrenzen ausnahmslos eintretende				
	Ablauf dieses Uhrwerks bringt dem Individuum den unvermeidlichen Tod.				
					
	Die Karthager	x	nein	nein	
	hatten aber ihre Handelsnetze nicht nur über unbekannte Küsten ausgespannt, sondern				nein
	außerdem auch mit Negervölkern im Innern Afrikas mittels Wüstenkarawanen Handels-				
	verkehr gepflogen.				
					
	Die Not, schreibt er, ist die Mutter der Arbeit und diese	nein	nein	nein	nein
	die Mutter der Kultur				
					
	Im Laufe der Geschichte habe sich der Mittelpunkt der	nein	nein	nein	nein
	Macht Schritt für Schritt, aber sicher, nach Norden verschoben, in jene				
	rauhen Gegenden, wo der Mensch für die Rivalität des Daseins im harten				
	Kampf mit der Natur „erzogen“ wurde.				
					
191-220					
	Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man	x	x	nein	x
	auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen				
	Fortschritten, die verbesserten Institutionen				
					
	Denn er hat nicht nur, wie häufig irrtümlich	nein	nein	x	nein
	angenommen wird, auf die gebildeten Klassen eingewirkt, sondern den An-				
	schauungen und Gefühlen des ganzen Volkes seinen Stempel aufgedrückt				
					
	Das fällt schwer in		nein	nein	nein
	die generative Wagschale, da, wie dargelegt, Kriege aus den höheren Kultur-	nein			
	stufen der Auslese eine direkt umgekehrte Richtung geben.				
					
	Es geht		x	nein	nein
	ein Zug von Barmherzigkeit durch die Einrichtungen dieser Völker.	x			
					
	Die hohe Wertschätzung welche die (wegen der allzugroßen Zahl der Schrift-	x	x	x	x
	zeichen nicht leicht zu erwerbende) Kenntnis dieser Weisheitsschätze stets				
	genoß, entzog anderen Wissenszweigen Licht und Sonne.				
					
	Neben dem Kaiser und seinen Mandarinen bestand von alters her eine Auf-	nein	nein	nein	nein
	"sichtsbehörde (Kotao), eine Art von Zensoren, die als ""das Gewissen des"				
	"Staates"" darauf zu sehen hatten, daß im Sinn der alten Gesetze regiert"				
	werde; sie sind dem Kaiser und seinen Räten gegenüber die Vertreter der				
	Staatsidee als Beschützer der Gesetze geehrt vom Volk und gefürchtet von				
	den Beamten.				
					
	Aber dürfen wir vergessen, wie es noch,	ja	nein	nein	x
	nicht vor einigen, sondern vor kaum einem Jahrhundert in Europa aussah, welche Höhlen des				
	Elends nicht nur die Gefängnisse für Verbrecher, sondern auch die Schuldgefängnisse und die				
	Hospitäler waren, daß die Tortur in ihren schlimmsten Formen gesetzliche (in China nur				
	faktische und strafbare) Anwendung fand, und daß die von europäischen Richtern ver-				
	hängten Todesstrafen an Entsetzlichkeit alles hinter sich ließen, was die Chinesen je erfunden?				
					
	Ihre Kulturentwicklung zeigte allerdings niemals eine so rasche	nein	nein	x	nein
	Gangart, wie die unserige in den letzten 800 Jahren, seit Beginn der Kreuz-				
	züge, sie stand aber auch nie völlig still und wurde deshalb nicht unpassend				
	mit dem langsamen Fließen eines tiefen und breiten Stromes in ebenem				
	Bette verglichen.				
					
	Diesem steht in der Theorie das Reich des Instinktes gegenüber,	nein	nein	nein	nein
	in welchem alles Tun auf ererbten Trieben beruht.				
					
	Doch sind die Grenzen	nein	nein	nein	nein
	beider Reiche, die zusammen das Forschungsgebiet der Ethik bilden, im				
	einzelnen nicht genau bestimmbar, und die sozialen Anlagen des				
	Menschen, die vielfach der Erziehung bedürfen, um so wirksam zu werden,				
	wie es bei den anderen Instinkten spontan der Fall ist, gehören, wenn				
	sie ausgebildet sind, beiden Reichen an.				
					
	Denn das Spiel der natürlichen sozialen Zucht-	x	nein	nein	nein
	wahl ist nicht nur ein Vervollkommnungsapparat, sondern				
	auch ein Gericht, das einzige empirisch erkennbare Stück				
	einer sittlichen Weltordnung, die das Vollkommene empor-				
	"hebt und das Verkommene vernichtet"" 1)."				
					
					
S. 221-250					
	"""Immer noch wird"	x	nein	nein	nein
	durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den				
	Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen.				
					
	Die erste Aufgabe, welche die Natur dem Individuum gestellt hat, und	nein	x	nein	nein
	die sie uns durch eingepflanzte Instinkte verkündet, ist die Selbsterhaltung;				
					
	Vor dem Richterstuhl unserer Empfindung ist	x	x	nein	nein
	also Schmerz das einzige Übel, Lust das einzige Gut.				
					
	Und so gelangt der Verstand schließlich	nein	nein	nein	nein
	zu der Erkenntnis, daß Lust- und Unlustempfindungen nur eine				
	dienende Stellung in unserer leiblichen und seelischen Organi-				
	sation einnehmen, daß sie nichts als wohldressierte Diener der individuellen				
	Selbsterhaltung und beredte Agenten der Fortpflanzung sind, oder mit				
	nüchternen Worten, er erkennt, daß sie als automatische Regulatoren				
	für die verschiedenen Funktionen, die ihrerseits der Erhaltung				
	der Individuen und der Gattung dienen, in die lebendige				
	Maschinerie unseres Leibes eingesetzt sind.				
					
	Es frägt sich nur, ob dieses Produkt	x	x	nein	nein
	künstlicher Züchtung vor dem Richterstuhl der natürlichen Auslese bestehen				
	könnte.				
					
	Aber unsere Kurzsichtigkeit gestattet uns nur, die Richtung zu erkennen,		nein	nein	x
	welche die Entwicklungsgeschichte während der für uns einigermaßen über-				
	sehbaren Periode genommen hat, und infolge dieser Orientierung vermögen				
	wir — unter der eigentlich nicht ganz selbstverständlichen Voraussetzung, daß				
	diese Richtung andauern werde — höchstens die nächsten Ziele zu sehen,				
	soweit sie nämlich noch innerhalb unserer geistigen Sehweite und innerhalb				
	des durch unseren organischen Standpunkt bestimmten Horizontes liegen.				
					
	"Dazu verhelfe dir der Garten der Ehe!"""	x	nein	nein	x
					
S. 251-280					
	Bergab geht es bei der genera-	nein	nein	nein	nein
