sentence1	sentence2	Which one is more metaphoric?
Daß wir unsere Überzeugung verleugnen sollen, daß wir uns als Heuchler hinstellen sollen, daß wir aus schwarz weiß machen sollen, daß wir etwas entschuldigen sollen, das wir nach unserer Überzeugung nicht entschuldigen können und nicht entschuldigen dürfen!	Hoch, Abgeordneter: Ich sage also, die Schädigung des Vaterlandes ist eingetreten, wenn auch selbstverständlich gegen die Absicht des Herrn Staatssekretärs, durch die Vorlage, die der Herr Staatssekretär gemacht hat.	0
Der Herr Schatzsekretär wies gestern darauf hin, daß dieses hohe Haus wohl stolz sei auf die Schöpfung, die es in der Zuwachssteuer des Jahres 1913 der Steuer- geschichte einverleibt hat.	Jetzt dagegen bei den Steuern soll die Forderung, daß jeder nach seinen Kräften alles tun müsse, nicht gellen.	0
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	1
Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	Suchen Sie im Volke dieses Gefühl nicht künstlich zu verdrängen, suchen Sie die Vaterlandsliebe, die Gott sei Dank bei ihm in Mark und Knochen sitzt, nicht zu vergiften!	0
Ich muß gestehen, daß ein großer Teil der Bedenken, die ich damals gegen diese Steuer gehabt habe, auch in der Folge durchaus nicht ausgelöscht worden ist.	Auch meine Freunde stehen durchaus auf dem Standpunkt, daß der Besitz die Opfer bringen muß, die für das Vaterland notwendig sind, daß der Reiche entsprechend seiner größeren Leistungsfähigkeit nicht nur dem absoluten Betrage nach mehr, sondern auch einen ver- hältnismäßig größeren Teil seines Einkommens für die öffentlichen Zwecke hingeben muß.	0
Der Gedanke, daß die Post dem Reiche doch einen größeren Reinertrag abwerfen müsse, als es bisher der Fall gewesen ist, hat meinen politischen Freunden schon immer nahe gelegen.	Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	2
Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	Zeigt sich nicht überall die Unmöglichkeit, daß der eine den anderen vollständig unter die Faust zwingt, daß die eine Seite nach ihrem Belieben der anderen die Friedensbedingungen aufzwingt?	1
Freilich, der Herr Staatssekretär hat einen Ausspruch getan, den aus dem Munde eines Mannes wie des Herrn Staatssekretärs zu hören mich sehr gewundert hat; er hat mit Bezug auf die Steuern gesagt: es können nicht alle Pferde auf denselben Gründen weiden. Im Gegenteil, Herr Staatssekretär: es müssen in diesem Falle alle Pferde auf einem und demselben Grunde weiden.	Ich glaube, daß der Herr Schatzsekretär in seiner gestrigen Rede — und damit wird der größte Teil der Herren sicherlich einverstanden sein — diesen Vergleichen mit England, soweit sie zu unseren Ungunsten gezogen werden, eine so klare Widerlegung hat zuteil werden lassen, daß dem nichts hinzuzufügen ist.	0
Nun hat der Herr Staatssekretär — er hat dabei gleich die Nachahmung der bürgerlichen Parteien gefunden — eine besondere Theorie aufgestellt, eine Mischungstheorie.	Wir stehen nicht nur in dem größten aller Weltkriege, wir stehen auch in einem erbitterten, konsequent und groß durchge- führten Wirtschaftskriege.	0
"Die „Germania"" hat heute geschrieben, mein Partei- freund Keil hätte in der Steuerfrage mehr an sozial- demokratischen Redensarten geleistet als an positiver Mitarbeit."	Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	2
Zeigt sich nicht überall die Unmöglichkeit, daß der eine den anderen vollständig unter die Faust zwingt, daß die eine Seite nach ihrem Belieben der anderen die Friedensbedingungen aufzwingt?	Wir haben aus dem Kriege erneut die Lehre gezogen, daß die Liebe zur engeren Heimat, daß der edle Wettstreit der einzelnen deutschen Staaten im Kampf und in der Arbeit für das allen gemeinsame Deutsche Reich wertvolle ethische Besitztümer bedeuten, die sich in diesem Kriege erneut bewährt haben.	0
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	1
Der Wert eines selb- ständigen Unternehmertums in Stadt und Land, der Wert wirtschaftlich selbständig dastehender Personen, die aus eigener Verantwortung heraus die Wirtschaft führen, hat sich in diesem Kriege glänzend bewährt.	Also in Preußen waren es nicht weniger als 94,83 vom Hundert aller Einzelnsteuernden und Haushaltungsvor- stände, die ein Einkommen bis höchstens 3000 Mark das (B) Jahr hatten, ein Einkommen, das zur vollen Entfaltung und zweckmäßigen Ausnutzung der körperlichen und geistigen Anlagen erforderlich ist.	0
Auch meine Freunde stehen durchaus auf dem Standpunkt, daß der Besitz die Opfer bringen muß, die für das Vaterland notwendig sind, daß der Reiche entsprechend seiner größeren Leistungsfähigkeit nicht nur dem absoluten Betrage nach mehr, sondern auch einen ver- hältnismäßig größeren Teil seines Einkommens für die öffentlichen Zwecke hingeben muß.	Die Herren, die so etwas gegen uns behaupten, verstehen unter positiver Mitarbeit die Arbeit an solchen Steuern, die das arbeitende Volk belasten und die Reichen möglichst verschonen.	0
Jetzt ent- schließt sich der Entwurf, das Gebiet der Gesellschafts- steuer zu betreten.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde Alle Redner haben eingehend eine andere, angeblich sehr schlimme Gefahr einer zu hohen Einkommensteuer des Reichs besprochen.	1
Im übrigen wird die Balancierungsfrage vollständig dadurch beherrscht, daß der Bedarf der Verzinsung der Reichsschuld sich gegen den Friedenszustand nunmehr um rund 2 Milliarden Mark, gegen das Vorjahr um 1035 Millionen Mark erhöht hat.	Das sind die Reichsten und Allerreichsten, diejenigen, die bei diesem Verfahren so gut fortkommen und um derentwillen jetzt der arbeitenden Bevölkerung diese unerträglichen Opfer auferlegt werden sollen.	0
Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	Weit über Hoffen und Erwarten hinaus hat sich dieses Werk in dem jetzigen Kriege bewährt.	1
Suchen Sie im Volke dieses Gefühl nicht künstlich zu verdrängen, suchen Sie die Vaterlandsliebe, die Gott sei Dank bei ihm in Mark und Knochen sitzt, nicht zu vergiften!	Auch bei dieser Steuerreform — so darf man wohl auch die jetzigen Vorlagen im Anschluß an frühere ähnliche Vorgänge bezeichnen — wird nun wieder das System einer gleichzeitigen Belastung von Besitz, von Verbrauch und von Verkehr vorgeschlagen.	1
Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	Weil das nicht geschehen ist, weil Sie also so schwer ge- sündigt haben, meine Herren von den bürgerlichen Parteien, deshalb ist der Zustand so traurig, und deshalb ist jedes Blatt in unserer Finanzgeschichte so unbefriedigend.	0
Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	Auch ich halte es technisch für undenkbar, ein so großes Problem wie die Einführung einer Reichsvermögenssteuer jetzt mit einiger Aussicht auf Erfolg in Angriff nehmen zu wollen.	1
Eine Ausnahme muß in- dessen gemacht werden bezüglich der Zeitschriften.	In dieser schweren Zeit darf man an solchen Steuerquellen nicht vorbeigehen.	0
In dieser schweren Zeit darf man an solchen Steuerquellen nicht vorbeigehen.	Ich glaube, die Befürchtung ist unbegründet, daß wir mit diesen Steuern so schnell fertig werden, daß es nun un- bedingt nötig sei, daß, so wie es mir heute passiert ist, einem gerade des Nachts um 3 Uhr ein Telegramm über die Ausgestaltung der Steuer ins Haus gebracht wird.	0
Das ver- kennen auch meine Freunde nicht, und deshalb halten sie es für notwendig, daß auch hier der steuerfreie Betrag erheblich höher gefaßt wird als 10 Mark.	Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	2
Wenn ich aber heute dem außerordentlichen Finanzbedarfe des Reichs gegenüberstehe, wenn ich ferner alles das erwäge, was dafür spricht, diejenigen heranzuziehen, die während dieses Krieges in der Lage gewesen sind, ihr Vermögen zu ver- mehren und deren Leistungsfähigkeit im Gegensatz zu weiten anderen Volkskreisen auch während des Krieges gestiegen ist, dann bin ich und sind meine politischen Freunde aus solchen Erwägungen heraus wohl bereit, auch diesem Ausbau des Zuwachssteuergesetzes zuzustimmen.	Dabei müssen Reich und Einzelstaaten völlige Bewegungs-freiheit behalten, um durch Erhöhungen und Herabsetzungen, durch Erweiterungen und Einschränkungen die Einnahmen so zu regeln, wie es ihre» jeweiligen Verhältnissen ent-spricht.	0
Gar nicht genug können wir danken der Unternehmungslust, dem Unter- nehmungsgeist, der Tüchtigkeit, der Anpassungsfähigkeit der Führer unseres Wirtschaftslebens in Stadt und Land, in Industrie, Handel und Landwirtschaft, (sehr richtig!	Im Erbschaftssteuergesetz ist dieser Weg schon ein- geschlagen worden, und auf diesem Wege werden wir durch die ganze Entwicklung der Verhältnisse weitergedrängt.	0
Ich glaube, wir werden uns bei der Betrachtung dieser Dinge wieder daran ge- wöhnen müssen, auch den sieben- bis neunstelligen Zahlen einige Bedeutung beizulegen.	Die ausschweifende Hoffnung, die auch in diesen Tagen wieder durchklang, daß der Krieg wer weiß welche neuen Glückseligkeiten und Erwerbsmöglichkeiten herbeiführen werde, — wer kann die noch haben?	0
"Wenn der „Vorwärts"", der gewiß nicht an Lungenschwäche leidet, so sanft und gedämpft spricht, so kann man doch an-nehmen, daß diese Versammlungen gegen die Steuern nicht gerade ein Erfolg waren."	Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	2
Ich komme nachher auf Einzelheiten vielleicht noch zurück und wollte hier nur auf die prinzipielle Bedeutung der Tatsache Hinweisen, daß gerade auf dem Gebiete der Besteuerung von Einkommen und Vermögen der Gesellschaften jetzt das Reich seine Kompetenzen weit ausdehnt.	Kein Wort des Dankes, kein Wort der Anerkennung ist groß genug, um diesen Taten gerecht zu werden.	0
Jetzt ent- schließt sich der Entwurf, das Gebiet der Gesellschafts- steuer zu betreten.	Der Wert eines selb- ständigen Unternehmertums in Stadt und Land, der Wert wirtschaftlich selbständig dastehender Personen, die aus eigener Verantwortung heraus die Wirtschaft führen, hat sich in diesem Kriege glänzend bewährt.	1
Während die Bankdirektoren ihr Einkommen in Scheffeln erhalten, wird es den Arbeitern in Teelöffelrationen zugemessen.	Dabei müssen Reich und Einzelstaaten völlige Bewegungs-freiheit behalten, um durch Erhöhungen und Herabsetzungen, durch Erweiterungen und Einschränkungen die Einnahmen so zu regeln, wie es ihre» jeweiligen Verhältnissen ent-spricht.	0
Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	Die ausschweifende Hoffnung, die auch in diesen Tagen wieder durchklang, daß der Krieg wer weiß welche neuen Glückseligkeiten und Erwerbsmöglichkeiten herbeiführen werde, — wer kann die noch haben?	1
Ich komme nachher auf Einzelheiten vielleicht noch zurück und wollte hier nur auf die prinzipielle Bedeutung der Tatsache Hinweisen, daß gerade auf dem Gebiete der Besteuerung von Einkommen und Vermögen der Gesellschaften jetzt das Reich seine Kompetenzen weit ausdehnt.	Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	2
Im übrigen wird die Balancierungsfrage vollständig dadurch beherrscht, daß der Bedarf der Verzinsung der Reichsschuld sich gegen den Friedenszustand nunmehr um rund 2 Milliarden Mark, gegen das Vorjahr um 1035 Millionen Mark erhöht hat.	Man hat seinerzeit die indirekten Steuern empfohlen, weil das dumme Volk nicht merke, wie es dabei über den Löffel barbiert wird.	0
Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	Weil das nicht geschehen ist, weil Sie also so schwer ge- sündigt haben, meine Herren von den bürgerlichen Parteien, deshalb ist der Zustand so traurig, und deshalb ist jedes Blatt in unserer Finanzgeschichte so unbefriedigend.	0
Aber, meine Herren, die Einkommensteuer hat das mit sich, daß sie, da sie den Reichsten am meisten trifft, auf die Reichsten den schärfsten Druck ausübt, während die Verbrauchssteuer umgekehrt wirkt; sie übt auf die Ärmsten den größten Einfluß; sie läßt den Reichen so gut wie ungeschoren.	"Wenn der „Vorwärts"", der gewiß nicht an Lungenschwäche leidet, so sanft und gedämpft spricht, so kann man doch an-nehmen, daß diese Versammlungen gegen die Steuern nicht gerade ein Erfolg waren."	0
In dieser schweren Zeit darf man an solchen Steuerquellen nicht vorbeigehen.	Das gewaltige Ringen der letzten Tage im Osten und Westen, auf das die ganze Welt mit atemloser Spannung, wir mit warmer Anteilnahme, mit heißem Sehnen und zuversichtlicher Hoffnung blicken, — alle diese Leistungen unserer Truppen sind Heldentaten, die von keinen Taten irgendwelcher Art überstrahlt werden, von denen die Ge- schichte berichtet und die Dichter singen und sagen.	2
Wir stehen nicht nur in dem größten aller Weltkriege, wir stehen auch in einem erbitterten, konsequent und groß durchge- führten Wirtschaftskriege.	Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	2
Ich würde fürchten, daß wir mit der Finanzwirtschaft des Reichs in dieselbe Misere hineinkommen würden, in der wir uns in den achtziger und neunziger Jahren befanden, wenn wir für immer daran festhalten wollen, daß Verbrauchs- und Verkehrssteuern nur eingeführt werden dürfen, wenn gleichzeitig der Besitz mehr belastet wird.	Gar nicht genug können wir danken der Unternehmungslust, dem Unter-nehmungsgeist, der Tüchtigkeit, der Anpassungsfähigkeit der Führer unseres Wirtschaftslebens in Stadt und Land, und da, meine ich, sollten und müßten wir die Lehre daraus entnehmen, daß es der größte Fehler für die Zukunft sein würde, wenn wir das Unternehmertum, wenn wir die Schar kraftvoller, wirtschaftlicher Persönlichkeiten durch Steuermaßnahmen erdrosseln wollten.	0
Der Wert eines selb- ständigen Unternehmertums in Stadt und Land, der Wert wirtschaftlich selbständig dastehender Personen, die aus eigener Verantwortung heraus die Wirtschaft führen, hat sich in diesem Kriege glänzend bewährt.	Ich muß jetzt manchmal an einen guten Scherz des Herrn Amtsvorgängers des jetzigen Herrn Reichsschatzsekretärs denken.	0
Herr Abgeordneter Spahn hat gestern bemerkt, ein englischer Minister habe im Unterhause erklärt, noch seien die Grundlagen für den Frieden nicht gegeben.	Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	0
Der Grund für das teure Wirtschaften der Post trotz großer Vorteile, die sie bei den Transporten hat, liegt zum großen Teil darin, daß rein mechanische Dienstleistungen von Beamten wahrgenommen werden, die zu wesentlich höheren Aufgaben vorgebildet und auch geeignet sind.	Die Verbrauchssteuer ist das Mittel in der Steuerfrage, das arbeitende Volk, die armen Leute auszupumpen, sie zu benachteiligen gegenüber den Reichen.	0
Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	Freilich, der Herr Staatssekretär hat einen Ausspruch getan, den aus dem Munde eines Mannes wie des Herrn Staatssekretärs zu hören mich sehr gewundert hat; er hat mit Bezug auf die Steuern gesagt: es können nicht alle Pferde auf denselben Gründen weiden. Im Gegenteil, Herr Staatssekretär: es müssen in diesem Falle alle Pferde auf einem und demselben Grunde weiden.	1
Ich meine, der Herr Abgeordnete Dr. Stresemann hat mehr recht, wenn er doch auch daran erinnerte, daß eine blühende, geschützte Landwirtschaft ihre volle Existenz- berechtigung in diesem Kriege erwiesen hat, und daß der Nachweis geführt worden ist, daß auch für unsere Zukunft ohne eine derartig kraftvoll arbeitende Landwirtschaft nicht genügend gesorgt sein wird.	Ich komme nachher auf Einzelheiten vielleicht noch zurück und wollte hier nur auf die prinzipielle Bedeutung der Tatsache Hinweisen, daß gerade auf dem Gebiete der Besteuerung von Einkommen und Vermögen der Gesellschaften jetzt das Reich seine Kompetenzen weit ausdehnt.	0
Suchen Sie im Volke dieses Gefühl nicht künstlich zu verdrängen, suchen Sie die Vaterlandsliebe, die Gott sei Dank bei ihm in Mark und Knochen sitzt, nicht zu vergiften!	Selbst die Maßnahme, die Ausgaben für Heer und Marine auf die Anleihe zu übernehmen, eine Maßnahme, die durch den Kriegszustand formell und sachlich wohl gerechtfertigt erscheint, reicht nicht mehr aus, um den Zinsenbedarf zu decken.	1
Es ist zu billigen, daß dieser Unsicherheit (D) gegenüber ein großer Sicherheitsfaktor geschaffen worden ist in dem Leertitel für die Kriegsgewinnsteuer, der in dem Etat ein Leertitel, in der Rechnung hoffentlich ein rechter Volltitel werden wird.	Er meinte, weil nicht alle Versammlungen überfüllt waren, weil nicht wer weiß wie viele Tausende von Leuten zusammengeströmt sind, des- halb will das arbeitende Volk nichts von einem Wider- spruch gegen die Steuern wissen.	0
Wenn er die ganze Steuerhoheit und die gesamten direkten Steuern dem Reiche übertragen will, so muß er sich darüber klar sein, daß mit der Finanzhoheit der Einzelstaaten auch die staat-liche Selbständigkeit derselben in die Brüche gehen würde.	Es trifft in hohem Maße bei der Landwirtschaft zu, wo lebendes und totes Reichstag.	0
"„Opfer bringen"", das ist die Aufschrift, die über der Pforte zu den neuen Steuervorlagen steht."	— Zurufe: So weit sind wir noch lange nicht! )	0
Daraus geht doch klar hervor, daß der Tabak bluten kann.	Hier handelt es sich denn doch um die Einhaltung des rechten Maßes, das unbedingt erforderlich ist, um unser Wirtschaftsleben nicht zu erdrosseln.	1
Daraus entnehmen wir erneuten Anlaß zu dem Entschlüsse, bei der jetzigen Steuerreform wie später mit aller Ent- schiedenheit uns dagegen zu wehren, wenn man den Einzel- staaten die staatliche Selbständigkeit dadurch zertrümmern will, daß man ihnen die Finanzhoheit und die Finanz- quellen nimmt.	Wenn der Herr Redner der Sozialdemokraten gesagt hat, die Erwägung, man dürfe den deutschen Unternehmergeist nicht strangulieren, sei mehr oder weniger eine Phrase, so muß ich dem entgegenhalten: die gewaltigen Leistungen der deutschen Landwirtschaft und Industrie, des deutschen Handels in diesem Kriege, die uns neben den herrlichen Waffentaten unserer Truppen den Sieg verbürgen, liegen doch zu klar zutage, als daß eine solche Behauptung ge- rechtfertigt wäre.	1
Im Osten hält unser unvergleichlicher Hindenburg die Wacht mit der starrenden Wehr, an der die russischen Massen blutig zer- schellen.	Soll dagegen das Vermögen der reichen Leute dadurch vergrößert werden, daß die Lebenshaltung der großen Masse noch weiter herabgedrückt und die Kraft des arbeitenden Volkes noch schneller aufgerieben wird, so hemmt das die wirtschaftliche Entwicklung viel mehr, als es selbst die höchste Einkommensteuer tun würde.	1
Wir haben aus dem Kriege erneut die Lehre gezogen, daß die Liebe zur engeren Heimat, daß der edle Wettstreit der einzelnen deutschen Staaten im Kampf und in der Arbeit für das allen gemeinsame Deutsche Reich wertvolle ethische Besitztümer bedeuten, die sich in diesem Kriege erneut bewährt haben.	Präsident: Ich stelle also ausdrücklich fest, daß Sie nicht dem Herrn Staatssekretär die Absicht haben unter- schieben wollen, das Vaterland zu schädigen, sondern daß Sie nur gemeint haben, das sei die Wirkung der Vorlage.	0
Daß wir unsere Überzeugung verleugnen sollen, daß wir uns als Heuchler hinstellen sollen, daß wir aus schwarz weiß machen sollen, daß wir etwas entschuldigen sollen, das wir nach unserer Überzeugung nicht entschuldigen können und nicht entschuldigen dürfen!	Es ist, als ob diese gewaltige Zeit, dieser Weltbrand immer neue Kräfte in unseren Truppen hervorriefe und wachsen ließe, auch in ihren Führern, denen wir unbe- schränktes Vertrauen zollen, die über alles Lob erhaben sind.	0
