Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	diesen Fällen waltet diese allerdings glücklicherweise auch trotz unserer Kultur-									
	verhältnisse ihres Amtes, wenn auch sehr viel langsamer, da unter diesen									
	Kulturzuständen auch Personen mit stark psychopathischen Variationen in									
	ziemlich weitem Umfang Existenz und Fortpflanzung gewährleistet werden.									
										
	Nur wenige der dargebotenen Variationsrichtungen werden auf der Bahn	nein								
	liegen, welche die Artentwicklung einschlägt. Den andern wird durch 									
	Personalselektion Einhalt getan.									
										
	Sie	nein								
	leistet aber noch mehr als diese, weil sie das Parallelgehen der Keim- 									
	anlagen mit jeder Nützlichkeitsschwankung erklärt, nicht nur bei aktiver									
	Funktion, sondern auch bei blos passiver Nützlichkeit.									
										
										
S. 71-100										
	Auch läßt er die Frage nicht unbeantwortet, auf welche	nein								"""Zahl ins Endlose vermehr"" fällt zunächst auf, aber eher Floskel"
	Weise überhaupt Änderungen der Keime entstehen konnten, und wie sich ihre									
	Zahl ins Endlose vermehren mußte.									
										
	Die Koadaption ist hiebei	nein								A ist B -> Vergleich
	keineswegs das einzige dunkle Gebiet.									
										
	Daß wir die Vorbedingungen für alle persönlichen Vorzüge mit auf	nein								
	die Welt bringen müssen, und daß unser ganzes Lebensglück weit mehr durch									
	uns angeborene, d. h. ererbte Anlagen bedingt ist als durch irgend etwas									
	anderes, ist keine neue Wahrheit.									
										
	Es ist aber fraglich, ob jene Rassentheoretiker und Rassenpolitiker, die heute	nein								
	die Pfade begehen, welche der mit kühner Phantasie begabte Dichtergelehrte Joseph									
	Arthur Gobineau mit seinem Essai sur l'inégalité des races humaines (4 Bände,									
	Paris 1858-1855)2) eingeschlagen hat, und auf denen ihm zunächst eine Zeit lang niemand									
	zufolgen Neigung zeigte, sich wirklich auf festem wissenschaftlichem Grund bewegen.									
										
	Das hindert	nein								Floskel
	aber nicht, daß es überall als vollwertige Münze angenommen wird. Denn es besteht									
	nun einmal das Bedürfnis nach gangbarer Münze.									
										
	Jedenfalls ist die Aufstellung eines in der menschlichen Natur begründeten Sinnes für indi-	nein								
	viduelles Eigentum selbst gegenüber einer befürchteten Torheit eine zu gebrechliche Waffe.									
										
	Kein höheres	ungeklärter Grenzfall	aufkeimen und Wurzel fassen 	sittliches Bestreben ... in uns	ja	unklar	unklar	ja	A 	"Biologische Ausdrücke in diesem Kontext -> Bruch, allerdings ersetzbar mit ""entstehen"" und ""sich festigen"" -> unklar, eher Grenzfall"
	sittliches Bestreben hätte ohne diese Anlage je in uns aufkeimen und Wurzel									
	fassen können; denn nur dieses instinktive Gefühl der Abhängigkeit von dem									
	Urteil unserer Genossen konnte zu sittlichen Urteilen und in weiterer Ent-									
	wicklung bei vielen Menschen zu der subtilen Bildung eines Gewissens									
	führen.									
										
	Aber das Licht der Selektionstheorie reicht noch weiter.	x	das Licht ... reicht noch weiter	der Selektionstheorie	ja	ja	ja	ja	A oder B 	"Würde diese Licht-Thematik nicht als Metapher ansehen, aber in Zusammenhang mit ""weiterreichen"" -> Metapher "
										
	ist freilich nicht ganz passend für dieses ewige mörderische Ringen um das	x	Kriegsschauplatz	ewige mörderische Ringen	ja	ja	ja	ja	A oder B	"Im Kontext der Welt führt ""Kriegsschauplatz"" zu einem leichten Bruch"
	Dasein auf einem über die ganze Erde, ihre Meere und ihren Luftkreis									
	ausgedehnten Kriegsschauplatz.									
										
	Nachkommenschaft, den Unterliegenden das Erlöschen ihres Stammes bringt,	x	dieses großen Kampfes; Zuschauerrolle; vor Augen führen zu lassen 	Beobachter; die uns Darwin erschaffte					A	"eventuell nur als Grenzfall. Die wiederholte Verwendung versch. Begriffe aus dem ""Theater"" fällt auf, allerdings ist es fraglich, ob alle Stellen unersetzbar sind"
	hatte bis zu Darwin keinen einzigen aufmerksamen Zuschauer gehabt. Seit									
	Darwin hat der Mensch den Vorzug, nicht nur Teilnehmer, sondern auch									
	Beobachter dieses großen Kampfes zu sein.									
	Diese ungewohnte Zuschauerrolle, die uns Darwin verschaffte, wäre									
	ein recht zweifelhafter Gewinn, sofern es sich nur um die ästhetischen Ein-									
	drücke des Erschauten handelt; denn ein Vergnügen ist es kaum, sich die									
	unerbittliche Grausamkeit dieses endlosen Vernichtungskrieges der Natur gegen									
	lebende Wesen und dieser unter sich vor Augen führeu zu lassen.									
										
	„Wir können uns kaum der Annahme entziehen, daß die menschliche Natur . . .	x	verstopft; verstopft	Quelle des Fortschritts; diese Quelle		ja	ja	ja	B	"""Quelle"" eher Floskel, aber durch ""verstopft"" -> Bruch "
	durch Ausscheidung und Auslese einer weiteren tiefen Veränderung unterzogen wird, daß									
	in der Fähigkeit seiner Muskeln und noch mehr in der Denkkraft seines Hirns eine un-									
	geheure Hebung eintreten wird; ja daß sogar besondere soziale Eigenschaften mit Einschluß									
	einer angeborenen Neigung zur Aufnahme sozialer Gebote, ohne die soziales Leben nun									
	einmal unmöglich ist, der physischen Organisation der höchsten Rassen eingeboren werden									
	können - aber ohne Zweifel ist diese besondere Quelle des Fortschritts heute fast ganz									
	verstopft.“									
	Dieser Nachsatz dürfte mit den Vordersätzen nur dann vereinbar sein,									
	wenn Balfour die Möglichkeit im Auge hat, daß diese Quelle in der									
	Zukunft nicht wie heute verstopft sein werde.									
										
S. 101-130										
	Denn selbst wenn sich der Mensch	nein								"""im Dunklen tappen"" -> starke Floskel"
	durch die Hunderte von Jahrtausenden hindurch, die hiezu vielleicht nötig wären, ständig									
	den Luxus gestatten könnte, sich eine Eigenschaft anzuzüchten, die ihn im Daseinskampf									
	nicht fördert, so würde ihm doch die hier erforderliche Züchterkenntnis vollständig fehlen,									
	und die Züchtungsversuche müßten vollständig im Dunklen tappen.									
										
	Bei	x	überwuchert	von der sich besonders stark vermehrenden slavischen Rasse	ja	ja	ja	ja	B	"""Rasse wird überwuchert von anderer Rasse"""
	den Neugriechen kommt in Betracht, daß sie nur einen sehr kleinen Bruchteil althellenischen									
	„Blutes“ besitzen; die althellenische Rasse war schon zur Zeit der Völkerwanderung ungemein									
	stark zusammengeschmolzen und dürfte seitdem von der sich besonders stark vermehrenden									
	slavischen Rasse fast ganz überwuchert worden sein.									
										
	Dana1) nennt den Fortschritt in der	ungeklärter Grenzfall	steinerne	Urkunden / der Geologie	ja	ja	ja	ja	A oder B	"siehe Tabelle ""Grenzfälle_Metaphernannotation"" -> ungeklärter Grenzfall; sowie Kommentar: ""Sehr schöne Metapher: Urkunden - aber aus Stein, Musterbeispiel eines starken Kontextbruches. Beide gemeinsam interagieren auch noch mit ""...der Geologie"" (die den Rahmen ""steinern"" erweitert...)"""
	tierischen Schöpfung von den älteren zu den jüngeren Formen, der aus den									
	steinernen Urkunden der Geologie sich ergibt, geradezu eine fortschreitende									
	Verhirnung („encephalisation“) der animalischen Struktur.									
										
	Sobald die soziale Entwicklung eine so große Bedeutung	ungeklärter Grenzfall								"siehe Tabelle ""Grenzfälle_Metaphernannotation"" -> ungeklärter Grenzfall"
	erreicht hatte, daß nun im Konkurrenzkampf unter den Völkern ihre soziale									
	Veranlagung den Ausschlag gab, habe die Vernunft aufgehört, die beste									
	Waffe im Daseinskampf zu sein, und werde daher nicht mehr gezüchtet.									
										
	Sobald nämlich die ersteren	nein								"""In die Wagschale fallen"" ist eine Floskel, allerdings in diesem Kontext unklar, ob doch Grenzfall"
	sich zu solcher Höhe entwickelt haben, daß sie im Daseinskampfe schwerer in									
	in die Wagschale fallen als die erblichen Werte, hört die Auslese auf, die erb-									
	lichen Fähigkeiten mit der hisherigen Strenge zu kontrollieren, und dieser									
	Grad der Kulturhöhe kann als Grenzlinie zwischen Natur- und Kultur-									
	völkern gelten.									
										
	Sowohl für das Ausleseproblem, wie	nein								
	für die Alkoholfrage ist es wichtig, den Irrtum zu zerstören, daß unsere Vorfahren schon									
	seit der Steinzeit festansäßige Bauern gewesen seien.									
										
	Da bei	nein								
	diesen Haustieren Leben und Fortpflanzung nicht mehr von ihrem scharfen									
	Gesicht abhängen, so ist auch hier das Auge von seiner ursprünglichen Höhe									
	herabgesunken.									
										
	Einen der furchtbarsten Auslesefaktoren, der aber in hohem Grade	nein								
	geeignet ist, das Durchschnittsniveau der generativen Qualität einer Bevölke-									
	rung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit									
	wiederkehrenden Perioden großen Nahrungsmangels.									
										
	In vorkulturellen Zeiten, auf tiefer Wirtschaftsstufe, unter strenger	x	Kulturblüte	zur Entfaltung brachten	ja	schwer	ja	ja	A oder B 	
	Auslese, scheinen in der Regel die hohen Anlagen gezüchtet worden zu sein,									
	die nachher unter günstigen wirtschaftlichen Verhältnissen eine Kulturblüte									
	zur Entfaltung brachten. Während dieser Blüte aber gehen gewöhnlich in-									
	folge von Auslesestörungen jene Anlagen zugrunde, aus denen die Blüte									
	sich entwickelt hatte.									
										
	Ich glaube, daß die lange Zeit der Verfinsterung, unter	nein								
	der Europa geschmachtet hat, zum großen Teil dem Cölibat zu									
	anken ist, welcher den religiösen Orden auferlegt wurde.									
										
	Die soziale	x	Schoß	der Kirche	ja	ja	ja	ja	B	
	Lage der Zeit gestattete feiner gearteten Naturen, die zu Werken									
	der Güte, zum Nachdenken, zur Literatur oder zur Kunst natürliche									
	Anlagen hatten, nur die einzige Zuflucht in den Schoß der Kirche,									
	die aber Ehelosigkeit forderte . . .									
										
	Es waren also mörderische Kriege, die wohl imstande	nein								
	waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen									
	Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel									
	gegebenen Schranken zu halten.									
										
	Noch heute stellt sich	nein								"nein, ""Würgengel"" ist ein Begriff aus der Bibel"
	dieser Würgengel mit ungezügelter Schrecklichkeit z. B. bei manchen Neger-									
	völkern zeitweise ein, wie er zweifellos auch unsere Vorfahren in der Urzeit									
	und bekanntlich noch im Mittelalter periodisch heimgesucht hat und selbst in									
	Ländern mit höherer wirtschaftlicher Entwicklung, wie Indien und China,									
	noch heute nicht selten einkehrt.									
										
	Ein ganz ähn-	x	Zügel ... entsanken	der Welt-herrschaft	ja	schwer	ja	ja	B oder C	kreativer Bruch
	liches Schicksal war alsdann den Römern beschieden, die Zügel der Welt-									
	herrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. 									
										
	Ein ähnliches Wechselverhältnis muß zwischen der Höhe des mensch-	x	leiblichen Wehrhaftigkeit; Waffenlosigkeit	des menschlichen Intellekts; des menschlichen Organismus	ja	schwer	ja	ja	A oder B	einerseits metaphorisch, da Kriegsbegriffe in diesem Kontext, andererseits nicht so besonders kreativ, daher mindestens Grenzfall (A)
	lichen Intellekts und seiner leiblichen Wehrhaftigkeit bestanden haben: Je									
	höher der menschliche Intellekt entwickelt war, um so weniger gaben Muskel-									
	kraft und Schnelligkeit den Ausschlag für die Auslese, desto weniger konnte									
	also große Leistungsfähigkeit auf diesen Gebieten gezüchtet werden, und									
	andererseits mußte gerade das Zurückbleiben in bezug auf solche Vorzüge									
	und die fast gänzliche Waffenlosigkeit des menschlichen Organismus die Ver-									
	vollkommnung seines Intellekts mit Hilfe der Auslese begünstigen.									
										
	Z. B. bei den zerstreut lebenden Germanen hatte, wie O. Seeck1)	nein								
	bemerkt, derjenige die meiste Aussicht auf Rettung, der auf eigene Faust									
	den Feind abzuwehren oder sich der Übermacht auf Schleichwegen zu ent-									
	ziehen verstand; und jeder Zwist, soweit ihn nicht die Familienältesten unter									
	ihren Familiengliedern durch Schiedsspruch gütlich zu schlichten vermochten,									
	wurde nicht auf dem Weg des Rechts, sondern mit den Waffen ausgetragen.									
										
	Es waren also mörderische Kriege, die wohl imstande	nein								Gegengewicht -> Floskel
	waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen									
	Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel									
	gegebenen Schranken zu halten.									
										
	Auch hervorragender Mut, der ohne Zweifel in hohem Maße von den	nein								
	angeborenen psychsischen Eigenschaften abhängt, kommt bei der Wirkung der									
	heutigen Feuerwaffen eher den Mitkämpfenden zugute als denen, die sich									
	besonders kühn den feindlichen Kugeln aussetzen. 									
										
	Dabei ist in Betracht zu ziehen, daß sich	nein								
	dieses Urteil innerhalb gewisser Grenzen nach dem Bedarf an Rekruten									
	richtet2), und der war nach dem Krieg sowohl in Deutschland als in									
	Frankreich außerordentlich groß, da die Reihen derer, die nach dem Friedens-									
	schluß noch zum Dienst unter der Fahne verpflichtet waren, durch den Krieg									
	sich stark gelichtet hatten. 									
										
	Und unter denen,	nein								
	die längere Zeit einem ernstlichen Nahrungsmangel ausgesetzt sind — mag 									
	nun ein Teil der Bevölkerung infolge seiner natürlichen Überlegenheit davon									
	verschont bleiben, oder mag der Mangel sich auf alle erstrecken — werden									
	alle die ausgemerzt werden, deren körperliche Konstitution einer so schweren									
	Probe nicht gewachsen ist. 									
										
	Ein ganz ähn-	x	Zügel ... entsanken	der Welt-herrschaft	ja	schwer	ja	ja	B oder C	kreativer Bruch
	liches Schicksal war alsdann den Römern beschieden, die Zügel der Welt-									
	herrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. 									
										
										
S. 131-160										
	In diesem Punkt hat also unsere Kultur die Fähigkeit bewiesen, ein	x	fressendes Geschwür / zur Heilung zu bringen	am Volkskörper / die Kultur	ja	ja	ja	ja	C; B 	
	fressendes Geschwür am Volkskörper, das sie bewirkt hat, auch wieder zur									
	Heilung zu bringen.									
										
	Den	nein								
	Vorwurf, durch den außerehelichen Verkehr gegen die Ehrlichkeit zu ver-									
	stoßen, gibt die Jugend, in dem unaustilgbaren Bewußtsein ihres Rechtes,									
	der Gesellschaft zurück, die solche gegen die Instinkte verstoßende Satzungen									
	aufstellt und aufrecht erhält.									
										
	Sie zeigen, welch geringen Einfluß die Anschauungen der Jugend, auch	nein								
	wenn sie die Natur auf ihrer Seite haben, auf die gesellschaftlichen Ein-									
	richtungen und den Inhalt der Sittengebote ausübten.									
										
	Unter Umständen aber geht das Trippergift auf die Gebärmutter-	nein								"""Quelle von"" -> Floskel"
	höhle und die Eileiter über und wird dann eine fast unversiegliche Quelle									
	von Leiden.									
										
	Dieser Eifer ist die Nachwirkung des Freuden-	nein								"""Freudentaumeln"" sehr blumig, aber kein Rahmen erkennbar"
	taumels, der 1890 beim Bekanntwerden der Kochschen Impfungen gegen									
	Tuberkulose durch die ganze zivilisierte Welt ging, und der darauffolgenden									
	Enttäuschung.									
										
	Und in einem solchen Fall darf wohl auch das gene-	nein								Floskel
	rative Interesse mit in die Wagschale geworfen werden.									
										
	Aber die									
	Sache liegt anders; denn die Kosten der weitherzigen Berücksichtigung	nein								
	der Interessen des gegenwärtig lebenden Individuums haben die									
	folgenden Generationen zu bezahlen, die in diese Versicherung									
	auf Gegenseitigkeit nicht mit eingeschlossen sind.									
										
S. 161-190										
	Dazu kommt noch, daß sehr wahrscheinlich innerhalb der Klasse	nein								"""Früchte..."" -> floskelhaft"
	der Wohlhabenden gerade die generativ Wertvolleren, wie Gelehrte,									
	Künstler, höhere Beamte, Offiziere, bei den Katholiken selbstverständlich die									
	Geistlichen, sich wiederum schwächer fortpflanzen als die, welche in der Haupt-									
	sache nur die Früchte der sozialen Leistungen anderer genießen und dabei									
	nicht minder wohlhabend sind und werden als ihre begabteren Klassengenossen.									
										
	Sie wird, um nicht	nein								
	dem Untergang entgegenzugehen, selbst dafür sorgen müssen, daß vermeidliche									
	Störungen der natürlichen Auslese beseitigt, unvermeidliche durch bewußte									
	geschlechtliche Auslese ersetzt werden.									
										
	Auch Treitschke	nein								"Vergleich: ""nannte X Y"" sowie Floskel ""Jungbrunnen"" = Quelle "
	nannte in diesem Sinn die unteren Klassen den Jungbrunnen der Gesellschaft.									
										
	Obiger Einwand ist im Grunde derselbe, mit dem ein Landwirt früher,	nein								
	als man von Agrikulturchemie noch wenig wußte und noch niemand tiefer									
	in die Geschichte des Landbaues eingedrungen war, die Behauptung ab-									
	gefertigt hätte, daß der Boden notwendig an gewissen chemischen Bestand-									
	teilen, die er nicht im Überfluß besitzt, und die zum Getreideanbau unentbehrlich									
	sind, mehr und mehr verarmen müsse, wenn man sie ihm fortwährend ent-									
	ziehe, ohne sie zu ersetzen.									
										
	Der Unterschied ist nur der, daß der Volkskörper	nein								Vergleiche
	jene edleren generativen Werte, die zur Erzeugung und Aufrechterhaltung									
	einer hohen Kultur erforderlich sind, in noch beschränkterem Maße enthält									
	als der Boden irgendwelche zur Getreideerzeugung unentbehrlichen Stoffe,									
	und daß darum ein Raubbau am Boden viel länger ohne auf-									
	fälligen Rückgang des Ergebnisses an Getreide getrieben werden									
	kann als ein Raubbau an Volkskörper hinsichtlich jener edlen									
	generativen Werte.									
										
	Die große Mehrheit des Volkes besteht	x	Strom des Lebens	aus dieser Quelle / aus den Minderwertigen 	ja	ja	ja	ja	B oder C 	"Quelle ist zwar Floskel, aber wird erweitert durch ""Strom..."", was eine kreative Nutzung darstellt "
	immer aus den Minderwertigen, und doch ersetzt sich der Strom des Lebens in ausge-									
	dehntem Maße aus dieser Quelle.									
										
	Das Gesetz	nein								Kein Bruch
	des Blühens selbst ist es, was zum Welken führt									
										
	Und was die Zukunft	nein								Uhrwerk wird direkt erklärt
	anlangt, so ist zwar dem Leben des Individuums, zufolge seines physiologischen									
	Uhrwerks, eine bestimmte Dauer vorgeschrieben, die nur durch allerlei									
	äußere Störungen — abgekürzt, unter keinen Umständen aber überschritten									
	werden kann. Der innerhalb bestimmter Zeitgrenzen ausnahmslos eintretende									
	Ablauf dieses Uhrwerks bringt dem Individuum den unvermeidlichen Tod.									
										
	Die Karthager	nein								
	hatten aber ihre Handelsnetze nicht nur über unbekannte Küsten ausgespannt, sondern									
	außerdem auch mit Negervölkern im Innern Afrikas mittels Wüstenkarawanen Handels-									
	verkehr gepflogen.									
										
	Die Not, schreibt er, ist die Mutter der Arbeit und diese	nein								Vergleich
	die Mutter der Kultur									
										
	Im Laufe der Geschichte habe sich der Mittelpunkt der	nein								
	Macht Schritt für Schritt, aber sicher, nach Norden verschoben, in jene									
	rauhen Gegenden, wo der Mensch für die Rivalität des Daseins im harten									
	Kampf mit der Natur „erzogen“ wurde.									
										
191-220										
	Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man	x	das alte Kleid ... zu eng wird	der Gesellschaftsverfassung	ja	ja	ja	ja	C	
	auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen									
	Fortschritten, die verbesserten Institutionen									
										
	Denn er hat nicht nur, wie häufig irrtümlich	nein								"""Stempel aufdrücken"" -> Floskel!"
	angenommen wird, auf die gebildeten Klassen eingewirkt, sondern den An-									
	schauungen und Gefühlen des ganzen Volkes seinen Stempel aufgedrückt									
										
