Agreement	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	alte Begründung und Kommentar	Neuer Kommentar
2	Sie [die Anpassung] kann auf geringfügige Änderungen der	x	tritt die Herrschaft ab	die Anpassung					B	zunächst durch Personifikation pointiert, anschließend durch Bruch und weitere Semantik ausgezeichnet wird diese Stelle metaphorisch, Umformulierung würde ihr diese Pointierung nehmen: es sollen hier Machtkämpfe verbildlicht werden. Die Anpassung  wird als konkurrierender Herrscher dargestellt. Das würde man nicht erwarten und es stößt auf	gemeinsam: Redewendung gepaart mit Personifikation
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen										
	der Organisation antworten; aber sie versagt bei größeren Änderungen und										
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.										
											
2	So geht nun das Reisen der Disposi-	x	Nachmeißeln	dieser Dispositionen					B	die frühere Metapher der Statue wird hier geschickt durch eine ergänzende Metapher aufgegriffen, das Meißeln verweist abermals auf die bildenden Künste, die Stelle wird so pointiert und ist nicht auszutauschen	
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,										
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand										
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die										
	bloße Vererbung bei den Tieren vermag« 2).										
											
2	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein									Redewendungen und Personifikation mit Steigerung, kein richtiger Bruch erkennbar
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,										
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-										
	hunderte und Jahrtausende abgemüht haben.										
											
1	Eine Gesetz-	nein									Personifikation mit Redewendung
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-										
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution										
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos										
	vergeuden und zu Grunde gehen.										
											
2	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	nein									Floskel
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden										
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden										
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der										
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in										
	Beziehung gesetzt werden.										
											
2	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	nein									Personifikation
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,										
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-										
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die										
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in										
	Zusammenhang zu bringen sind.										
											
1	Wie	nein									bildlicher Ausdruck
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-										
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«										
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine										
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.										
											
2	Auch auf sie trifft zu,	nein									vermutlich wörtlich zu verstehen
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-										
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-										
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer										
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen										
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch										
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst										
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.										
											
2	Die Statistik ist in der Lage	nein									gemeinsam: eventuell doch nur Redewendung?
	dieses schlagend zu beleuchten.										
											
2	Was wir meinen, ist nur	x	sich organisch einfügen	in das ganze soziale Getriebe	x	x	x		B		das soziale Getriebe allein ist eher floskelhaft, doch mit dem dritten Semantikbereich (sozial, mechanisch, biologisch) wird das ganze spannend und metaphorisch
	dies, daß die Kindererziehung sich in das ganze soziale Getriebe organisch										
	einfügen muß und daß sie, wenn sie dies tut, keinen anderen Zweck haben										
	kann als die Kinder so auszubilden, daß sie nachher - jeder zu seinem										
	Teile — zur Förderung der Zwecke des Staates empfänglich und ge-										
	eignet sind.										
											
1	Stehen wir durch die Vererbung körperlich in	nein									ungewöhnliche, blumige Ausdrucksweise
	einem Zusammenhange mit den Vorfahren, die in den vielen Jahrtausenden										
	vor uns lebten, so haben wir in der Tradition deren geistige Hinterlassen-										
	schaft; und wie wir uns körperlich nicht von unseren Ahnen emancipieren										
	können, so leben und weben wir in ihrer geistigen Hinterlassenschaft als										
	einem unverrückbaren Medium.										
											
2	Unsere größten Erfinder holten ihre Erfindungen nicht vom Himmel	nein									blumig, floskelhafter Ausdruck
	herab wie in der Sage Prometheus das Feuer, sondern ihre Erfindungen										
	bildeten allemal nur die Fortsetzung einer langen Reihe von Entdeckungen,										
	die in ununterbrochener Kette bis in das Dunkel der entferntesten Zeiten										
	zurückreichen.										
											
2	Aber die Gestalten und Bilder, welche	nein									relativ verlustfrei zu ersetzen: Bilder, die ihn durchdringen o.ä.
	einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten,										
	oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er										
	fröhlich ihrem leisen Zuge.										
											
1	Ein neues Gesetz ist immer mehr oder weniger ein Sprung ins	nein									wegen direkter Zuordnung kein Bruch, sondern explizites Bild
	dunkle.										
											
2	Ein Kurzsichtiger sieht mit Brille oder Fernrohr ebenso viel und mehr wie	nein									Floskel
	das beste unbewaffnete Auge und der schwächste Mensch kann mit Hilfe										
	einer Dampfmaschine die Leistungen von Riesen übertreffen.										
											
1	Eine weitere Folge der	nein									Floskel, alles ist mit allem irgendwie verwebt, verflochten, verstrickt, etc.
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der										
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die										
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-										
	fiel.										
											
2	Aber zwischen dem Punkte, wo uns das Mikroskop bei	nein									Floskel, deren Bild aber aufgegriffen und verstärkt wird
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt										
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier										
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem										
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten										
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im										
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen										
	über Theorieen auszufüllen versucht worden ist.										
											
2	Sicherlich ist durch die	nein									exponierte Floskel
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-										
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor										
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten										
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit										
	verfolgt hat.										
											
1	Die jüdischen	nein									zitiertes Bild, möglicherweise zitierte Metapher, die aber durch die Anführunsgzeichen hier ihre Spannung und Irritation verliert
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-										
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten										
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun										
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder										
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den										
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.										
											
2	Wie aber wäre dies möglich, da wir bis zur letzten Zelle	nein									eher missglückte Terminologie
	unseres körperlich-geistigen Baues geschichtliche Wesen sind?										
											
2	So verlockend es nun mit-	nein									ausgeschmückte Floskel/Redewendung
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-										
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch										
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch										
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu										
	machen.										
											
1	Vielleicht ist auch ein Teil der Totge-	nein									ersetzbare Redewendung, der Tod geht auf das Konto von xy
	burten auf das Konto eines solchen Anlasses zu schreiben.										
											
2	Ob nicht auch hier die individuelle Geschlechtsliebe	nein									der Kompass ist ein übliches Symbol zur Orientierung, ersetzbar und ohne richtigen Bruch und Erweiterung
	der Kompaß ist, welcher die zu einander, d. h. zur Erzeugung normal										
	gebildeter Kinder passenden Personen zusammenführt und die nicht zusammen-										
	passenden von einander fernhält?										
											
2	Als Schüler der Hegelschen Philosophie hatten	nein									ersetzbar: durchsetzt, Wassersemantik spielt keine entscheidene Rolle im Bild
	sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren										
	Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten										
	sozialistischen Vorgänger.										
											
2	Und da diese sozialen	x	saugt	seine Erfahrungen	x	x	x	x	A		ungewöhnlicher Ausdruck provoziert nicht zu ersetzendes Bild, Pointierung und leichten Bruch
	Erscheinungen das Medium sind, in dem das Individuum lebt und aus dem										
	es seine Erfahrungen saugt, so wird in letzter Linie auch das individuelle										
	Geistesleben von den Produktionsverhältnissen bestimmt.										
											
1	Man kann mit dem Marx’schen Gedankengange eine ganze Strecke	nein									wörtlich ausgeschmückte Floskel vom Gedankengang
	weit mitgehen.										
											
1 und 1	Die Menschheit macht mit der Realisierung der sozialistischen Forderung	nein									Zitat wegen Anführungszeichen keine Spannung, der Schicksalsfaden samt Spinnerei ist eine Floskel
	noch lange nicht den »Sprung aus dem Reiche der Notwendigkeit in das										
	Reich der Freiheit«2); sie spinnt den Faden ihres Schicksals nicht schon										
	selbst, wenn sie für ihre leiblichen Bedürfnisse besser sorgen kann.										
