Stelle	Metapher?
Daraus habe sich das Mutterrecht entwickelt; nach welchem die Kinder zu der Mutter gehören.	
Ich habe lange Zeit einen Javaneraffen in meinem Hause gehalten und ihn mit Früchten, Kartoffeln und allerlei Abfällen aus der Küche ernährt.	
Bei vielen ackerbautreibenden Völkern gelten die Männer als die Eigentümer des Bodens und ist von dem sogenannten Mutterrecht keine Spur zu finden.	
Auf die Urzeit des Menschengeschlechtes angewendet, führt diese Erkenntnis zu dem Schlusse, daß die Urmenschen niemals in idyllischem Frieden lebten.	
"Der Fürst war ursprünglich der Heerführer.
"	
Das englische Parlament gab das Vorbild des Parlamentarismus.	
»Die Macht, die das Kabinett hat, auf die verschiedenen Motive, welche die Mitglieder des Parlaments leiten, einzuwirken, ist so groß, daß die Majorität mehr und mehr eine Bewilligungsmaschine wird1).	
Die Verfassung der Vereinigten Staaten war in mancher Hinsicht der englischen nachgebildet.	
Indem die Vereinigten Staaten in den Krieg eintraten, haben sie mit der alten Ueberlieferung gebrochen, welche die Union von den europäischen Verhältnissen unabhängig machen wollte.	
Wir sind so von dem sicheren Geleise des Konstitutionalismus auf die abschüssige Bahn des reinen Parlamesntarismus geraten	
Dementsprechend sind die drei Abteilungen von ungleicher Größe, haben aber für die Wahl gleiches Recht.	
Die Wahlrechtsvorlage ging nun an das Herrenhaus und wird von da im Herbst dieses Jahres an das Abgeordnetenhaus zurückkommen.	
Es kann kein Zweifel darüber bestehen, daß zur Beurteilung politischer Fragen sowohl geschichtliche als auch geographische und wirtschaftspolitische Kenntnisse nötig sind; ob solche bei allen Abgeordneten in genügendem Maße vorhanden sind, kann mit gutem Grund bezweifelt werden.	
Ein unpatriotisches Parlament ist eine unsinnige Einrichtung.	
Die Sozialdemokratie hat eine kirchenfeindliche Tendenz, wenn gleich sie äußerlich die Religion für eine Privatsache erklärt.	
Man mag die Gesetze und Einrichtungen machen, wie man will, immer wird es tausend Schlechtigkeiten geben, die durch die Maschen der Gesetze schlüpfen.	
Er war insofern klarer als die Marxistische Sozialdemokratie, als er an die bestehenden Verhältnisse anknüpfte.	
Sie war bemüht, die Ernährungsschwierigkeiten und die ganze Kriegsnot des deutschen Volkes in ihrem Parteiinteresse auszunutzen.	
Aber das Unternehmen erwies sich als ebenso nutzlos wie alle die früheren Friedensangebote.	
Es wurde ein neuer Reichskanzler nach dem Sinne der Reichstagsmehrheit ernannt und ein neues Ministerium gebildet, welches größtenteils aus Abgeordneten der Mehrheitsparteien besteht.	
Bei diesem System leidet auch das Ansehen der Regierung.	
