Abschnitt	Stelle	P	K	A	B
	einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unter-				
	warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des				
	Rechts nur von der Philosophie überkommen könne.				
					
	»Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der	nein	x	nein	nein
	vervollkommnenden Auslese der menschlichen Daseinskämpfe;				
	genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessen-				
	kämpfe,				
	welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils				
	gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körper-				
	und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit-				
	organisation ausgekämpft,				
	durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen				
	Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen				
	erweckt und in immer höherem Grade erneuert,				
	um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um				
	ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt,				
	durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag				
	und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden				
	und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen				
	sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die				
	relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet,				
	abgestoßen oder zu besserer Anpassung genötigt werden,				
	und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die				
	kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr Gesellschafts-				
	Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen				
	Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«				
					
	Das liegt an deren Unwissenheit (ignorance), sagt die	nein	nein	nein	nein
	»Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglück-				
	lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit				
	(oubli) geraten. 				
					
	Indem wir durch die verschiedenen Ent-	nein	nein	nein	nein
	wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be-				
	wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und				
	zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende				
	Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu				
	sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden				
	Handelns noch deutlicher ausgeprägt. 				
					
	Das ist	nein	x	x	nein
	entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch				
	wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechts-				
	philosophie.				
					
	Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und	nein	nein	?	nein
	Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu				
	erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu				
	ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach				
	dem Hafen hin bewegen.«				
					
	Doch der Zirkel ist nur ein scheinbarer. 	nein	nein	nein	nein
					
	Man darf eben nicht	nein	nein	nein	nein
	beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Spezies-				
	merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts				
	geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.				
					
					
S. 151-170					
	Einerseits kann die Jurisprudenz, da sie	x	nein	x	nein
	nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen				
	Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man				
	ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht				
	war.				
					
	Unzählige Ansätze mögen in dieser Beziehung unternommen	x	x	x	x
	worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nach-				
	folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu				
	sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere				
	mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —				
					
	— der Egoismus leitet die Gewalt unvermerkt	x	nein	x	nein
	in die Bahn des Rechts.				
					
	Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die	x	x	x	x
	Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe				
	der Zeit der Majordomus«.«				
					
S. 170-190					
	Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie	x	x	nein	nein
	immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale				
	Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens				
	sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden,				
	dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist,				
	verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend,				
	ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.				
					
	Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus;	x	x	x	x
	und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu				
	bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser				
	beruft.				
					
	Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem	nein	nein	nein	nein
	enfant terrible etwas anders umspringen.				
					
	Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegner-	nein	nein	nein	nein
	schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren				
	eigenen Waffen.				
					
	Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht	x	unklar	nein	nein
	ein (subjektives) Recht: eins, aber ein Löwe.				
					
	»In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen	nein	nein	x	nein
	weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu				
	beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich				
	Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).				
					
	Je geringer ihre Anpassung sein würde, desto	nein	nein	x	nein
	unerbittlicher müßte die Auslese gegen sie sein.				
					
	Die Erde ist nicht dazu da, daß auf ihr beliebige Horden	nein	nein	nein	nein
	beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder				
	Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde ge-				
	rechte Spruch der Natur und der Geschichte.				
					
	So äußert sich das Weltgesetz der zunehmenden Anpassung	nein	nein	nein	nein
	auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtig-				
	keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts-				
	steigerung.				
					
	Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat	nein	x	x	x
	herantreten.				
					
S. 191-220					
	»Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm	nein	nein	nein	nein
	eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Ge-				
	sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen				
	Gesamtleben.				
					
	Er ist nur einer unter		nein	nein	nein
	den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des mensch-	nein			
	lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.				
					
	Alle anderen Anforderungen an den Staat treten gegen diese eine	x	x	nein	nein
	zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß				
	er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst				
	hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es				
	für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt,				
	es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!				
					
	Diese Einheit kommt aber auch nach außen	nein	nein	nein	nein
	zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden				
	Zweckmomente durch ihre Handlungen zu versorgen.				
					
	Ganz ebenso aber	nein	nein	nein	nein
	braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen				
	zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.				
					
	Wir werden also am besten tun, gleich vor die rechte Schmiede	nein	nein	nein	nein
	zu gehen und zunächst zu fragen:				
					
	Gleich	nein	x	x	x
	den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus				
	einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.				
					
	Nicht nur,	nein	nein 	nein	nein
	daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch				
	diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallert-				
	masse.				
					
	Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen	nein	nein	x	nein
	sie auch zusammen.				
					
	Wählt sie den Weg der Fehde, so ist derselben nicht blos der Tot-	x	nein	x	nein
	schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den				
	Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden				
	Hand).				
					
	Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für	nein	nein	x	nein
	das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines				
	Stecknadelknopfes.				
					
	In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer	x	x	nein	nein
	150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen				
	innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.				
					
	Nach Chlodowechs Tod (511) tritt »Kern-	nein	nein	nein	nein
	teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche				
	dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die				
	Bayern schließen sich an.				
					
	Das also war das Menschenmaterial für den zu gründenden Staat:	nein	nein	nein	nein
	Menschenfresser.				
					
					
S. 221-250					
	In Wahrheit gingen nicht die germanischen Völker in sich	x	x	x	x
	zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«				
					
	Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allver-	nein	nein	x	nein
	ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar				
	von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung				
	seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem				
	durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen				
	»Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener				
	Zeiten gemacht haben.				
					
	Und so mißlingt es immer wieder, die Gewalt des	nein	nein	x	nein
	ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der				
	Teile untereinander dauert fort, bis das Reich im Interregnum zusammen-				
	bricht, und lodert nun erst recht auf.				
					
S. 251-280					
	Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel ge-	nein	nein	nein	nein
	mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht				
	vorsichtig aus dem Wege gingen.				
					
	Erst wenn das	x	x	nein	x
	letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird,				
	dann mag der große König, der das zuwege gebracht haben wird, auch das				
	Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.				
					
	Dazu gehört nicht blos die Verbrecherwelt, welche sich im offenen	nein	x	nein	nein
	oder heimlichen Kampfe gegen das bestehende Recht befindet; es gehören				
	dazu einerseits auch alle diejenigen, welche an ererbten Vorrechten festhalten				
	und nicht dulden wollen, daß dieselben aus Gründen der ausgleichenden				
	Gerechtigkeit verkürzt werden, andererseits diejenigen welche nicht auf Ver-				
	besserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um				
	es sodann durch einen vermeintlichen Idealzustand zu ersetzen.				
					
	So ist die große Weltscharfrichterin Auslese auch im Leben der Staaten	x	x	nein	x
	fortwährend tätig, um extreme, schlecht angepaßte, unausgeglichene staats-				
	rechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte,				
	ausgeglichene übrig bleiben.				
					
	Erst nach dem Auftreten Luthers gewannen die meisten der jungen	x	x	x	x
	germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut				
	und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorga-				
	nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen				
	lagen, zu eigenen Landeskirchen umzuformen.				
					
	So ist denn die innere politische Geschichte des römischen Kaiserreichs	nein	nein	x	nein
	der ersten christlichen Jahrhunderte die Geschichte eines langsamen inneren				
	Verfaulens, bis es in der ungeheuren Krisis von 235—285 völlig zu-				
	sammenbricht.				
					
	»Zu Grunde gegangen ist«, so urteilt Mommsen2), »wie der Römerstaat des	nein	nein	x	nein
	Prinzipats, so auch der restaurierte Diocletians . . . nicht durch die Barbaren, sondern an				
	innerer Fäulnis.«				
					
	Die Folge davon war schließlich eine vollständige Aushöhlung der	nein	nein	x	nein
	weltlichen Gemeinwesen durch das geistliche, eine vollständige Vernichtung				
	alles weltlichen Rechtes durch das kirchliche Recht.				
					
S. 281-317					
	Und noch waren nicht hundert	x	nein	x	nein
	Jahre vergangen, da war der Segenswunsch des sterbenden Löwen erfüllt:				
	da war Berlin die Hauptstadt des neuen deutschen Reiches.				
					
	Ob es Frank-		nein 	x	nein
	reich und Italien gelingen wird die Fesseln der römischen Kirche zu sprengen	x			
	und alsdann den Vorsprung, den die protestantischen Staaten auch vor				
	ihnen bereits gewonnen haben, noch einzuholen, muß die Zukunft lehren.				
					
	Die Kirche muß, je vollständiger sie sich als solche vollendet, desto mehr eine Fessel		nein	x	x
	des von ihr selbst groß gezogenen christlichen Lebens werden, und indem sie demzufolge sich				
	mit diesem je länger desto ernstlicher überwirft, muß sie nach und nach wieder in sich selbst				
	zerfallen.				
					
	Jeden Morgen drängen sich uns neue Beweise dafür auf, wie durch den ganzen	x	nein	nein	x
	Staatskörper hindurch immer weitere Kreise ziehende Wellenbewegungen von Ursachen und				
	Wirkungen sich ausbreiten, die so verwickelter Natur sind, daß selbst der schärfte Verstand				
	ihre gesammten Folgen nimmermehr zu überschauen vermöchte. 				
					
					
	Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder	nein	nein	nein	nein
	ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung,				
	ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der				
	Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen				
	Freiheit aufzuräumen. 				
					
	Wie stark waren doch die alten Landrechte des späteren Mittelalters, meist nur Kodifikationen	x	nein	x	nein
	bestehenden Rechtes, durch eine Flut landesherrlicher Verordnungen überholt worden, die				
	mit und ohne Bitten oder Rat der Landstände neues Recht schufen! 				
					
	Den Frieden aber hat der Staat geschaffen; und darum ist der	x	x	x	x
	Staat, das letzte und bisher höchste Naturprodukt, welches wir kennen,				
	nicht, wie blöder Unverstand glaubt, das Grab, sondern die Wiege der				
	Freiheit.				
					
	Staaten hat es keineswegs, wie Viele behaupten, seit undenklichen	nein	nein	x	nein
	Zeiten gegeben; der Staat ist vielmehr ein sehr junges Gebilde.				
					
	Ein anderer	x	x	x	x
	christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität				
	vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«				
					
	Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe	x	x	x	x
	gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.				
					
	Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Ab-	nein	nein	x	nein
	scheulicheres.«				
					
	Das verträgt sich	x	nein	x	nein
	eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was				
	die Demut nur allzuleicht und allzusehr überwuchert.				
					
	Der Wert unserer modernen Umwälzungen wäre in der Tat	nein	nein	nein	nein
	ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch				
	nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber				
	lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentrali-				
	sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich				
	hervorgehen müßte.				
					
	Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziations-	x	x	nein	nein
	geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen				
	Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk				
