Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
	deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt					
	werden.					
						
	Eine weitere Folge der	nein				„verwebt“ scheint mir nur als ein synonymer Ausdruck zu „verknüpft“.
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der					Der Ausdruck erscheint mir nicht auffällig. Kein Bruch.
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die					
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-					
	fiel.					
						
	Die Folge ist, daß	x	Zusammenschweißung	zahlreicher Stämme	A	sprachlich irregulär, pointiert, „Zusammenschweißung“ erscheint mir als eine Art Steigerung von Verschmelzung oder Vereinigung von Stämmen. Und zwar eine so starke, dass der Ausdruck dadurch auffällig wird und einen leichten Bruch erzeugt, gerade weil zusammenschweißen auch einen Akteur erfordert
	selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten					
	mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener					
	Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die					
	erst allmählich durch das territoriale Zusammenleben und gegenseitige					
	Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.					
						
	Die Nationalitätenkämpfe des	nein				„Gefühl erlöschen“ erscheint mir bildhaft, Aber kein Bruch
	19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich)					
	beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm					
	in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähn-					
	lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück-					
	stößt, noch nicht erloschen ist.					
						
	Der Geist der alten Horde (gens) protestiert	nein				Personifikation. Kein Bruch. Keine Metapher
	gegen das Territorialitätsprinzip des modernen Staates.					
						
	Sobald aber eine	nein				Der Ausdruck „ausmerzen“ in diesem Zusammenhang erscheint mir als ein jargonhafter Ausdruck
	Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der					
	Sitte ganz ausgemerzt zu werden.					
						
	Die Sitte approbiert nämlich immer nur	nein				„Die Sitte“ erschient mir nur als Synonym für „Gesellschaft“. Kein Bruch
	die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen					
	- d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde					
	sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von					
	der Sitte gemißbilligt und allmählich verhindert worden.					
						
	Indem das Verhältnis durch die Sitte be-	nein				„befestigen“ erscheint mir nur ein ungewohntes Synonym für festlegen zu sein.
	festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen					Und eine Sitte, die etwas festlegt, erzeugt keinen Bruch
	nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch					
	eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten,					
	sondern nur an Mitglieder fremder Stämme verheiratet werden durften.					
						
	In dieser Form finden	x	verpflanzt	Eheverbot	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar ohne die Augenfälligkeit des Ausdrucks zu zerstören
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier					
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-					
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen					
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote					
	für Seitenverwandte bestehen, die derselben Generation angehören.					
						
	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das	x	der Natur	in die Werkstatt eindringen	B	"Bruch, sprachlich irregulär, pointiert, nicht ersetzbarer Ausdruck Man kann in Werkstätte eindringen, aber der Fokus ""der Natur"" irritiert."
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn					
	befähigt hat, in die Werkstatt der Natur einzudringen.					
						
	Die Religion hat ihre größte	nein				Erscheint mir eher floskelhaft. Ohne Bruch
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche					
	Leben von der Religion durchtränkt ist.					
						
	Mühsam und Schritt	nein				Wiege der Wissenschaft erscheint mir als bloße Floskel
	für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kultur-					
	reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den	nein				dass etwas „im Fluss ist“ ist ebenfalls eine übliche Floskel
	Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem					
	Flusse begriffen.					
						
	In demselben Moment, in dem die wissenschaftliche Er-	x	den Zauber der Dunkelheit	Wissenschaftliche Erkenntnis nimmt	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar. An sich eine eher übliche Lichtmetaphorik aber besonders ausgestaltet, sodass sie einen stärkeren Bruch erzeugt
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt					
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung					
	auf, ein religiöses Objekt zu sein.					
						
	Die Religion hat in	x	Eroberungen der Wissenschaft	nicht abgeschlossen	B	Bruch, pointiert, sprachlich irregulär, nicht ohne Weiteres ersetzbar
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen					
	der Wissenschaft noch nicht abgeschlossen sind.					
						
30-59	Ohne solche Regeln würde	nein				ein bisschen blumig. Aber in Atome zersplittern erscheint mir nur als blumiges Synonym für „in Einzelteile zerfallen“ zu sien
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen					
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert					
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,					
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben					
	von Menschen sein würde.					
						
	Aber noch ist die Zeit nicht gekommen, zu verlangen, daß	nein				Kein Bruch vorhanden.
	nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten.					
	Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse					
	und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen					
	verschiedener Nationen ist auch eine Realität.					
						
	Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und	x	zusammenschweißen	Nationen	A	Schwacher Bruch, sprachlich irregulär, pointiert
	verschiedene Nationen zusammenzuschweißen, gescheitert sind.					
						
	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	x	Beleuchtung	gewinnen	B	Bruch, sprachlich irregulär, pointiert, aber Ausdruck auch ersetzbar, dann geht aber die Pointierung verloren.
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden					
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden					
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der					
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in					
	Beziehung gesetzt werden.					
						
	Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger	nein				brennender Hass erscheint mir eher als Floskel. Kein Bruch
	der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller					
	mittelmäßigen und den Vernichter und Feind aller großen, genialen Indi-					
	viduen erblickt.					
						
	Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben	nein				Kein Bruch
	worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein					
	der Menschheit verderbliches Kunstprodukt halten und demgegenüber die					
	Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau					
	seinen glänzendsten Vertreter hatte.					
						
	Will die Gesellschaft die natürliche Auslese befördern,	x	sich in den Dienst einspannen lässt	Die natürliche Auslese	B	sprachlich irregulär, pointiert, nicht ersetzbar. Der Fokus irritiert hier, weil etwas Abstraktes wie ein physisches Objekt bzw. ein Nutztier behandelt wird.
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-					
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel					
	hat und sich in den Dienst keines anderen Zieles spannen läßt.					
						
	Wir sind hiermit insoweit ganz einverstanden, als	nein				Grenzfall. Das Bild von ausjäten bzw Gartenarbeit erscheint mir Jargon zu sein
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen					
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als					
	möglich organisiert sind.					
						
	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	nein				Bildhafter Ausdruck. Aber ich wüsste nicht wo hier genau der Fokus und der Rahmen sein sollen
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr					
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze					
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages					
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-					
	liche Gebäude in sich zusammenstürzt.					
						
	Die Menschheit	nein				Eher Floskel/Redewendung. Fundamente unterminieren (bzw. heute gebräuchlicher „untergraben“) ist eine übliche Foskel. Sprachlich irregulär aber ersetzbar. ein bisschen Grenzfall
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation					
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür					
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-					
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente					
	ihres stolzen sozialen Baues zu unterminieren.					
						
	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit	x	der Gedanken	steigt man aber aus der Welt (…) hinab	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur					
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die					
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen					
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und					
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-					
	gepaßt sind.					
						
	Aber zwischen dem Punkte, wo uns das Mikroskop bei	nein				Floskel ohne Bruch
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt					
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier					
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem					
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten					
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im					
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen					
	über Theorieen auszufüllen versucht worden ist.					
						
	Sicherlich ist durch die	nein				ein bisschen grenzwertig. Aber Wege der Forschung ist ein üblicher Ausdruck.
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-					Er wird zwar etwas durch das „zickzack“ modifiziert, aber es gibt keinen Bruch
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor					
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten					
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit					
	verfolgt hat.					
						
	Man sieht, daß wir auch durch diese weitgehende Aufhellung des Be-	nein				Aufhellung eines Vorgangs erscheint mir eher als Jargon oder tote Metapher
	fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur					
	unbedeutend näher gerückt sind.					
						
	»Diese gemmules«, sagt Darwin2), »sammeln	nein				„schlummernder Zustand“ erscheint mir eher als Floskel
	sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen)					
	»zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein					
	neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden					
	Zustande an künftige Generationen überliefert und dann erst entwickelt zu					
	werden.					
						
	Hierdurch wird nämlich zwar nicht die	nein				Stempel aufdrücken ist eine Floskel. Kein Bruch
	Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie					
	beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der					
	Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von					
	Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße					
	ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen					
	(nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche					
	Störung im ganzen Organismus und eine Ernährungsstörung der Keim-					
	zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.					
						
S. 60-89						
	Vielleicht ist auch ein Teil der Totge-	nein				Würde ich eher als tote Metapher ansehen
	burten auf das Konto eines solchen Anlasses zu schreiben.					
						
	»Es ist nun noch daran zu er-	x	eine fast unerschöpfliche Musterkarte für die natürliche Auslese	daß in jedem Kinde der nämlichen Eltern dargeboten wird	B	starker Bruh, sprachlich irregulär, pointiert, nicht ersetzbar
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.					
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-					
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder					
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-					
	karte für die natürliche Auslese dargeboten wird.					
						
	Da nun bei der Verschmelzung beider Keimzellen gewisser-	nein				„gewissermaßen ein Kampf“ ist ein direkter Vergleich
	maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens-					Ansonsten sind die Ausdrücke vom Kampf Jargon
	energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so					
	kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren					
	Zelle zum Vorschein.					
						
	Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der	nein				Wo ist der Bruch?
	Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend,					
	ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur					
	diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen					
	prädestiniert war.					
						
	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	x	über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht	Sitte	B	Bruch. Sprachlich irregulär, pointiert. Etwas Abstraktes wie die Sitte wird wie ein Handlungsobjekt mit seinem eigenen Gebiet behandelt (oder die Sitte erscheint gleichzeitig als Gebiet selbst)
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,					
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-					
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die					
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in					
	Zusammenhang zu bringen sind.					
						
	Die jüdischen	nein				Die Anführungszeichen kitten den Bruch, finde ich. Wie bei einem direkten Vergleich
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-					
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten					
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun					
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder					
	zu verbieten, welche nicht eigentlich unter jene Gesetze fielen, aber mit den					
	dort gebotenen oder verbotenen irgend welche entfernte Ähnlichkeit hatten.					
						
	Wie	x	sich zu verdichten	Sitte	B	Bruch. sprachlich irregulär, pointiert. etwas kann sich zur Sitte entwickeln, aber verdichten? Sitte wird als etwas stoffliches beschrieben, das erzeugt eine Spannung
	jede Gewohnheit, die ursprünglich nur als Tatsache geübt wird, das Be-					
	streben hat, sich zur Sitte zu verdichten, so ist auch hier aus einem »Ist«					
	ein »Soll«, aus einem aus Zweckmäßigkeitsgründen geübten Brauch eine					
	sittliche Regel geworden, die sich von Geschlecht zu Geschlecht fortgeerbt hat.					
						
	So wäre es denn nicht die Tatsache der Bluts-	x	einen geeigneten Boden vorfinden	in einer mangelhaften Konstitution des Vaters und der Mutter	A	"Schwacher Bruch. Pointiert, sprachlich irregulär, aber der Ausdruck wäre durchaus ersetzbar. ""einen geeigneten Boden vorfinden"" erinnert mich ein bisschen an „ein bestelltes Feld“"
	verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige					
	Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn					
	sie in einer mangelhaften Konstitution des Vaters und der Mutter einen					
	geeigneten Boden findet.					
						
	Auch auf sie trifft zu,	x	unfruchtbar	ein Stück angelegtes Nationalvermögen	B	Bruch, sprachlich irregulär, pointiert, Ausdruck nicht ersetzbar, ohne seine Wirkung zu untergraben
	daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegen-					„mit in‘s Grab nehmen“ habe ich aber als Redewendung aufgefasst
	leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach-					
	kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer					
	Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen					
	mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch					
	infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst					
	(durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.					
						
	Wenn man die zahllosen Schwierigkeiten	nein				„Gebiet“ erscheint mir schlicht ein Synonym für Bereich zu sein
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge					
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht					
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung					
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird					
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen					
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es					
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.					
						
	Wenn man die zahllosen Schwierigkeiten	nein				Stelle ist doppelt
	bedenkt, welche die Durchführung solcher staatlichen Eheverbote im Gefolge					
	hätte und weiterhin die vielen von dem Einzelnen als schreiendes Unrecht					
	verspürten Eingriffe, welche selbst die gerechteste und fachgemäßeste Ausübung					
	der gesetzlichen Vorschriften auf diesem Gebiete mit sich brächte, so wird					
	man wohl zur Erkenntnis gelangen müssen, daß das Gebiet der ehelichen					
	Verbindung ein zu subtiles und zu inviduell verschiedenes ist, als daß es					
	mit Erfolg zum Gegenstand staatlicher Regelung gemacht werden könne.					
						
	Die Statistik ist in der Lage	x	schlagend	beleuchtend	B	Bruch. Sprachlich irregulär, pointiert. Ausdruck nicht ersetzbar. „schlagen“ und „beleuchtend“ passt überhaupt nicht zusammen, die Ausdrücke arbeiten so stark gegeneinander.
	dieses schlagend zu beleuchten.					
						
90-119						
	Schon in der ersten Schrift dieser Art, der 1516					
	erschienenen Schrift »De optimo reipublicae statu deque nova insula	x	Keim der Zwietracht	in die Ehe gelegt wird	A	"Bruch, sprachlich irregulär, pointiert. Der ""Keim der Zwietracht"" ist einerseits was absraktes, wird aber wie ein physisches Objekt behandelt, das wiederum in etwas abstraktes hineingelegt wird. Das erzeugt eine Spannung"
	Utopia« des Thomas Morus wird verlangt, daß vor der Vermählung					
	die Nupturienten sich einer Prüfung unterziehen, welche sich auf ihren körper-					
	lichen Bau und ihre Schönheit erstreckt, und ferner ist vorgeschrieben, daß					
	vor der Hochzeit Braut und Bräutigam einander in Gegenwart ehrbarer					
	alter Matronen unbekleidet gegenüber gestellt werden, damit sie ihren					
	Körperbau und etwaige verborgene körperliche Mängel nicht erst in der Ehe					
	bemerken und in die Ehe dadurch der Keim der Zwietracht gelegt wird.					
						
	Es muß dem Einzelnen	nein				Kein Bruch
