Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	Begründung/Kommentar
	Wenn sonach das Zweckprinzip auf der ganzen Linie unterlegen ist,	x	in den Abgrund stürzen	des Konsens	x	x	x	x	A	die gane Stelle ist gespickt mit Floskeln und Bildern, wodurch der Bruch stark herabgemindert ist
	wenn es sich zeigt, daß es nicht auf eigenen Füßen stehen und gehen kann,									
	sondern, sobald es das versucht, schließlich irgendwann an einen Punkt gerät,									
	wo es allein nicht weiter kann oder gar in Gefahr ist, in den Abgrund des									
	Konsens zu stürzen, und wenn es sich vor dieser Gefahr nur dadurch retten kann,									
	daß es sich an das Stabilitäts- oder an das Anpassungsprinzip klammert:									
	so werden doch derartige Versuche immer wieder unternommen werden, man									
	wird immer wieder glauben, daß das Zweckprinzip alles vermöge, weil es									
	viel vermag; — wenn es nicht gelingt zu zeigen, was ihm eigentlich fehlt.									
										
	Und diese Seite der Sache muß unbedingt in die hellste Be-	nein								ungewöhnlich betonte Redewendung oder Floskel
	leuchtung gesetzt werden.									
										
	Ebenso wie beim Auswaschen des Goldsandes durch strömendes	nein								Vergleich mitsamt Floskeln
	Wasser das Wasser die Goldkörner nicht zurückläst, weil sie kostbar oder nützlich oder									
	schön sind, sondern nur, weil sie wegen ihrer größeren Dichte schneller zu Boden sinken									
	als der leichtere Quarzsand, bildet sich die zweckmäßige Beschaffenheit der Organismen									
	nicht aus, weil die »Natur« mit ihnen besondere Zwecke der Schönheit, der Belebung, der									
	Energieausnutzung verfolgt, sondern die vermöge ihrer gerade vorhandenen Be-									
	schaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen,									
	nicht dauerhaften durch den Strom der Zeit schneller fortgeschwemmt werden.									
										
	oder aber uns dieser unaufhaltsam daherrollenden Lawine des Guten in den	x	dieser unaufhaltsam daherrollenden Lawine	des Guten	x	x	x	x	C	das entworfene Bild des Bruchs wird noch drastisch ausgemalt
	Weg zu werfen, um von ihr zerschmettert zu werden.									
										
S. 71-100										
	»Man könnte annehmen, und es ist in älteren Zeiten angenommen worden, daß	x	im Haushalte	der Natur	x	x	x		A	
	diejenigen Teile der Organisation, welche die Lebensweise und im allgemeinen den Platz									
	bestimmen, welchen jedes Wesen im Haushalte der Natur einnimmt, von erster Wichtigkeit									
	seien.									
										
	Sagt man dagegen:	nein								kein Rahmen und Bruch, lediglich auffällige Polemik
	die Träufelspitze ist für die Pflanzen nützlich oder wertvoll und weist man									
	das Wort »zweckmäßig« überall da zurück, wo das gegenwärtige oder frühere									
	Vorhandensein eines Zweckes nicht nachgewiesen ist, so wird dem neovitali-									
	stischen Spuk bald ein Ende gemacht sein.									
										
S. 101-121										
	Man erinnere sich nur des Entrüstungssturmes, mit dem die Darwinsche Theorie	nein								nur eine ungewöhnliche Umstellung der bekannten Floskel: Sturm der Entrüstung
	und ihre unabweisbaren Folgerungen hinsichtlich der Abstammung des Menschen empfangen									
	wurden.									
										
	Er umfaßt die Gewohnheiten des Handelns, die ihm	nein								je nachdem, wie stark das Impfen gelesen wird, Floskel oder Metapher; der Ausdruck erscheint mir aber ersetzbar
	das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel									
	seiner Genossen und seiner Führer einimpfen.									
										
	Dann hätten wir eben für jeden	nein								nur bildhafter Ausdruck
	Augenblick umfassendere Komplexe und die beiden Reihen wären zu einem einzigen									
	psychischen Vorgang verschmolzen.									
										
S. 122-150										
	Alles Lernen besteht in Anpassungsvorgängen, welche dadurch ein-	nein								übliche Redewendung
	geleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen									
	oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten1).									
										
	Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das	nein								Boden, Grundlage, Fundament, übliche Argumentationsfloskeln
	Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen									
	Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen									
	fortsetzen.«									
	Der Boden ist doch so sicher nicht.									
										
	Du bist	nein								Gleichnis (woran zudem die päpstliche Autorität hängt)
	Petrus, und auf diesen									
	Felsen will ich meine									
	Gemeinde bauen, und									
	die Pforten der Unterwelt									
	sollen sie nicht überwältigen.									
										
	Ich sage euch aber wahr-	nein								"blumiger Ausdruck, ""kosten"" kann durchaus sehr weitläufig verwendet werden, Schmerz kosten usw."
	haftig, sind einige unter									
	denen, die hier stehen, welche									
	den Tod nicht kosten werden,									
	bis sie das Reich Gottes									
	sehen.«									
										
	Also zwei grobe Entstellungen der Überlieferung, das sind die Grund-	nein								Floskel, keine Seefahrtssemantik
	lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs-									
	anker des Naturrechts und der allgemeinen Menschenrechte.									
										
	Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich	nein								leicht verstärkt durch den Lauf, aber insgesamt wohl ersetzbar durch Barrikaden, Hindernis etc.
	ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung,									
	jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheits-									
	beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:									
										
	Im Gegenteil, der Rechtsbegriff schwankt	nein								übliche Redewendung vom Schwanken eines unsicheren Begriffes
	heute mehr als je, die Unsicherheit nimmt womöglich noch zu.									
										
	Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen									
	über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits									
	in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger									
	Haltbarkeit natürlich, schwerlich mehr austreten kann.									
										
	Damit ist der Boden der	nein								Boden allein wäre eine übliche Floskel, das Bodenlose greift dieses Bild nur auf, keine richtige Spannung zu einem Rahmen o. ä.
	Descendenztheorie verlassen und der der Teleologie betreten, und nun geht									
	es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen									
	Ethik, Rechts- und Staatsphilosophie.									
										
	Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus	nein								Floskel, kein Agrarfeld gemeint, daher auch keine Metapher
	dem Felde zu schlagen sein.									
										
	»In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die	nein								nur ungewöhnlciher, bildhafter Ausdruck
	einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschafts-									
	bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die									
	Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammen-									
	fügt!									
										
	Und so wären die in der Naturwissenschaft vollzogenen Veränderungen	nein								abermals die üblichen Argumentationsfloskeln
	in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische									
	Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den									
	Boden zu entziehen.«									
										
	Ob er	nein								übliche Redewendung
	richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm									
	ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien,									
	insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts									
	und dann erst das Wesen und Werden des Staates untersuchen.									
										
	Der Verfasser des Matthäustextes hat einen so gewaltsamen Ein-	nein								blumige Betonung, kein Rahmen, keine Spannung
	griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu									
	nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für									
	den Messias erklärt habe, in das hellste Licht gesetzt und durch die Er-									
	findung der Vollmachterteilung verschönert.									
										
	Bei Matthäus ist er	nein								Bild ohne Rahmen und Spannung
	ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter									
	ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt									
	(mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte,									
	daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der									
	bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.									
										
	Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der	nein								Floskel
	Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß									
	einer ihrer ersten Köpfe sich diesem anmaßlichen Satze der aprioristischen Philosophen unter-									
	warf: es ist G. F. Puchta2), der sich dahin äußert, daß die Jurisprudenz den Begriff des									
	Rechts nur von der Philosophie überkommen könne.									
										
	»Die fortschreitende Gesellschaftsbilduug (Civilisation) ist das höchste Ergebnis der	nein								nichts Irritierendes erkennbar
	vervollkommnenden Auslese der menschlichen Daseinskämpfe;									
	genauer gesagt — ist sie das unausbleibliche Produkt aller Daseins- und Interessen-									
	kämpfe,									
	welche von den sozialen Einheiten jeder Entwickelungsstufe teils unter sich, teils									
	gegen die äußere Natur, mit den wachsenden Mitteln der Menschlichen Geistes-, Körper-									
	und Vermögensausstattung und innerhalb einer durch Recht und Sitte gesetzten Streit-									
	organisation ausgekämpft,									
	durch den Trieb individueller und kollektiver Selbsterhaltung, durch den organischen									
	Vermehrungstrieb, durch den Eigennutz, durch gemeinnützige Verbesserungsbestrebungen									
	erweckt und in immer höherem Grade erneuert,									
	um die Befriedigung nicht bloß der sinnlichen Notdurft, sondern mehr und mehr um									
	ein steigendes Maß höherer materieller und ideeller Lebensansprüche geführt,									
	durch Zufall, durch Spiel, durch äußeren und inneren Krieg durch freien Austrag									
	und durch vielgestaltige Urteilsinstanzen des Wettstreites entschieden werden									
	und notwendig dahin führen: daß im einzelnen die relativ besten Anpassungen									
	sowohl angeregt als zur Herrschaft, Ausbreitung und Überlieferung gebracht, dagegen die									
	relativ schlechtesten Anpassungen, die Entartungen und fremdartigen Bildungen vernichtet,									
	abgestoßen oder zu besserer Anpassung genötigt werden,									
	und daß im ganzen ein wachsendes Maß ideeller und materieller Kräfte für die									
	kollektive Führung des menschlichen Daseinskampfes sich anhäuft, daß immer mehr Gesellschafts-									
	Bildung, das heißt immer mehr Gliederung und Vereinigung der geistigen und physischen									
	Arbeitskräfte, sowie der zugehörigen Güterausstattungen stattfindet.«									
										
	Das liegt an deren Unwissenheit (ignorance), sagt die	nein								keinerlei Spannung, sprachlich nichts Ungewöhnliches
	»Erklärung«; die Menschenrechte sind eben leider durch irgend einen unglück-									
	lichen Zufall, vielleicht schon gar durch den Sündenfall, in Vergessenheit									
	(oubli) geraten. 									
										
	Indem wir durch die verschiedenen Ent-	nein								übliche Redewendungen
	wickelungsstufen der lebendigen Geschöpfe emporsteigen, finden wir diese kombinierten Be-									
	wegungen gekennzeichnet durch zunehmenden Zusammenhang, zunehmende Bestimmtheit, und									
	zwar sowohl einzeln als in ihren koordinierten Gruppen betrachtet, und zunehmende									
	Ungleichartigkeit; und schreiten wir von niedrigeren zu höheren oder von unsittlichen zu									
	sittlichen Typen des Menschen vor, so erscheinen diese Merkmale des sich entwickelnden									
	Handelns noch deutlicher ausgeprägt. 									
										
	Das ist	nein								keinerlei Spannung
	entweder eine Bankerotterklärung der gesamten Menschheit oder, was doch									
	wohl wahrscheinlicher, eine Bankerotterklärung der Spencerschen Rechts-									
	philosophie.									
										
	Obgleich das Steuern unseres Schiffes zweifellos durch die Kenntnis der Felsen und	nein								Gleichnis
	Untiefen zunächst geleitet werden muß, so ist es doch, wenn wir an einen endlich zu									
	erreichenden Hafen glauben, notwendig, von Zeit zu Zeit den Kompaß zu Rate zu									
	ziehen und zu sehen, ob wir, während wir Felsen und Untiefen vermeiden, uns auch nach									
	dem Hafen hin bewegen.«									
										
	Doch der Zirkel ist nur ein scheinbarer. 	nein								Vermutlich ein Argumentationszirkel gemeint
										
	Man darf eben nicht	nein								bildliche Polemik gegen schlechte Terminologie
	beliebig das Bestimmungs- und das bestimmte Wort, den Gattungsbegriff und das Spezies-									
	merkmal ihre Plätze tauschen lassen und sich stellen, als wenn man an dem Begriff nichts									
	geändert hätte, so daß er immer die nämlichen Aussagen vertrüge.									
										
S. 151-170										
	Einerseits kann die Jurisprudenz, da sie	nein								ersetzbarer bildlicher Ausdruck
	nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen									
	Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man									
	ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht									
	war.									
										
	Unzählige Ansätze mögen in dieser Beziehung unternommen	x	die Blasen des sprudelnden Wassers	im Werdeprozeß der Geschichte	x	x	x	x	C	Die Geschte wird als sprudelndes Wasser gezeichnet, deren Misserfolge wie Blasen zerplatzen und so verpuffen.
	worden sein, ohne Erfolg zu haben, d. i. ohne Nachfolge zu finden — Erfolg und Nach-									
	folge fallen überall, wo es sich um die Einwirkung des Beispieles auf andere handelt, zu									
	sammen — die Blasen des sprudelnden Wassers im Werdeprozeß der Geschichte. Andere									
	mögen ein vorübergehendes Dasein gewonnen- haben, um rasch wieder unterzutauchen —									
										
	— der Egoismus leitet die Gewalt unvermerkt	nein								blumiger Ausdruck, aber kein irritierender Fokus
	in die Bahn des Rechts.									
										
	Denn das Gesetz bringt als unzertrennliche Gefährten die Ordnung und die	x	das Aschenbrödel im Haus der Gewalt	das Gesetz	x	x	x	x	C	zu Beginn Personifikationen, nachher metaphorische Pointierung und Ausdeutung
	Gleichheit mit sich — anfänglich das Aschenbrödel im Hause der Gewalt, wird es im Laufe									
	der Zeit der Majordomus«.«									
										
S. 170-190										
	Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie	nein								Eher Gleichnis als Metapher
	immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale									
	Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens									
	sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden,									
	dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist,									
	verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend,									
	ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.									
										
	Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus;	x	den ungeberdigen Sprößling	der Anarchismus	x	x	x	x	B	Theoriekinder kann es bisweilen geben, diese jedoch explizit als verzogenes Balg zu beschreiben führt zum Bruch und verweist explizit auf Kindererziehung etc.
	und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu									
	bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser									
	beruft.									
										
	Wir, auf dem Standpunkte des Anpassungsprinzips, können mit diesem	nein								floskelhaftes Aufgreifen der vorigen Metapher, ohne Spannung, Rahmen fehlt
	enfant terrible etwas anders umspringen.									
										
	Mit dem Nachweise dieser Beweispflicht ist auch die theologische Gegner-	nein								zwei verknüpfte Redewendungen/Floskeln
	schaft des positiven Rechts aus dem Felde geschlagen, und zwar mit ihren									
	eigenen Waffen.									
										
	Wohl fließt, wie aus allen Pflichten, so auch aus der sittlichen Pflicht	nein								Vergleich, Symbol
	ein (subjektives) Recht: eins, aber ein Löwe.									
										
	»In den deutschen Schutzgebieten besteht die Haussklaverei für die Eingeborenen	nein								vermutlich eine Floskel für das Scheitern
	weiter, und es ist bis jetzt nicht möglich gewesen, diese inhaltlich unrichtige Einrichtung zu									
	beseitigen, weil man die Befürchtung hegt, mit einem dahingehenden Versuche gänzlich									
	Schiffbruch zu leiden (so auch noch Verordnung des Reichskanzlers von 29. XI. 1901).									
										
	Je geringer ihre Anpassung sein würde, desto	nein								keine Spannung, gewöhnliche Redeweise
	unerbittlicher müßte die Auslese gegen sie sein.									
										
	Die Erde ist nicht dazu da, daß auf ihr beliebige Horden	nein								ersetzbar durch Gebot, Gesetz oder dergleichen. Kein richtiger Bruch, keine neue Semantik etc.
	beliebig lange ein beliebig unvernünftiges Dasein führen; Anpassung oder									
	Auslese, das ist auch hier der übereinstimmende und im tiefsten Grunde ge-									
	rechte Spruch der Natur und der Geschichte.									
										
	So äußert sich das Weltgesetz der zunehmenden Anpassung	nein								höchstens Personifikation
	auf dem Gebiete des Rechtes als Gesetz der zunehmenden Gerechtig-									
	keit, bewirkt durch immerfort zunehmende Rechtsausgleichung und Rechts-									
	steigerung.									
										
	Mit diesen Einsichten ausgerüstet, können wir nunmehr an den Staat	x	ausgerüstet	mit diesen Einsichten	x	x	x		A	nicht nur erkannt, sondern auch in der Tasche parat sollen die Einsichten sein, dadurch schwacher Bruch und unauffällige Metapher
	herantreten.									
										
S. 191-220										
	»Was das Wesen des Staates im allgemeinen betrifft, so müssen wir . . . ihm	nein								Vergleich
	eine eigene reale Wesenheit zuschreiben. Er erscheint uns als ein menschlicher Ge-									
	sellschaftsorganisums mit einem von dem Leben seiner Glieder verschiedenen einheitlichen									
	Gesamtleben.									
										
	Er ist nur einer unter	nein								wohl Fortführung des vorigen Vergleichs, hier bereits als Floskel der organischen Gesellschaft
	den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des mensch-									
	lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.									
										
	Alle anderen Anforderungen an den Staat treten gegen diese eine	nein								Personifikation
	zurück; bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß									
	er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst									
	hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es									
	für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt,									
	es ist ein Widenspruch in sich selbst: eine Staatsgewalt ohne Gewalt!									
										
	Diese Einheit kommt aber auch nach außen	nein								nichts auffälliges erkennbar
	zum Ausdruck durch eine Organisation, d. h. durch Personen, die berufen sind, die einigenden									
	Zweckmomente durch ihre Handlungen zu versorgen.									
										
	Ganz ebenso aber	nein								Personifikation
	braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen									
	zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.									
										
	Wir werden also am besten tun, gleich vor die rechte Schmiede	nein								vermutlich Redewendung; andernfalls auch im weiteren Kontext nicht sinnvoll verständlich
	zu gehen und zunächst zu fragen:									
										
	Gleich	x	Wehen und Geburtsschmerz	Teilung der Stämme und Völkerschaften	x	x	x	x	B	nachträgliche Metapher am Satzende, die das Entstehen der Stämme als Geburten versinnbildlicht
	den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus									
	einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.									
										
	Nicht nur,	nein								Vergleich
	daß Bruchstücke sich abtrennen, um selbständig auf die Wanderschaft zu ziehen; nein, auch									
	diejenigen, welche in der Heimat bleiben, fließen auseinander wie eine Gallert-									
	masse.									
										
	Ebenso schnell und leicht, wie die deutschen Völkerschaften zerfielen, wuchsen	nein								keinerlei Bruch oder Spannung
	sie auch zusammen.									
										
	Wählt sie den Weg der Fehde, so ist derselben nicht blos der Tot-	nein								übliche Redewendung
	schläger, sondern dessen ganze Sippe ausgesetzt und entspinnt sich ein Krieg zwischen den									
	Magen des Erschlagenen (der toten Hand) und der Sippe des Totschlägers (der lebenden									
	Hand).									
										
	Im Ruhezustande erscheinen die meisten Moneren als kleine Plasmakügelchen für	nein								Floskel
	das unbewaffnete Auge nicht sichtbar oder eben sichtbar, höchstens von der Grösse eines									
	Stecknadelknopfes.									
										
	In diesen ständigen Gefolgen der Häuptlinge, dem Ergebnis einer	nein								zuvor angestellter Vergleich wird hier aufgegriffen
	150jährigen Anpassung und Auslese, haben wir die ersten Kernbilduugen									
	innerhalb der »Gallertmassen« der einzelnen Stämme vor uns.									
										
	Nach Chlodowechs Tod (511) tritt »Kern-	nein								Anführunsgzeichen suggerieren Vergleich, Bild, Gleichnis
	teilung« ein: seine vier Söhne teilen das Reich in vier Frankenreiche, welche									
	dann noch die Thüringer, Burgunder und Alamannen unterwerfen; auch die									
	Bayern schließen sich an.									
										
	Das also war das Menschenmaterial für den zu gründenden Staat:	nein								Material lässt sich ausgedehnt verwenden
										
S. 221-250										
	In Wahrheit gingen nicht die germanischen Völker in sich	x	die letzte Abendröte	antiker Civilisation	x	x	x	x	B	"Verstärkung durch ""letzte"", dadurch nochmal deutlich sprachlich irregulär"
	zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«									
										
	Nicht nur ist sie [die Welt- und Geschichtsanschauung des Augustinus] durch die Schriften des allver-	nein								Argumentationsfloskel
	ehrten Kirchenvaters selbst, besonders seine »22 Bücher de civitate Dei«, unmittelbar									
	von mächtigem Einfluß gewesen, sondern sie hat auch durch ihre Aufnahme und Verarbeitung									
	seitens vielgelesener Autoren immer neue Quellen der Verbreitung gewonnen, vor allem									
	durch die Werke Papst Gregor des Großen, der ganz auf ihrem Boden steht, und dessen									
	»Moralia« namentlich wichtigste Stücke derselben zum Gemeingut der Gebildeten jener									
	Zeiten gemacht haben.									
										
	Und so mißlingt es immer wieder, die Gewalt des	nein								Auflodern des Kampfes ist eine üblcihe Redewendung
	ungeheuren Gemeinwesens an einem Punkte zu sammeln, der Kampf der									
	Teile untereinander dauert fort, bis das Reich im Interregnum zusammen-									
	bricht, und lodert nun erst recht auf.									
										
S. 251-280										
	Nach dem Morden des Marius und Sulla herrscht auf dem Markte der Knittel ge-	nein								Bild
	mieteter Banden, und sehr wenige finden sich unter den hochadeligen Herrn, die ihm nicht									
	vorsichtig aus dem Wege gingen.									
										
	Erst wenn das	x	Altar	des Vaterlandes	x	x	x	x	B	der Altar als Symbol der Weihe und Opferung gegenüber dem Vaterland
	letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird,									
	dann mag der große König, der das zuwege gebracht haben wird, auch das									
	Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.									
										
	Dazu gehört nicht blos die Verbrecherwelt, welche sich im offenen	nein								gewöhnliche Rede
	oder heimlichen Kampfe gegen das bestehende Recht befindet; es gehören									
	dazu einerseits auch alle diejenigen, welche an ererbten Vorrechten festhalten									
	und nicht dulden wollen, daß dieselben aus Gründen der ausgleichenden									
	Gerechtigkeit verkürzt werden, andererseits diejenigen welche nicht auf Ver-									
	besserung, sondern auf den Umsturz des bestehenden Rechts hinarbeiten, um									
	es sodann durch einen vermeintlichen Idealzustand zu ersetzen.									
										
	So ist die große Weltscharfrichterin Auslese auch im Leben der Staaten	x	die große Weltscharfrichterin	Auslese	x	x	x	x	C	die Auslese als (eingesetzte?) Henkerin, noch dazu mit der ganzen Welt als Verfügungsbereich
	fortwährend tätig, um extreme, schlecht angepaßte, unausgeglichene staats-									
	rechtliche Verhältnisse zu beseitigen, so daß nur mittlere, besser angepaßte,									
	ausgeglichene übrig bleiben.									
										
	Erst nach dem Auftreten Luthers gewannen die meisten der jungen	x	den Fangärmen und Saugnäpfen	die katholische Kirche [dieses Riesenorganismus]	x	x	x	x	B	Kirche als Kraken, aus dessen Armen es kaum ein Entrinnen gibt
	germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut									
	und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorga-									
	nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen									
